school_name,name,left_over_total,offered,leftover_rate
CHANTILLY HS,1% Unflavored Shelf-Stable Milk(Each),243,310,78.38709677419354
CHANTILLY HS,"Milk, Lactose Free,  Fat Free, Shelf-Stable(Each)",1080,1380,78.26086956521739
CHANTILLY HS,Red Delicious Apple(Each - serving),301,464,64.87068965517241
CHANTILLY HS,Blueberry Chex Cereal(Each),152,240,63.33333333333333
CHANTILLY HS,1% White Milk(Each),104,175,59.42857142857143
CHANTILLY HS,Orange Flavored Dried Cranberries(2 Eaches),28,48,58.333333333333336
CHANTILLY HS,Orange Tangerine Juice(Each),1438,2504,57.42811501597445
CHANTILLY HS,Cinnamon Chex Cereal(Each),68,119,57.14285714285714
CHANTILLY HS,Honey Cheerios Cereal(Each),171,300,56.99999999999999
CHANTILLY HS,Cherry Flavored Dried Cranberries(2 Eaches),65,120,54.166666666666664
CHANTILLY HS,Bottled Water(Bottle),202,376,53.72340425531915
CHANTILLY HS,Watermelon Flavored Dried Cranberries(2 Eaches),58,114,50.877192982456144
CHANTILLY HS,Strawberry Flavored Dried Cranberries(2 Eaches),33,72,45.83333333333333
CHANTILLY HS,Raspberry Lemonade Flavored Dried Cranberries(2 Eaches),28,63,44.44444444444444
CHANTILLY HS,Apple Juice(Each),1667,4207,39.62443546470168
CHANTILLY HS,Mandarin Orange Parfait(Parfait),30,82,36.58536585365854
CHANTILLY HS,Natural Grape Jam(Packet),185,521,35.50863723608445
CHANTILLY HS,Natural Breakfast Syrup(Each),77,253,30.434782608695656
CHANTILLY HS,Apple Cinnamon Bread(1oz Grain (1/64 Baked Pan)),106,360,29.444444444444446
CHANTILLY HS,Egg and American Cheese on Bagel(Sandwich),57,195,29.230769230769234
CHANTILLY HS,Egg and American Cheese on English Muffin(Sandwich),59,232,25.43103448275862
CHANTILLY HS,"Parfait, Triple Berry(Parfait)",28,122,22.950819672131146
CHANTILLY HS,"Cinnamon Toast Crunch Cereal, 25% Less Sugar(Each)",99,441,22.448979591836736
CHANTILLY HS,Strawberry Parfait(Parfait),34,176,19.318181818181817
CHANTILLY HS,Turkey Sausage Breakfast Biscuit(Sandwich),17,95,17.894736842105264
CHANTILLY HS,Mini Maple Pancakes(Package),199,1314,15.144596651445966
CHANTILLY HS,String Cheese(1 Stick),28,191,14.659685863874344
CHANTILLY HS,Bagel(Bagel),150,1226,12.234910277324634
CHANTILLY HS,Chicken & Biscuit Sandwich(Sandwich),19,163,11.65644171779141
CHANTILLY HS,Egg and American Cheese on Biscuit(Sandwich),1,19,5.263157894736842
CHANTILLY HS,Cream Cheese(Each),11,416,2.644230769230769
CHANTILLY HS,"Sandwich, Breakfast. Bagel, Turkey Sausage(Sandwich)",0,111,0.0
Camelot Elementary,Turkey Sausage Breakfast Biscuit(Sandwich),4,15,26.666666666666668
Camelot Elementary,Strawberry Parfait Power Pack(Power Pack),1,5,20.0
Camelot Elementary,Natural Grape Jam(Packet),16,96,16.666666666666664
Camelot Elementary,"Parfait, Triple Berry(Parfait)",5,30,16.666666666666664
Camelot Elementary,Fat Free White Milk(Each),105,635,16.535433070866144
Camelot Elementary,"Cinnamon Toast Crunch Cereal, 25% Less Sugar(Each)",40,319,12.539184952978054
Camelot Elementary,String Cheese(1 Stick),10,80,12.5
Camelot Elementary,Cinnamon Chex Cereal(Each),34,278,12.23021582733813
Camelot Elementary,Cream Cheese(Each),51,453,11.258278145695364
Camelot Elementary,Mini Maple Pancakes(Package),238,2154,11.049210770659238
Camelot Elementary,Bagel(Bagel),76,731,10.39671682626539
Camelot Elementary,Blueberry Chex Cereal(Each),39,376,10.372340425531915
Camelot Elementary,"Batter, Pumpkin Bread(1oz Grain (1/64 Baked Pan))",30,295,10.16949152542373
Camelot Elementary,Strawberry Parfait(Parfait),10,114,8.771929824561402
Camelot Elementary,Egg and American Cheese on Biscuit(Sandwich),7,86,8.13953488372093
Camelot Elementary,Orange Tangerine Juice(Each),149,1852,8.04535637149028
Camelot Elementary,Honey Cheerios Cereal(Each),26,336,7.738095238095238
Camelot Elementary,Apple Cinnamon Bread(1oz Grain (1/64 Baked Pan)),6,112,5.357142857142857
Camelot Elementary,Orange(6 Slices per 1/2 cup),6,120,5.0
Camelot Elementary,Red Delicious Apple(Each - serving),8,175,4.571428571428571
Camelot Elementary,1% White Milk(Each),42,1172,3.583617747440273
Camelot Elementary,Banana(Each),8,282,2.8368794326241136
Camelot Elementary,Natural Breakfast Syrup(Each),1,50,2.0
Camelot Elementary,Apple Juice(Each),41,2206,1.85856754306437
Camelot Elementary,Applesauce(1/2 Cup),0,64,0.0
Camelot Elementary,Biscuit(Biscuit),0,6,0.0
Camelot Elementary,Chilled Mandarin Oranges(1/2 cup (drained)),0,39,0.0
Camelot Elementary,Chilled Peaches(1/2 cup (drained)),0,29,0.0
Camelot Elementary,Chilled Peaches(1/2 cup),0,15,0.0
Camelot Elementary,Egg and American Cheese on Bagel(Sandwich),0,25,0.0
Camelot Elementary,Orange Slices(3 slices per 1/4 cup),0,119,0.0
Camelot Elementary,Triple Berry Parfait Power Pack(Power Pack),0,5,0.0
Camelot Elementary,Whole Strawberries(1/2 cup thawed),0,88,0.0
Cameron Elementary,Red Delicious Apple(Each - serving),255,613,41.598694942903755
Cameron Elementary,Cinnamon Chex Cereal(Each),89,222,40.090090090090094
Cameron Elementary,Fat Free White Milk(Each),32,82,39.02439024390244
Cameron Elementary,Mini Maple Waffles(Package),82,216,37.96296296296296
Cameron Elementary,"Cinnamon Toast Crunch Cereal, 25% Less Sugar(Each)",534,1610,33.16770186335404
Cameron Elementary,"Sandwich, Breakfast. Bagel, Turkey Sausage(Sandwich)",70,264,26.515151515151516
Cameron Elementary,String Cheese(1 Stick),26,100,26.0
Cameron Elementary,Honey Cheerios Cereal(Each),345,1505,22.92358803986711
Cameron Elementary,Blueberry Chex Cereal(Each),248,1241,19.98388396454472
Cameron Elementary,Mini Maple Pancakes(Package),430,2411,17.834923268353382
Cameron Elementary,Turkey Sausage Breakfast Biscuit(Sandwich),20,119,16.80672268907563
Cameron Elementary,Bagel(Bagel),142,945,15.026455026455027
Cameron Elementary,Mandarin Orange Parfait(Parfait),38,358,10.614525139664805
Cameron Elementary,1% White Milk(Each),221,2763,7.998552298226564
Cameron Elementary,Orange Tangerine Juice(Each),168,3425,4.905109489051094
Cameron Elementary,Apple Cinnamon Bread(1oz Grain (1/64 Baked Pan)),10,256,3.90625
Cameron Elementary,Apple Juice(Each),135,4489,3.0073513031855645
Cameron Elementary,Applesauce(1/2 Cup),0,162,0.0
Cameron Elementary,Banana(Each),0,201,0.0
