School_Name,Date,Identifier,Name,Planned_Reimbursable,Planned_Non-Reimbursable,Planned_Total,Offered_Reimbursable,Offered_Non-Reimbursable,Offered_Total,Served_Reimbursable,Served_Non-Reimbursable,Served_Total,Discarded_Total,Discarded_Cost,Subtotal_Cost,Left_Over_Total,Left_Over_Percent_of_Offered,Left_Over_Cost,Production_Cost_Total
Aldrin Elementary,5/19/2025,10020,Bagel (Bagel),53,0,53,65,61,0,61,$19.52,0,0.00%,$0.00,$19.52,4,6.15%,$1.28,$20.80
Aldrin Elementary,5/19/2025,20001,1% White Milk (Each),29,0,29,47,43,0,43,$15.48,0,0.00%,$0.00,$15.48,4,8.51%,$1.44,$16.92
Aldrin Elementary,5/19/2025,20009,Cream Cheese (Each),47,0,47,65,61,0,61,$17.69,0,0.00%,$0.00,$17.69,4,6.15%,$1.16,$18.85
Aldrin Elementary,5/19/2025,20017,Orange (6 Slices per 1/2 cup),49,0,49,55,54,0,54,$18.36,0,0.00%,$0.00,$18.36,1,1.82%,$0.34,$18.70
Aldrin Elementary,5/19/2025,20038,Fat Free White Milk (Each),10,0,10,15,14,0,14,$4.62,0,0.00%,$0.00,$4.62,1,6.67%,$0.33,$4.95
Aldrin Elementary,5/19/2025,20047,Orange Slices (6 Slices per 1/2 cup),13,0,13,22,20,0,20,$8.00,0,0.00%,$0.00,$8.00,2,9.09%,$0.80,$8.80
Aldrin Elementary,5/19/2025,30003,Honey Cheerios Cereal (Each),12,0,12,10,9,0,9,$5.31,0,0.00%,$0.00,$5.31,1,10.00%,$0.59,$5.90
Aldrin Elementary,5/19/2025,30004,Blueberry Chex Cereal (Each),7,0,7,10,8,0,8,$4.72,0,0.00%,$0.00,$4.72,2,20.00%,$1.18,$5.90
Aldrin Elementary,5/19/2025,30006,Cinnamon Chex Cereal (Each),10,0,10,10,9,0,9,$5.31,0,0.00%,$0.00,$5.31,1,10.00%,$0.59,$5.90
Aldrin Elementary,5/19/2025,30007,"Cinnamon Toast Crunch Cereal, 25% Less Sugar (Each)",11,0,11,10,9,0,9,$5.31,0,0.00%,$0.00,$5.31,1,10.00%,$0.59,$5.90
Aldrin Elementary,5/19/2025,30008,Apple Juice (Each),46,0,46,77,72,0,72,$12.24,0,0.00%,$0.00,$12.24,5,6.49%,$0.85,$13.09
Aldrin Elementary,5/19/2025,30009,Orange Tangerine Juice (Each),19,0,19,35,31,0,31,$5.27,0,0.00%,$0.00,$5.27,4,11.43%,$0.68,$5.95
Aldrin Elementary,5/19/2025,60006,Vegan Burger (Sandwich),0,0,0,5,3,0,3,$1.65,0,0.00%,$0.00,$1.65,2,40.00%,$1.10,$2.75
Aldrin Elementary,5/19/2025,60007,Cheeseburger (Sandwich),0,0,0,16,15,0,15,$10.95,1,6.25%,$0.73,$11.68,0,0.00%,$0.00,$11.68
Aldrin Elementary,5/19/2025,60034,Mandarin Orange Parfait (Parfait),2,0,2,2,1,0,1,$0.99,0,0.00%,$0.00,$0.99,1,50.00%,$0.99,$1.98
Annandale High,5/19/2025,10020,Bagel (Bagel),700,0,700,600,595,0,595,$190.40,1,0.17%,$0.32,$190.72,4,0.67%,$1.28,$192.00
Annandale High,5/19/2025,10041,Mini Maple Pancakes (Package),0,0,0,164,164,0,164,$63.96,0,0.00%,$0.00,$63.96,0,0.00%,$0.00,$63.96
Annandale High,5/19/2025,20001,1% White Milk (Each),75,0,75,49,48,0,48,$17.28,0,0.00%,$0.00,$17.28,1,2.04%,$0.36,$17.64
Annandale High,5/19/2025,20009,Cream Cheese (Each),700,0,700,600,595,0,595,$172.55,0,0.00%,$0.00,$172.55,5,0.83%,$1.45,$174.00
Annandale High,5/19/2025,20014,Red Delicious Apple (Each - serving),125,0,125,150,103,0,103,$33.99,0,0.00%,$0.00,$33.99,47,31.33%,$15.51,$49.50
Annandale High,5/19/2025,20017,Orange (6 Slices per 1/2 cup),138,0,138,45,40,0,40,$13.60,0,0.00%,$0.00,$13.60,5,11.11%,$1.70,$15.30
Annandale High,5/19/2025,20038,Fat Free White Milk (Each),75,0,75,105,94,0,94,$31.02,0,0.00%,$0.00,$31.02,11,10.48%,$3.63,$34.65
Annandale High,5/19/2025,30003,Honey Cheerios Cereal (Each),75,0,75,129,91,0,91,$53.69,0,0.00%,$0.00,$53.69,38,29.46%,$22.42,$76.11
Annandale High,5/19/2025,30004,Blueberry Chex Cereal (Each),50,0,50,62,60,0,60,$35.40,0,0.00%,$0.00,$35.40,2,3.23%,$1.18,$36.58
Annandale High,5/19/2025,30007,"Cinnamon Toast Crunch Cereal, 25% Less Sugar (Each)",75,0,75,65,57,0,57,$33.63,0,0.00%,$0.00,$33.63,8,12.31%,$4.72,$38.35
Annandale High,5/19/2025,30008,Apple Juice (Each),800,0,800,832,832,0,832,$141.44,0,0.00%,$0.00,$141.44,0,0.00%,$0.00,$141.44
Annandale High,5/19/2025,30009,Orange Tangerine Juice (Each),200,0,200,229,214,0,214,$36.38,2,0.87%,$0.34,$36.72,13,5.68%,$2.21,$38.93
Annandale High,5/19/2025,30051,Natural Grape Jam (Packet),200,0,200,200,196,0,196,$17.64,3,1.50%,$0.27,$17.91,1,0.50%,$0.09,$18.00
Annandale High,5/19/2025,60034,Mandarin Orange Parfait (Parfait),125,0,125,90,85,0,85,$84.15,2,2.22%,$1.98,$86.13,3,3.33%,$2.97,$89.10
Annandale Terrace Elementary,5/19/2025,10020,Bagel (Bagel),323,0,323,330,300,0,300,$96.00,0,0.00%,$0.00,$96.00,30,9.09%,$9.60,$105.60
Annandale Terrace Elementary,5/19/2025,20001,1% White Milk (Each),98,0,98,103,92,0,92,$33.12,0,0.00%,$0.00,$33.12,11,10.68%,$3.96,$37.08
