school_name,date,identifier,name,planned_reimbursable,planned_non-reimbursable,planned_total,offered,served_reimbursable,served_non-reimbursable,served_total,served_cost,discarded_total,discarded_percent_of_offered,discarded_cost,subtotal_cost,left_over_total,left_over_percent_of_offered,left_over_cost,production_cost_total
Aldrin Elementary,5/13/2025,20001,1% White Milk(Each),34,0,34,37,33,0,33,$11.88,0,0.00%,$0.00,$11.88,4,10.81%,$1.44,$13.32
Aldrin Elementary,5/13/2025,30008,Apple Juice(Each),42,0,42,50,46,0,46,$7.82,0,0.00%,$0.00,$7.82,4,8.00%,$0.68,$8.50
Aldrin Elementary,5/13/2025,30020,Applesauce(1/2 Cup),9,0,9,12,11,0,11,$2.31,0,0.00%,$0.00,$2.31,1,8.33%,$0.21,$2.52
Aldrin Elementary,5/13/2025,60089,Assorted Cereal(Cereal Cup),0,0,0,2,1,0,1,$0.59,0,0.00%,$0.00,$0.59,1,50.00%,$0.59,$1.18
Aldrin Elementary,5/13/2025,20031,Banana(Each),50,0,50,55,53,0,53,$11.13,0,0.00%,$0.00,$11.13,2,3.64%,$0.42,$11.55
Aldrin Elementary,5/13/2025,60068,Biscuit(Biscuit),14,0,14,41,38,0,38,$7.98,0,0.00%,$0.00,$7.98,3,7.32%,$0.63,$8.61
Aldrin Elementary,5/13/2025,30004,Blueberry Chex Cereal(Each),7,0,7,15,11,0,11,$6.49,0,0.00%,$0.00,$6.49,4,26.67%,$2.36,$8.85
Aldrin Elementary,5/13/2025,30006,Cinnamon Chex Cereal(Each),8,0,8,15,13,0,13,$7.67,0,0.00%,$0.00,$7.67,2,13.33%,$1.18,$8.85
Aldrin Elementary,5/13/2025,30007,"Cinnamon Toast Crunch Cereal, 25% Less Sugar(Each)",6,0,6,15,12,0,12,$7.08,0,0.00%,$0.00,$7.08,3,20.00%,$1.77,$8.85
Aldrin Elementary,5/13/2025,20038,Fat Free White Milk(Each),12,0,12,12,10,0,10,$3.30,0,0.00%,$0.00,$3.30,2,16.67%,$0.66,$3.96
