school_name,date,identifier,name,planned_reimbursable,planned_non-reimbursable,planned_total,offered,served_reimbursable,served_non-reimbursable,served_total,served_cost,discarded_total,discarded_percent_of_offered,discarded_cost,subtotal_cost,left_over_total,left_over_percent_of_offered,left_over_cost,production_cost_total
Aldrin Elementary,5/29/2025,20001,1% White Milk(Each),33,0,33,35,27,0,27,$9.72,0,0.00%,$0.00,$9.72,8,22.86%,$2.88,$12.60
Aldrin Elementary,5/29/2025,30008,Apple Juice(Each),41,0,41,55,48,0,48,$8.16,0,0.00%,$0.00,$8.16,7,12.73%,$1.19,$9.35
Aldrin Elementary,5/29/2025,30004,Blueberry Chex Cereal(Each),11,0,11,10,2,0,2,$1.18,0,0.00%,$0.00,$1.18,8,80.00%,$4.72,$5.90
Aldrin Elementary,5/29/2025,30068,Chilled Peaches(1/2 cup (drained)),10,0,10,10,9,0,9,$4.59,1,10.00%,$0.51,$5.10,0,0.00%,$0.00,$5.10
Aldrin Elementary,5/29/2025,30006,Cinnamon Chex Cereal(Each),11,0,11,10,3,0,3,$1.77,0,0.00%,$0.00,$1.77,7,70.00%,$4.13,$5.90
Aldrin Elementary,5/29/2025,30007,"Cinnamon Toast Crunch Cereal, 25% Less Sugar(Each)",9,0,9,10,3,0,3,$1.77,0,0.00%,$0.00,$1.77,7,70.00%,$4.13,$5.90
Aldrin Elementary,5/29/2025,60125,Egg and American Cheese on Biscuit(Sandwich),3,0,3,38,33,0,33,$15.51,5,13.16%,$2.35,$17.86,0,0.00%,$0.00,$17.86
Aldrin Elementary,5/29/2025,20038,Fat Free White Milk(Each),12,0,12,15,10,0,10,$3.30,0,0.00%,$0.00,$3.30,5,33.33%,$1.65,$4.95
Aldrin Elementary,5/29/2025,30003,Honey Cheerios Cereal(Each),10,0,10,10,3,0,3,$1.77,0,0.00%,$0.00,$1.77,7,70.00%,$4.13,$5.90
Aldrin Elementary,5/29/2025,10041,Mini Maple Pancakes(Package),66,0,66,60,53,0,53,$20.67,0,0.00%,$0.00,$20.67,7,11.67%,$2.73,$23.40
Aldrin Elementary,5/29/2025,20017,Orange(6 Slices per 1/2 cup),51,0,51,55,50,0,50,$17.00,0,0.00%,$0.00,$17.00,5,9.09%,$1.70,$18.70
Aldrin Elementary,5/29/2025,30009,Orange Tangerine Juice(Each),32,0,32,55,44,0,44,$7.48,0,0.00%,$0.00,$7.48,11,20.00%,$1.87,$9.35
Aldrin Elementary,5/29/2025,60096,Strawberry Parfait(Parfait),2,0,2,4,2,0,2,$1.98,2,50.00%,$1.98,$3.96,0,0.00%,$0.00,$3.96
Annandale High,5/29/2025,20001,1% White Milk(Each),75,0,75,89,78,0,78,$28.08,0,0.00%,$0.00,$28.08,11,12.36%,$3.96,$32.04
Annandale High,5/29/2025,30008,Apple Juice(Each),800,0,800,870,659,0,659,$112.03,0,0.00%,$0.00,$112.03,211,24.25%,$35.87,$147.90
Annandale High,5/29/2025,10020,Bagel(Bagel),0,0,0,681,573,0,573,$183.36,0,0.00%,$0.00,$183.36,108,15.86%,$34.56,$217.92
Annandale High,5/29/2025,30004,Blueberry Chex Cereal(Each),50,0,50,70,67,0,67,$39.53,0,0.00%,$0.00,$39.53,3,4.29%,$1.77,$41.30
Annandale High,5/29/2025,30006,Cinnamon Chex Cereal(Each),50,0,50,61,60,0,60,$35.40,0,0.00%,$0.00,$35.40,1,1.64%,$0.59,$35.99
Annandale High,5/29/2025,30007,"Cinnamon Toast Crunch Cereal, 25% Less Sugar(Each)",75,0,75,69,68,0,68,$40.12,0,0.00%,$0.00,$40.12,1,1.45%,$0.59,$40.71
Annandale High,5/29/2025,20009,Cream Cheese(Each),0,0,0,681,573,0,573,$166.17,0,0.00%,$0.00,$166.17,108,15.86%,$31.32,$197.49
Annandale High,5/29/2025,20038,Fat Free White Milk(Each),75,0,75,83,56,0,56,$18.48,0,0.00%,$0.00,$18.48,27,32.53%,$8.91,$27.39
Annandale High,5/29/2025,20015,Golden Delicious Apple(Each),125,0,125,65,45,0,45,$13.95,0,0.00%,$0.00,$13.95,20,30.77%,$6.20,$20.15
Annandale High,5/29/2025,30003,Honey Cheerios Cereal(Each),75,0,75,62,60,0,60,$35.40,0,0.00%,$0.00,$35.40,2,3.23%,$1.18,$36.58
Annandale High,5/29/2025,20017,Orange(6 Slices per 1/2 cup),138,0,138,80,58,0,58,$19.72,0,0.00%,$0.00,$19.72,22,27.50%,$7.48,$27.20
Annandale High,5/29/2025,30009,Orange Tangerine Juice(Each),200,0,200,180,154,0,154,$26.18,0,0.00%,$0.00,$26.18,26,14.44%,$4.42,$30.60
Annandale High,5/29/2025,20014,Red Delicious Apple(Each - serving),125,0,125,140,75,0,75,$24.75,0,0.00%,$0.00,$24.75,65,46.43%,$21.45,$46.20
Annandale High,5/29/2025,60096,Strawberry Parfait(Parfait),120,0,120,60,50,0,50,$49.50,0,0.00%,$0.00,$49.50,10,16.67%,$9.90,$59.40
Annandale Terrace Elementary,5/29/2025,20001,1% White Milk(Each),108,0,108,124,119,0,119,$42.84,0,0.00%,$0.00,$42.84,5,4.03%,$1.80,$44.64
Annandale Terrace Elementary,5/29/2025,30008,Apple Juice(Each),189,0,189,175,174,0,174,$29.58,0,0.00%,$0.00,$29.58,1,0.57%,$0.17,$29.75
Annandale Terrace Elementary,5/29/2025,20031,Banana(Each),88,0,88,100,95,0,95,$19.95,0,0.00%,$0.00,$19.95,5,5.00%,$1.05,$21.00
Annandale Terrace Elementary,5/29/2025,30004,Blueberry Chex Cereal(Each),23,0,23,46,45,0,45,$26.55,0,0.00%,$0.00,$26.55,1,2.17%,$0.59,$27.14
Annandale Terrace Elementary,5/29/2025,30061,Chilled Mandarin Oranges(1/2 cup (drained)),0,0,0,63,63,0,63,$21.42,0,0.00%,$0.00,$21.42,0,0.00%,$0.00,$21.42
Annandale Terrace Elementary,5/29/2025,30007,"Cinnamon Toast Crunch Cereal, 25% Less Sugar(Each)",22,0,22,30,30,0,30,$17.70,0,0.00%,$0.00,$17.70,0,0.00%,$0.00,$17.70
Annandale Terrace Elementary,5/29/2025,60125,Egg and American Cheese on Biscuit(Sandwich),22,0,22,30,30,0,30,$14.10,0,0.00%,$0.00,$14.10,0,0.00%,$0.00,$14.10
Annandale Terrace Elementary,5/29/2025,20038,Fat Free White Milk(Each),21,0,21,35,30,0,30,$9.90,0,0.00%,$0.00,$9.90,5,14.29%,$1.65,$11.55
Annandale Terrace Elementary,5/29/2025,30003,Honey Cheerios Cereal(Each),40,0,40,30,27,0,27,$15.93,0,0.00%,$0.00,$15.93,3,10.00%,$1.77,$17.70
Annandale Terrace Elementary,5/29/2025,20043,"Lactose Free, White Milk(Each)",0,0,0,3,3,0,3,$1.74,0,0.00%,$0.00,$1.74,0,0.00%,$0.00,$1.74
Annandale Terrace Elementary,5/29/2025,30188,"Milk, Soy, Plain, Bulk (12/32 oz)(1 cup)",0,0,0,1,1,0,1,$0.79,0,0.00%,$0.00,$0.79,0,0.00%,$0.00,$0.79
Annandale Terrace Elementary,5/29/2025,10041,Mini Maple Pancakes(Package),295,0,295,290,260,0,260,$101.40,0,0.00%,$0.00,$101.40,30,10.34%,$11.70,$113.10
Annandale Terrace Elementary,5/29/2025,30009,Orange Tangerine Juice(Each),196,0,196,185,180,0,180,$30.60,0,0.00%,$0.00,$30.60,5,2.70%,$0.85,$31.45
Annandale Terrace Elementary,5/29/2025,60096,Strawberry Parfait(Parfait),17,0,17,15,15,0,15,$14.85,0,0.00%,$0.00,$14.85,0,0.00%,$0.00,$14.85
Armstrong Elementary,5/29/2025,20001,1% White Milk(Each),22,0,22,10,10,0,10,$3.60,0,0.00%,$0.00,$3.60,0,0.00%,$0.00,$3.60
Armstrong Elementary,5/29/2025,30008,Apple Juice(Each),28,0,28,40,38,0,38,$6.46,0,0.00%,$0.00,$6.46,2,5.00%,$0.34,$6.80
Armstrong Elementary,5/29/2025,10020,Bagel(Bagel),0,0,0,20,15,0,15,$4.80,0,0.00%,$0.00,$4.80,5,25.00%,$1.60,$6.40
Armstrong Elementary,5/29/2025,20031,Banana(Each),15,0,15,25,15,0,15,$3.15,0,0.00%,$0.00,$3.15,10,40.00%,$2.10,$5.25
Armstrong Elementary,5/29/2025,30004,Blueberry Chex Cereal(Each),4,0,4,10,6,0,6,$3.54,0,0.00%,$0.00,$3.54,4,40.00%,$2.36,$5.90
Armstrong Elementary,5/29/2025,30006,Cinnamon Chex Cereal(Each),7,0,7,10,4,0,4,$2.36,0,0.00%,$0.00,$2.36,6,60.00%,$3.54,$5.90
Armstrong Elementary,5/29/2025,30007,"Cinnamon Toast Crunch Cereal, 25% Less Sugar(Each)",5,0,5,10,5,0,5,$2.95,0,0.00%,$0.00,$2.95,5,50.00%,$2.95,$5.90
Armstrong Elementary,5/29/2025,20009,Cream Cheese(Each),0,0,0,20,15,0,15,$4.35,0,0.00%,$0.00,$4.35,5,25.00%,$1.45,$5.80
Armstrong Elementary,5/29/2025,60125,Egg and American Cheese on Biscuit(Sandwich),9,0,9,6,4,1,5,$2.35,1,16.67%,$0.47,$2.82,0,0.00%,$0.00,$2.82
Armstrong Elementary,5/29/2025,20038,Fat Free White Milk(Each),27,0,27,10,6,0,6,$1.98,0,0.00%,$0.00,$1.98,4,40.00%,$1.32,$3.30
Armstrong Elementary,5/29/2025,30003,Honey Cheerios Cereal(Each),6,0,6,10,2,0,2,$1.18,0,0.00%,$0.00,$1.18,8,80.00%,$4.72,$5.90
Armstrong Elementary,5/29/2025,10041,Mini Maple Pancakes(Package),31,0,31,25,20,5,25,$9.75,0,0.00%,$0.00,$9.75,0,0.00%,$0.00,$9.75
Armstrong Elementary,5/29/2025,20017,Orange(6 Slices per 1/2 cup),10,0,10,0,0,0,0,$0.00,0,0.00%,$0.00,$0.00,0,0.00%,$0.00,$0.00
Armstrong Elementary,5/29/2025,30009,Orange Tangerine Juice(Each),24,0,24,24,21,0,21,$3.57,0,0.00%,$0.00,$3.57,3,12.50%,$0.51,$4.08
Armstrong Elementary,5/29/2025,20014,Red Delicious Apple(Each - serving),5,0,5,0,0,0,0,$0.00,0,0.00%,$0.00,$0.00,0,0.00%,$0.00,$0.00
Armstrong Elementary,5/29/2025,60096,Strawberry Parfait(Parfait),3,0,3,0,0,0,0,$0.00,0,0.00%,$0.00,$0.00,0,0.00%,$0.00,$0.00
Baileys Lower Elementary,5/29/2025,20001,1% White Milk(Each),256,0,256,311,211,0,211,$75.96,0,0.00%,$0.00,$75.96,100,32.15%,$36.00,$111.96
Baileys Lower Elementary,5/29/2025,30008,Apple Juice(Each),175,0,175,240,200,0,200,$34.00,0,0.00%,$0.00,$34.00,40,16.67%,$6.80,$40.80
Baileys Lower Elementary,5/29/2025,20031,Banana(Each),95,0,95,0,0,0,0,$0.00,0,0.00%,$0.00,$0.00,0,0.00%,$0.00,$0.00
Baileys Lower Elementary,5/29/2025,30004,Blueberry Chex Cereal(Each),21,0,21,60,56,0,56,$33.04,0,0.00%,$0.00,$33.04,4,6.67%,$2.36,$35.40
Baileys Lower Elementary,5/29/2025,30068,Chilled Peaches(1/2 cup (drained)),120,0,120,118,118,0,118,$60.18,0,0.00%,$0.00,$60.18,0,0.00%,$0.00,$60.18
Baileys Lower Elementary,5/29/2025,60165,Egg and American Cheese on Bagel(Sandwich),0,0,0,140,132,0,132,$76.56,8,5.71%,$4.64,$81.20,0,0.00%,$0.00,$81.20
