School_Name,Date,Identifier,Name,Planned,Offered,Served,Discarded,Subtotal,Left Over,Production Cost,Reimbursable,Non-Reimbursable,Total,Reimbursable,Non-Reimbursable,Total,Cost,Total,Percent of Offered,Cost,Total,Percent of Offered,Cost
Aldrin Elementary,5/22/2025,10041,Mini Maple Pancakes(Package),62,0,62,41,39,0,39,$15.21,0,0.00%,$0.00,$15.21,2,4.88%,$0.78,$15.99,,,,
Aldrin Elementary,5/22/2025,20001,1% White Milk(Each),29,0,29,37,32,0,32,$11.52,0,0.00%,$0.00,$11.52,5,13.51%,$1.80,$13.32,,,,
Aldrin Elementary,5/22/2025,20014,Red Delicious Apple(Each - serving),49,0,49,55,52,0,52,$17.16,0,0.00%,$0.00,$17.16,3,5.45%,$0.99,$18.15,,,,
Aldrin Elementary,5/22/2025,20038,Fat Free White Milk(Each),10,0,10,15,11,0,11,$3.63,0,0.00%,$0.00,$3.63,4,26.67%,$1.32,$4.95,,,,
Aldrin Elementary,5/22/2025,30003,Honey Cheerios Cereal(Each),12,0,12,10,6,0,6,$3.54,0,0.00%,$0.00,$3.54,4,40.00%,$2.36,$5.90,,,,
Aldrin Elementary,5/22/2025,30004,Blueberry Chex Cereal(Each),7,0,7,10,1,0,1,$0.59,0,0.00%,$0.00,$0.59,9,90.00%,$5.31,$5.90,,,,
Aldrin Elementary,5/22/2025,30006,Cinnamon Chex Cereal(Each),10,0,10,10,5,0,5,$2.95,0,0.00%,$0.00,$2.95,5,50.00%,$2.95,$5.90,,,,
Aldrin Elementary,5/22/2025,30007,"Cinnamon Toast Crunch Cereal, 25% Less Sugar(Each)",11,0,11,10,4,0,4,$2.36,0,0.00%,$0.00,$2.36,6,60.00%,$3.54,$5.90,,,,
Aldrin Elementary,5/22/2025,30008,Apple Juice(Each),33,0,33,55,45,0,45,$7.65,0,0.00%,$0.00,$7.65,10,18.18%,$1.70,$9.35,,,,
Aldrin Elementary,5/22/2025,30009,Orange Tangerine Juice(Each),26,0,26,57,37,0,37,$6.29,0,0.00%,$0.00,$6.29,20,35.09%,$3.40,$9.69,,,,
Aldrin Elementary,5/22/2025,30068,Chilled Peaches(1/2 cup (drained)),12,0,12,12,10,0,10,$5.10,0,0.00%,$0.00,$5.10,2,16.67%,$1.02,$6.12,,,,
Aldrin Elementary,5/22/2025,60089,Assorted Cereal(Cereal Cup),0,0,0,5,3,0,3,$1.77,0,0.00%,$0.00,$1.77,2,40.00%,$1.18,$2.95,,,,
Aldrin Elementary,5/22/2025,60096,Strawberry Parfait(Parfait),2,0,2,4,1,0,1,$0.99,0,0.00%,$0.00,$0.99,3,75.00%,$2.97,$3.96,,,,
Aldrin Elementary,5/22/2025,60125,Egg and American Cheese on Biscuit(Sandwich),4,0,4,32,30,0,30,$14.10,0,0.00%,$0.00,$14.10,2,6.25%,$0.94,$15.04,,,,
Aldrin Elementary,5/22/2025,60165,Egg and American Cheese on Bagel(Sandwich),0,0,0,3,2,0,2,$1.16,0,0.00%,$0.00,$1.16,1,33.33%,$0.58,$1.74,,,,
Annandale High,5/22/2025,10041,Mini Maple Pancakes(Package),300,0,300,505,436,0,436,$170.04,1,0.20%,$0.39,$170.43,68,13.47%,$26.52,$196.95,,,,
