School_Name,Date,Identifier,Name,Planned_Reimbursable,Planned_Non-Reimbursable,Planned_Total,Offered_Reimbursable,Offered_Non-Reimbursable,Offered_Total,Served_Reimbursable,Served_Non-Reimbursable,Served_Total,Discarded_Total,Discarded_Cost,Subtotal_Cost,Left_Over_Total,Left_Over_Percent_of_Offered,Left_Over_Cost,Production_Cost_Total
Aldrin Elementary,5/02/2025,10023,Blueberry Bread (1oz Grain (1/64 Baked Pan)),0,0,0,8,7,0,7,$2.87,0,0.00%,$0.00,$2.87,1,12.50%,$0.41,$3.28
Aldrin Elementary,5/02/2025,10040,Blueberry Muffin Top (Muffin Top),43,0,43,25,22,0,22,$9.24,0,0.00%,$0.00,$9.24,3,12.00%,$1.26,$10.50
Aldrin Elementary,5/02/2025,20001,1% White Milk (Each),33,0,33,40,30,0,30,$10.80,0,0.00%,$0.00,$10.80,10,25.00%,$3.60,$14.40
Aldrin Elementary,5/02/2025,20016,String Cheese (1 Stick),38,0,38,25,22,0,22,$4.84,0,0.00%,$0.00,$4.84,3,12.00%,$0.66,$5.50
Aldrin Elementary,5/02/2025,20031,Banana (Each),50,0,50,55,52,0,52,$10.92,0,0.00%,$0.00,$10.92,3,5.45%,$0.63,$11.55
Aldrin Elementary,5/02/2025,20038,Fat Free White Milk (Each),11,0,11,15,11,0,11,$3.63,0,0.00%,$0.00,$3.63,4,26.67%,$1.32,$4.95
Aldrin Elementary,5/02/2025,30003,Honey Cheerios Cereal (Each),10,0,10,15,11,0,11,$6.49,0,0.00%,$0.00,$6.49,4,26.67%,$2.36,$8.85
Aldrin Elementary,5/02/2025,30004,Blueberry Chex Cereal (Each),15,0,15,21,17,0,17,$10.03,0,0.00%,$0.00,$10.03,4,19.05%,$2.36,$12.39
Aldrin Elementary,5/02/2025,30006,Cinnamon Chex Cereal (Each),12,0,12,15,13,0,13,$7.67,0,0.00%,$0.00,$7.67,2,13.33%,$1.18,$8.85
Aldrin Elementary,5/02/2025,30007,"Cinnamon Toast Crunch Cereal, 25% Less Sugar (Each)",13,0,13,15,12,0,12,$7.08,0,0.00%,$0.00,$7.08,3,20.00%,$1.77,$8.85
Aldrin Elementary,5/02/2025,30008,Apple Juice (Each),56,0,56,60,54,0,54,$9.18,0,0.00%,$0.00,$9.18,6,10.00%,$1.02,$10.20
Aldrin Elementary,5/02/2025,30009,Orange Tangerine Juice (Each),20,0,20,35,28,0,28,$4.76,0,0.00%,$0.00,$4.76,7,20.00%,$1.19,$5.95
Aldrin Elementary,5/02/2025,60034,Mandarin Orange Parfait (Parfait),3,0,3,3,2,0,2,$1.98,0,0.00%,$0.00,$1.98,1,33.33%,$0.99,$2.97
Aldrin Elementary,5/02/2025,60062,Chilled Pineapple (1/2 cup),14,0,14,15,12,0,12,$3.60,0,0.00%,$0.00,$3.60,3,20.00%,$0.90,$4.50
Annandale High,5/02/2025,10020,Bagel (Bagel),0,0,0,672,553,0,553,$176.96,1,0.15%,$0.32,$177.28,118,17.56%,$37.76,$215.04
Annandale High,5/02/2025,10041,Mini Maple Pancakes (Package),0,0,0,890,888,0,888,$346.32,0,0.00%,$0.00,$346.32,2,0.22%,$0.78,$347.10
Annandale High,5/02/2025,20001,1% White Milk (Each),100,0,100,105,87,0,87,$31.32,0,0.00%,$0.00,$31.32,18,17.14%,$6.48,$37.80
Annandale High,5/02/2025,20009,Cream Cheese (Each),0,0,0,672,553,0,553,$160.37,1,0.15%,$0.29,$160.66,118,17.56%,$34.22,$194.88
Annandale High,5/02/2025,20014,Red Delicious Apple (Each - serving),125,0,125,130,73,0,73,$24.09,1,0.77%,$0.33,$24.42,56,43.08%,$18.48,$42.90
Annandale High,5/02/2025,20017,Orange (6 Slices per 1/2 cup),135,0,135,50,43,0,43,$14.62,1,2.00%,$0.34,$14.96,6,12.00%,$2.04,$17.00
Annandale High,5/02/2025,20038,Fat Free White Milk (Each),100,0,100,101,46,0,46,$15.18,0,0.00%,$0.00,$15.18,55,54.46%,$18.15,$33.33
Annandale High,5/02/2025,30003,Honey Cheerios Cereal (Each),100,0,100,120,63,0,63,$37.17,0,0.00%,$0.00,$37.17,57,47.50%,$33.63,$70.80
Annandale High,5/02/2025,30004,Blueberry Chex Cereal (Each),25,0,25,60,50,0,50,$29.50,0,0.00%,$0.00,$29.50,10,16.67%,$5.90,$35.40
Annandale High,5/02/2025,30007,"Cinnamon Toast Crunch Cereal, 25% Less Sugar (Each)",100,0,100,60,54,0,54,$31.86,0,0.00%,$0.00,$31.86,6,10.00%,$3.54,$35.40
Annandale High,5/02/2025,30008,Apple Juice (Each),800,0,800,880,857,0,857,$145.69,0,0.00%,$0.00,$145.69,23,2.61%,$3.91,$149.60
Annandale High,5/02/2025,30009,Orange Tangerine Juice (Each),200,0,200,196,171,0,171,$29.07,0,0.00%,$0.00,$29.07,25,12.76%,$4.25,$33.32
Annandale High,5/02/2025,60096,Strawberry Parfait (Parfait),0,0,0,110,110,0,110,$108.90,0,0.00%,$0.00,$108.90,0,0.00%,$0.00,$108.90
Annandale Terrace Elementary,5/02/2025,10040,Blueberry Muffin Top (Muffin Top),227,0,227,242,238,0,238,$99.96,0,0.00%,$0.00,$99.96,4,1.65%,$1.68,$101.64
Annandale Terrace Elementary,5/02/2025,10073,Whole Strawberries (1/2 cup thawed),0,0,0,52,52,0,52,$17.68,0,0.00%,$0.00,$17.68,0,0.00%,$0.00,$17.68
Annandale Terrace Elementary,5/02/2025,20001,1% White Milk (Each),132,0,132,123,116,0,116,$41.76,0,0.00%,$0.00,$41.76,7,5.69%,$2.52,$44.28
Annandale Terrace Elementary,5/02/2025,20016,String Cheese (1 Stick),296,0,296,242,238,0,238,$52.36,0,0.00%,$0.00,$52.36,4,1.65%,$0.88,$53.24
Annandale Terrace Elementary,5/02/2025,20031,Banana (Each),97,0,97,107,105,0,105,$22.05,0,0.00%,$0.00,$22.05,2,1.87%,$0.42,$22.47
Annandale Terrace Elementary,5/02/2025,20038,Fat Free White Milk (Each),28,0,28,25,22,0,22,$7.26,0,0.00%,$0.00,$7.26,3,12.00%,$0.99,$8.25
Annandale Terrace Elementary,5/02/2025,20043,"Lactose Free, White Milk (Each)",0,0,0,3,3,0,3,$1.74,0,0.00%,$0.00,$1.74,0,0.00%,$0.00,$1.74
