school_name,date,identifier,name,planned_reimbursable,planned_non-reimbursable,planned_total,offered,served_reimbursable,served_non-reimbursable,served_total,served_cost,discarded_total,discarded_percent_of_offered,discarded_cost,subtotal_cost,left_over_total,left_over_percent_of_offered,left_over_cost,production_cost_total
Aldrin Elementary,5/14/2025,20001,1% White Milk(Each),36,0,36,37,34,0,34,$12.24,0,0.00%,$0.00,$12.24,3,8.11%,$1.08,$13.32
Aldrin Elementary,5/14/2025,30008,Apple Juice(Each),58,0,58,67,62,0,62,$10.54,0,0.00%,$0.00,$10.54,5,7.46%,$0.85,$11.39
Aldrin Elementary,5/14/2025,20031,Banana(Each),12,0,12,12,11,0,11,$2.31,0,0.00%,$0.00,$2.31,1,8.33%,$0.21,$2.52
Aldrin Elementary,5/14/2025,10096,"Batter, Pumpkin Bread(1oz Grain (1/64 Baked Pan))",25,0,25,42,39,0,39,$15.99,2,4.76%,$0.82,$16.81,1,2.38%,$0.41,$17.22
Aldrin Elementary,5/14/2025,30004,Blueberry Chex Cereal(Each),7,0,7,15,11,0,11,$6.49,0,0.00%,$0.00,$6.49,4,26.67%,$2.36,$8.85
Aldrin Elementary,5/14/2025,60162,Chicken & Biscuit Sandwich(Sandwich),10,0,10,4,3,0,3,$1.59,0,0.00%,$0.00,$1.59,1,25.00%,$0.53,$2.12
Aldrin Elementary,5/14/2025,30006,Cinnamon Chex Cereal(Each),8,0,8,15,12,0,12,$7.08,0,0.00%,$0.00,$7.08,3,20.00%,$1.77,$8.85
Aldrin Elementary,5/14/2025,30007,"Cinnamon Toast Crunch Cereal, 25% Less Sugar(Each)",6,0,6,15,12,0,12,$7.08,0,0.00%,$0.00,$7.08,3,20.00%,$1.77,$8.85
Aldrin Elementary,5/14/2025,20038,Fat Free White Milk(Each),13,0,13,15,13,0,13,$4.29,0,0.00%,$0.00,$4.29,2,13.33%,$0.66,$4.95
Aldrin Elementary,5/14/2025,30003,Honey Cheerios Cereal(Each),13,0,13,21,17,0,17,$10.03,0,0.00%,$0.00,$10.03,4,19.05%,$2.36,$12.39
Aldrin Elementary,5/14/2025,60034,Mandarin Orange Parfait(Parfait),2,0,2,2,1,0,1,$0.99,1,50.00%,$0.99,$1.98,0,0.00%,$0.00,$1.98
Aldrin Elementary,5/14/2025,20017,Orange(6 Slices per 1/2 cup),55,0,55,55,52,0,52,$17.68,0,0.00%,$0.00,$17.68,3,5.45%,$1.02,$18.70
Aldrin Elementary,5/14/2025,30009,Orange Tangerine Juice(Each),23,0,23,25,22,0,22,$3.74,0,0.00%,$0.00,$3.74,3,12.00%,$0.51,$4.25
Aldrin Elementary,5/14/2025,20016,String Cheese(1 Stick),25,0,25,35,33,0,33,$7.26,2,5.71%,$0.44,$7.70,0,0.00%,$0.00,$7.70
Annandale High,5/14/2025,20001,1% White Milk(Each),75,0,75,85,82,0,82,$29.52,0,0.00%,$0.00,$29.52,3,3.53%,$1.08,$30.60
Annandale High,5/14/2025,30008,Apple Juice(Each),800,0,800,880,800,0,800,$136.00,0,0.00%,$0.00,$136.00,80,9.09%,$13.60,$149.60
Annandale High,5/14/2025,20031,Banana(Each),110,0,110,150,118,0,118,$24.78,2,1.33%,$0.42,$25.20,30,20.00%,$6.30,$31.50
Annandale High,5/14/2025,30004,Blueberry Chex Cereal(Each),50,0,50,68,57,0,57,$33.63,0,0.00%,$0.00,$33.63,11,16.18%,$6.49,$40.12
Annandale High,5/14/2025,30006,Cinnamon Chex Cereal(Each),50,0,50,71,63,0,63,$37.17,0,0.00%,$0.00,$37.17,8,11.27%,$4.72,$41.89
Annandale High,5/14/2025,30007,"Cinnamon Toast Crunch Cereal, 25% Less Sugar(Each)",75,0,75,65,63,0,63,$37.17,0,0.00%,$0.00,$37.17,2,3.08%,$1.18,$38.35
Annandale High,5/14/2025,20038,Fat Free White Milk(Each),75,0,75,113,78,0,78,$25.74,0,0.00%,$0.00,$25.74,35,30.97%,$11.55,$37.29
Annandale High,5/14/2025,20015,Golden Delicious Apple(Each),0,0,0,50,37,0,37,$11.47,2,4.00%,$0.62,$12.09,11,22.00%,$3.41,$15.50
Annandale High,5/14/2025,30003,Honey Cheerios Cereal(Each),75,0,75,66,64,0,64,$37.76,0,0.00%,$0.00,$37.76,2,3.03%,$1.18,$38.94
Annandale High,5/14/2025,60034,Mandarin Orange Parfait(Parfait),125,0,125,122,115,0,115,$113.85,1,0.82%,$0.99,$114.84,6,4.92%,$5.94,$120.78
Annandale High,5/14/2025,10041,Mini Maple Pancakes(Package),0,0,0,569,468,0,468,$182.52,0,0.00%,$0.00,$182.52,101,17.75%,$39.39,$221.91
Annandale High,5/14/2025,20017,Orange(6 Slices per 1/2 cup),138,0,138,50,46,0,46,$15.64,0,0.00%,$0.00,$15.64,4,8.00%,$1.36,$17.00
Annandale High,5/14/2025,30009,Orange Tangerine Juice(Each),200,0,200,189,149,0,149,$25.33,0,0.00%,$0.00,$25.33,40,21.16%,$6.80,$32.13
Annandale High,5/14/2025,20014,Red Delicious Apple(Each - serving),125,0,125,100,73,0,73,$24.09,0,0.00%,$0.00,$24.09,27,27.00%,$8.91,$33.00
Annandale High,5/14/2025,60164,"Sandwich, Breakfast. Bagel, Turkey Sausage(Sandwich)",0,0,0,135,131,0,131,$70.74,1,0.74%,$0.54,$71.28,3,2.22%,$1.62,$72.90
