School_Name,Date,Identifier,Name,Planned,Offered,Served,Discarded,Subtotal,Left Over,Production Cost,Reimbursable,Non-Reimbursable,Total,Reimbursable,Non-Reimbursable,Total,Cost,Total,Percent of Offered,Cost,Total,Percent of Offered,Cost
Aldrin Elementary,5/01/2025,10041,Mini Maple Pancakes(Package),57,0,57,59,56,0,56,$21.84,0,0.00%,$0.00,$21.84,3,5.08%,$1.17,$23.01,,,,
Aldrin Elementary,5/01/2025,20001,1% White Milk(Each),33,0,33,37,34,0,34,$12.24,0,0.00%,$0.00,$12.24,3,8.11%,$1.08,$13.32,,,,
Aldrin Elementary,5/01/2025,20017,Orange(6 Slices per 1/2 cup),51,0,51,55,53,0,53,$18.02,0,0.00%,$0.00,$18.02,2,3.64%,$0.68,$18.70,,,,
Aldrin Elementary,5/01/2025,20038,Fat Free White Milk(Each),11,0,11,15,13,0,13,$4.29,0,0.00%,$0.00,$4.29,2,13.33%,$0.66,$4.95,,,,
Aldrin Elementary,5/01/2025,30003,Honey Cheerios Cereal(Each),10,0,10,10,7,0,7,$4.13,0,0.00%,$0.00,$4.13,3,30.00%,$1.77,$5.90,,,,
Aldrin Elementary,5/01/2025,30004,Blueberry Chex Cereal(Each),11,0,11,10,8,0,8,$4.72,0,0.00%,$0.00,$4.72,2,20.00%,$1.18,$5.90,,,,
Aldrin Elementary,5/01/2025,30006,Cinnamon Chex Cereal(Each),12,0,12,10,8,0,8,$4.72,0,0.00%,$0.00,$4.72,2,20.00%,$1.18,$5.90,,,,
Aldrin Elementary,5/01/2025,30007,"Cinnamon Toast Crunch Cereal, 25% Less Sugar(Each)",13,0,13,10,5,0,5,$2.95,0,0.00%,$0.00,$2.95,5,50.00%,$2.95,$5.90,,,,
Aldrin Elementary,5/01/2025,30008,Apple Juice(Each),43,0,43,55,50,0,50,$8.50,0,0.00%,$0.00,$8.50,5,9.09%,$0.85,$9.35,,,,
Aldrin Elementary,5/01/2025,30009,Orange Tangerine Juice(Each),29,0,29,47,40,0,40,$6.80,0,0.00%,$0.00,$6.80,7,14.89%,$1.19,$7.99,,,,
Aldrin Elementary,5/01/2025,30068,Chilled Peaches(1/2 cup (drained)),13,0,13,12,11,0,11,$5.61,0,0.00%,$0.00,$5.61,1,8.33%,$0.51,$6.12,,,,
Aldrin Elementary,5/01/2025,60089,Assorted Cereal(Cereal Cup),0,0,0,10,4,0,4,$2.36,0,0.00%,$0.00,$2.36,6,60.00%,$3.54,$5.90,,,,
Aldrin Elementary,5/01/2025,60096,Strawberry Parfait(Parfait),4,0,4,5,1,0,1,$0.99,0,0.00%,$0.00,$0.99,4,80.00%,$3.96,$4.95,,,,
Aldrin Elementary,5/01/2025,60125,Egg and American Cheese on Biscuit(Sandwich),10,0,10,7,4,0,4,$1.88,1,14.29%,$0.47,$2.35,2,28.57%,$0.94,$3.29,,,,
Annandale High,5/01/2025,10021,Apple Cinnamon Bread(1oz Grain (1/64 Baked Pan)),0,0,0,147,147,0,147,$60.27,0,0.00%,$0.00,$60.27,0,0.00%,$0.00,$60.27,,,,
Annandale High,5/01/2025,10041,Mini Maple Pancakes(Package),400,0,400,600,511,0,511,$199.29,1,0.17%,$0.39,$199.68,88,14.67%,$34.32,$234.00,,,,
Annandale High,5/01/2025,20001,1% White Milk(Each),100,0,100,149,99,0,99,$35.64,0,0.00%,$0.00,$35.64,50,33.56%,$18.00,$53.64,,,,
Annandale High,5/01/2025,20014,Red Delicious Apple(Each - serving),125,0,125,120,83,0,83,$27.39,0,0.00%,$0.00,$27.39,37,30.83%,$12.21,$39.60,,,,
Annandale High,5/01/2025,20015,Golden Delicious Apple(Each),0,0,0,100,94,0,94,$29.14,0,0.00%,$0.00,$29.14,6,6.00%,$1.86,$31.00,,,,
Annandale High,5/01/2025,20017,Orange(6 Slices per 1/2 cup),138,0,138,80,74,0,74,$25.16,0,0.00%,$0.00,$25.16,6,7.50%,$2.04,$27.20,,,,
Annandale High,5/01/2025,20038,Fat Free White Milk(Each),100,0,100,64,57,0,57,$18.81,0,0.00%,$0.00,$18.81,7,10.94%,$2.31,$21.12,,,,
Annandale High,5/01/2025,30003,Honey Cheerios Cereal(Each),100,0,100,65,63,0,63,$37.17,0,0.00%,$0.00,$37.17,2,3.08%,$1.18,$38.35,,,,
Annandale High,5/01/2025,30004,Blueberry Chex Cereal(Each),25,0,25,64,36,0,36,$21.24,0,0.00%,$0.00,$21.24,28,43.75%,$16.52,$37.76,,,,
Annandale High,5/01/2025,30007,"Cinnamon Toast Crunch Cereal, 25% Less Sugar(Each)",100,0,100,121,120,0,120,$70.80,0,0.00%,$0.00,$70.80,1,0.83%,$0.59,$71.39,,,,
Annandale High,5/01/2025,30008,Apple Juice(Each),800,0,800,886,800,0,800,$136.00,0,0.00%,$0.00,$136.00,86,9.71%,$14.62,$150.62,,,,
Annandale High,5/01/2025,30009,Orange Tangerine Juice(Each),200,0,200,175,168,0,168,$28.56,0,0.00%,$0.00,$28.56,7,4.00%,$1.19,$29.75,,,,
Annandale High,5/01/2025,60096,Strawberry Parfait(Parfait),125,0,125,128,107,0,107,$105.93,1,0.78%,$0.99,$106.92,20,15.63%,$19.80,$126.72,,,,
Annandale Terrace Elementary,5/01/2025,10041,Mini Maple Pancakes(Package),408,0,408,305,281,0,281,$109.59,0,0.00%,$0.00,$109.59,24,7.87%,$9.36,$118.95,,,,
Annandale Terrace Elementary,5/01/2025,20001,1% White Milk(Each),135,0,135,108,103,0,103,$37.08,0,0.00%,$0.00,$37.08,5,4.63%,$1.80,$38.88,,,,
