School_Name,Date,Identifier,Name,Planned,Offered,Served,Discarded,Subtotal,Left Over,Production Cost,Reimbursable,Non-Reimbursable,Total,Reimbursable,Non-Reimbursable,Total,Cost,Total,Percent of Offered,Cost,Total,Percent of Offered,Cost
Aldrin Elementary,5/20/2025,20001,1% White Milk(Each),29,0,29,45,41,0,41,$14.76,0,0.00%,$0.00,$14.76,4,8.89%,$1.44,$16.20,,,,
Aldrin Elementary,5/20/2025,20017,Orange(6 Slices per 1/2 cup),49,0,49,55,53,0,53,$18.02,0,0.00%,$0.00,$18.02,2,3.64%,$0.68,$18.70,,,,
Aldrin Elementary,5/20/2025,20038,Fat Free White Milk(Each),10,0,10,15,13,0,13,$4.29,0,0.00%,$0.00,$4.29,2,13.33%,$0.66,$4.95,,,,
Aldrin Elementary,5/20/2025,30003,Honey Cheerios Cereal(Each),12,0,12,15,13,0,13,$7.67,0,0.00%,$0.00,$7.67,2,13.33%,$1.18,$8.85,,,,
Aldrin Elementary,5/20/2025,30004,Blueberry Chex Cereal(Each),7,0,7,15,12,0,12,$7.08,0,0.00%,$0.00,$7.08,3,20.00%,$1.77,$8.85,,,,
Aldrin Elementary,5/20/2025,30006,Cinnamon Chex Cereal(Each),10,0,10,15,13,0,13,$7.67,0,0.00%,$0.00,$7.67,2,13.33%,$1.18,$8.85,,,,
Aldrin Elementary,5/20/2025,30007,"Cinnamon Toast Crunch Cereal, 25% Less Sugar(Each)",11,0,11,15,13,0,13,$7.67,0,0.00%,$0.00,$7.67,2,13.33%,$1.18,$8.85,,,,
Aldrin Elementary,5/20/2025,30008,Apple Juice(Each),33,0,33,45,42,0,42,$7.14,0,0.00%,$0.00,$7.14,3,6.67%,$0.51,$7.65,,,,
Aldrin Elementary,5/20/2025,30009,Orange Tangerine Juice(Each),26,0,26,40,35,0,35,$5.95,0,0.00%,$0.00,$5.95,5,12.50%,$0.85,$6.80,,,,
Aldrin Elementary,5/20/2025,30020,Applesauce(1/2 Cup),12,0,12,10,9,0,9,$1.89,0,0.00%,$0.00,$1.89,1,10.00%,$0.21,$2.10,,,,
Aldrin Elementary,5/20/2025,30051,Natural Grape Jam(Packet),19,0,19,50,48,0,48,$4.32,0,0.00%,$0.00,$4.32,2,4.00%,$0.18,$4.50,,,,
Aldrin Elementary,5/20/2025,60011,Turkey Sausage Breakfast Biscuit(Sandwich),12,0,12,11,8,0,8,$3.52,0,0.00%,$0.00,$3.52,3,27.27%,$1.32,$4.84,,,,
Aldrin Elementary,5/20/2025,60068,Biscuit(Biscuit),19,0,19,45,41,0,41,$8.61,0,0.00%,$0.00,$8.61,4,8.89%,$0.84,$9.45,,,,
Aldrin Elementary,5/20/2025,60089,Assorted Cereal(Cereal Cup),0,0,0,5,4,0,4,$2.36,0,0.00%,$0.00,$2.36,1,20.00%,$0.59,$2.95,,,,
Aldrin Elementary,5/20/2025,60096,Strawberry Parfait(Parfait),2,0,2,5,3,0,3,$2.97,0,0.00%,$0.00,$2.97,2,40.00%,$1.98,$4.95,,,,
Annandale High,5/20/2025,10041,Mini Maple Pancakes(Package),0,0,0,515,430,0,430,$167.70,0,0.00%,$0.00,$167.70,85,16.50%,$33.15,$200.85,,,,
Annandale High,5/20/2025,20001,1% White Milk(Each),75,0,75,63,62,0,62,$22.32,0,0.00%,$0.00,$22.32,1,1.59%,$0.36,$22.68,,,,
Annandale High,5/20/2025,20014,Red Delicious Apple(Each - serving),125,0,125,130,97,0,97,$32.01,0,0.00%,$0.00,$32.01,33,25.38%,$10.89,$42.90,,,,
Annandale High,5/20/2025,20015,Golden Delicious Apple(Each),0,0,0,90,72,0,72,$22.32,2,2.22%,$0.62,$22.94,16,17.78%,$4.96,$27.90,,,,
Annandale High,5/20/2025,20017,Orange(6 Slices per 1/2 cup),100,0,100,105,68,0,68,$23.12,0,0.00%,$0.00,$23.12,37,35.24%,$12.58,$35.70,,,,
Annandale High,5/20/2025,20038,Fat Free White Milk(Each),75,0,75,110,74,0,74,$24.42,0,0.00%,$0.00,$24.42,36,32.73%,$11.88,$36.30,,,,
Annandale High,5/20/2025,30003,Honey Cheerios Cereal(Each),75,0,75,120,100,0,100,$59.00,0,0.00%,$0.00,$59.00,20,16.67%,$11.80,$70.80,,,,
Annandale High,5/20/2025,30004,Blueberry Chex Cereal(Each),50,0,50,60,58,0,58,$34.22,0,0.00%,$0.00,$34.22,2,3.33%,$1.18,$35.40,,,,
Annandale High,5/20/2025,30006,Cinnamon Chex Cereal(Each),50,0,50,30,29,0,29,$17.11,0,0.00%,$0.00,$17.11,1,3.33%,$0.59,$17.70,,,,
Annandale High,5/20/2025,30007,"Cinnamon Toast Crunch Cereal, 25% Less Sugar(Each)",75,0,75,30,27,0,27,$15.93,0,0.00%,$0.00,$15.93,3,10.00%,$1.77,$17.70,,,,
Annandale High,5/20/2025,30008,Apple Juice(Each),800,0,800,840,788,0,788,$133.96,0,0.00%,$0.00,$133.96,52,6.19%,$8.84,$142.80,,,,
Annandale High,5/20/2025,30009,Orange Tangerine Juice(Each),200,0,200,255,185,0,185,$31.45,0,0.00%,$0.00,$31.45,70,27.45%,$11.90,$43.35,,,,
Annandale High,5/20/2025,30051,Natural Grape Jam(Packet),100,0,100,100,56,0,56,$5.04,2,2.00%,$0.18,$5.22,42,42.00%,$3.78,$9.00,,,,
Annandale High,5/20/2025,60096,Strawberry Parfait(Parfait),125,0,125,121,115,0,115,$113.85,2,1.65%,$1.98,$115.83,4,3.31%,$3.96,$119.79,,,,
Annandale High,5/20/2025,60164,"Sandwich, Breakfast. Bagel, Turkey Sausage(Sandwich)",0,0,0,230,227,0,227,$122.58,1,0.43%,$0.54,$123.12,2,0.87%,$1.08,$124.20,,,,
Annandale Terrace Elementary,5/20/2025,10020,Bagel(Bagel),0,0,0,93,93,0,93,$29.76,0,0.00%,$0.00,$29.76,0,0.00%,$0.00,$29.76,,,,
Annandale Terrace Elementary,5/20/2025,10041,Mini Maple Pancakes(Package),0,0,0,57,57,0,57,$22.23,0,0.00%,$0.00,$22.23,0,0.00%,$0.00,$22.23,,,,
Annandale Terrace Elementary,5/20/2025,20001,1% White Milk(Each),98,0,98,189,188,0,188,$67.68,0,0.00%,$0.00,$67.68,1,0.53%,$0.36,$68.04,,,,
Annandale Terrace Elementary,5/20/2025,20009,Cream Cheese(Each),0,0,0,93,93,0,93,$26.97,0,0.00%,$0.00,$26.97,0,0.00%,$0.00,$26.97,,,,
Annandale Terrace Elementary,5/20/2025,20014,Red Delicious Apple(Each - serving),110,0,110,105,85,0,85,$28.05,0,0.00%,$0.00,$28.05,20,19.05%,$6.60,$34.65,,,,
Annandale Terrace Elementary,5/20/2025,20038,Fat Free White Milk(Each),24,0,24,40,39,0,39,$12.87,0,0.00%,$0.00,$12.87,1,2.50%,$0.33,$13.20,,,,
Annandale Terrace Elementary,5/20/2025,20043,"Lactose Free, White Milk(Each)",0,0,0,3,3,0,3,$1.74,0,0.00%,$0.00,$1.74,0,0.00%,$0.00,$1.74,,,,
Annandale Terrace Elementary,5/20/2025,30003,Honey Cheerios Cereal(Each),50,0,50,45,44,0,44,$25.96,0,0.00%,$0.00,$25.96,1,2.22%,$0.59,$26.55,,,,
Annandale Terrace Elementary,5/20/2025,30004,Blueberry Chex Cereal(Each),50,0,50,40,39,0,39,$23.01,0,0.00%,$0.00,$23.01,1,2.50%,$0.59,$23.60,,,,
