school_name,date,identifier,name,planned_reimbursable,planned_non-reimbursable,planned_total,offered,served_reimbursable,served_non-reimbursable,served_total,served_cost,discarded_total,discarded_percent_of_offered,discarded_cost,subtotal_cost,left_over_total,left_over_percent_of_offered,left_over_cost,production_cost_total
Aldrin Elementary,5/16/2025,20001,1% White Milk(Each),34,0,34,42,37,0,37,$13.32,0,0.00%,$0.00,$13.32,5,11.90%,$1.80,$15.12
Aldrin Elementary,5/16/2025,30008,Apple Juice(Each),55,0,55,67,63,0,63,$10.71,0,0.00%,$0.00,$10.71,4,5.97%,$0.68,$11.39
Aldrin Elementary,5/16/2025,60089,Assorted Cereal(Cereal Cup),0,0,0,10,5,0,5,$2.95,0,0.00%,$0.00,$2.95,5,50.00%,$2.95,$5.90
Aldrin Elementary,5/16/2025,60151,Blueberry Bread(1 square),65,0,65,32,31,0,31,$12.71,0,0.00%,$0.00,$12.71,1,3.13%,$0.41,$13.12
Aldrin Elementary,5/16/2025,30004,Blueberry Chex Cereal(Each),13,0,13,25,17,0,17,$10.03,0,0.00%,$0.00,$10.03,8,32.00%,$4.72,$14.75
Aldrin Elementary,5/16/2025,60062,Chilled Pineapple(1/2 cup),13,0,13,12,11,0,11,$3.30,0,0.00%,$0.00,$3.30,1,8.33%,$0.30,$3.60
Aldrin Elementary,5/16/2025,30006,Cinnamon Chex Cereal(Each),8,0,8,15,14,0,14,$8.26,0,0.00%,$0.00,$8.26,1,6.67%,$0.59,$8.85
Aldrin Elementary,5/16/2025,30007,"Cinnamon Toast Crunch Cereal, 25% Less Sugar(Each)",6,0,6,15,14,0,14,$8.26,0,0.00%,$0.00,$8.26,1,6.67%,$0.59,$8.85
Aldrin Elementary,5/16/2025,20038,Fat Free White Milk(Each),12,0,12,15,13,0,13,$4.29,0,0.00%,$0.00,$4.29,2,13.33%,$0.66,$4.95
Aldrin Elementary,5/16/2025,30003,Honey Cheerios Cereal(Each),7,0,7,15,13,0,13,$7.67,0,0.00%,$0.00,$7.67,2,13.33%,$1.18,$8.85
Aldrin Elementary,5/16/2025,60034,Mandarin Orange Parfait(Parfait),2,0,2,2,1,0,1,$0.99,0,0.00%,$0.00,$0.99,1,50.00%,$0.99,$1.98
Aldrin Elementary,5/16/2025,20017,Orange(6 Slices per 1/2 cup),51,0,51,55,52,0,52,$17.68,0,0.00%,$0.00,$17.68,3,5.45%,$1.02,$18.70
Aldrin Elementary,5/16/2025,30009,Orange Tangerine Juice(Each),21,0,21,25,23,0,23,$3.91,0,0.00%,$0.00,$3.91,2,8.00%,$0.34,$4.25
Aldrin Elementary,5/16/2025,20016,String Cheese(1 Stick),30,0,30,32,31,0,31,$6.82,0,0.00%,$0.00,$6.82,1,3.13%,$0.22,$7.04
Annandale High,5/16/2025,20001,1% White Milk(Each),75,0,75,87,72,0,72,$25.92,0,0.00%,$0.00,$25.92,15,17.24%,$5.40,$31.32
Annandale High,5/16/2025,30008,Apple Juice(Each),800,0,800,800,747,0,747,$126.99,0,0.00%,$0.00,$126.99,53,6.63%,$9.01,$136.00
Annandale High,5/16/2025,10020,Bagel(Bagel),0,0,0,515,513,0,513,$164.16,0,0.00%,$0.00,$164.16,2,0.39%,$0.64,$164.80
Annandale High,5/16/2025,30006,Cinnamon Chex Cereal(Each),50,0,50,68,56,0,56,$33.04,0,0.00%,$0.00,$33.04,12,17.65%,$7.08,$40.12
Annandale High,5/16/2025,30007,"Cinnamon Toast Crunch Cereal, 25% Less Sugar(Each)",75,0,75,66,61,0,61,$35.99,0,0.00%,$0.00,$35.99,5,7.58%,$2.95,$38.94
Annandale High,5/16/2025,20009,Cream Cheese(Each),0,0,0,515,513,0,513,$148.77,0,0.00%,$0.00,$148.77,2,0.39%,$0.58,$149.35
Annandale High,5/16/2025,20038,Fat Free White Milk(Each),75,0,75,140,61,0,61,$20.13,0,0.00%,$0.00,$20.13,79,56.43%,$26.07,$46.20
