School_Name,Date,Identifier,Name,Planned,Offered,Served,Discarded,Subtotal,Left Over,Production Cost,Reimbursable,Non-Reimbursable,Total,Reimbursable,Non-Reimbursable,Total,Cost,Total,Percent of Offered,Cost,Total,Percent of Offered,Cost
Aldrin Elementary,5/07/2025,10096,"Batter, Pumpkin Bread(1oz Grain (1/64 Baked Pan))",23,0,23,25,22,0,22,$9.02,0,0.00%,$0.00,$9.02,3,12.00%,$1.23,$10.25,,,,
Aldrin Elementary,5/07/2025,20001,1% White Milk(Each),43,0,43,40,35,0,35,$12.60,0,0.00%,$0.00,$12.60,5,12.50%,$1.80,$14.40,,,,
Aldrin Elementary,5/07/2025,20016,String Cheese(1 Stick),23,0,23,25,22,0,22,$4.84,0,0.00%,$0.00,$4.84,3,12.00%,$0.66,$5.50,,,,
Aldrin Elementary,5/07/2025,20017,Orange(6 Slices per 1/2 cup),56,0,56,60,55,0,55,$18.70,0,0.00%,$0.00,$18.70,5,8.33%,$1.70,$20.40,,,,
Aldrin Elementary,5/07/2025,20031,Banana(Each),12,0,12,15,13,0,13,$2.73,0,0.00%,$0.00,$2.73,2,13.33%,$0.42,$3.15,,,,
Aldrin Elementary,5/07/2025,20038,Fat Free White Milk(Each),16,0,16,12,10,0,10,$3.30,0,0.00%,$0.00,$3.30,2,16.67%,$0.66,$3.96,,,,
Aldrin Elementary,5/07/2025,30003,Honey Cheerios Cereal(Each),16,0,16,25,18,0,18,$10.62,0,0.00%,$0.00,$10.62,7,28.00%,$4.13,$14.75,,,,
Aldrin Elementary,5/07/2025,30004,Blueberry Chex Cereal(Each),11,0,11,15,14,0,14,$8.26,0,0.00%,$0.00,$8.26,1,6.67%,$0.59,$8.85,,,,
Aldrin Elementary,5/07/2025,30006,Cinnamon Chex Cereal(Each),11,0,11,15,13,0,13,$7.67,0,0.00%,$0.00,$7.67,2,13.33%,$1.18,$8.85,,,,
Aldrin Elementary,5/07/2025,30007,"Cinnamon Toast Crunch Cereal, 25% Less Sugar(Each)",10,0,10,15,13,0,13,$7.67,0,0.00%,$0.00,$7.67,2,13.33%,$1.18,$8.85,,,,
Aldrin Elementary,5/07/2025,30008,Apple Juice(Each),55,0,55,60,55,0,55,$9.35,0,0.00%,$0.00,$9.35,5,8.33%,$0.85,$10.20,,,,
Aldrin Elementary,5/07/2025,30009,Orange Tangerine Juice(Each),26,0,26,25,21,0,21,$3.57,0,0.00%,$0.00,$3.57,4,16.00%,$0.68,$4.25,,,,
