school_name,date,identifier,name,planned_reimbursable,planned_non-reimbursable,planned_total,offered,served_reimbursable,served_non-reimbursable,served_total,served_cost,discarded_total,discarded_percent_of_offered,discarded_cost,subtotal_cost,left_over_total,left_over_percent_of_offered,left_over_cost,production_cost_total
Aldrin Elementary,5/06/2025,20001,1% White Milk(Each),41,0,41,40,35,0,35,$12.60,0,0.00%,$0.00,$12.60,5,12.50%,$1.80,$14.40
Aldrin Elementary,5/06/2025,30008,Apple Juice(Each),40,0,40,45,42,0,42,$7.14,0,0.00%,$0.00,$7.14,3,6.67%,$0.51,$7.65
Aldrin Elementary,5/06/2025,30020,Applesauce(1/2 Cup),9,0,9,15,13,0,13,$2.73,0,0.00%,$0.00,$2.73,2,13.33%,$0.42,$3.15
Aldrin Elementary,5/06/2025,60089,Assorted Cereal(Cereal Cup),0,0,0,10,6,0,6,$3.54,0,0.00%,$0.00,$3.54,4,40.00%,$2.36,$5.90
Aldrin Elementary,5/06/2025,60068,Biscuit(Biscuit),14,0,14,23,20,0,20,$4.20,1,4.35%,$0.21,$4.41,2,8.70%,$0.42,$4.83
Aldrin Elementary,5/06/2025,30004,Blueberry Chex Cereal(Each),11,0,11,20,3,0,3,$1.77,0,0.00%,$0.00,$1.77,17,85.00%,$10.03,$11.80
Aldrin Elementary,5/06/2025,30006,Cinnamon Chex Cereal(Each),11,0,11,20,17,0,17,$10.03,0,0.00%,$0.00,$10.03,3,15.00%,$1.77,$11.80
Aldrin Elementary,5/06/2025,30007,"Cinnamon Toast Crunch Cereal, 25% Less Sugar(Each)",10,0,10,20,16,0,16,$9.44,0,0.00%,$0.00,$9.44,4,20.00%,$2.36,$11.80
Aldrin Elementary,5/06/2025,20038,Fat Free White Milk(Each),15,0,15,15,13,0,13,$4.29,0,0.00%,$0.00,$4.29,2,13.33%,$0.66,$4.95
Aldrin Elementary,5/06/2025,30003,Honey Cheerios Cereal(Each),10,0,10,20,16,0,16,$9.44,0,0.00%,$0.00,$9.44,4,20.00%,$2.36,$11.80
Aldrin Elementary,5/06/2025,30051,Natural Grape Jam(Packet),15,0,15,23,20,0,20,$1.80,0,0.00%,$0.00,$1.80,3,13.04%,$0.27,$2.07
Aldrin Elementary,5/06/2025,20017,Orange(6 Slices per 1/2 cup),52,0,52,55,53,0,53,$18.02,0,0.00%,$0.00,$18.02,2,3.64%,$0.68,$18.70
Aldrin Elementary,5/06/2025,30009,Orange Tangerine Juice(Each),37,0,37,40,36,0,36,$6.12,0,0.00%,$0.00,$6.12,4,10.00%,$0.68,$6.80
Aldrin Elementary,5/06/2025,60096,Strawberry Parfait(Parfait),4,0,4,6,3,0,3,$2.97,0,0.00%,$0.00,$2.97,3,50.00%,$2.97,$5.94
Aldrin Elementary,5/06/2025,60011,Turkey Sausage Breakfast Biscuit(Sandwich),14,0,14,10,8,0,8,$3.52,1,10.00%,$0.44,$3.96,1,10.00%,$0.44,$4.40
Annandale High,5/06/2025,20001,1% White Milk(Each),75,0,75,78,73,0,73,$26.28,0,0.00%,$0.00,$26.28,5,6.41%,$1.80,$28.08
Annandale High,5/06/2025,30008,Apple Juice(Each),800,0,800,833,767,0,767,$130.39,0,0.00%,$0.00,$130.39,66,7.92%,$11.22,$141.61
Annandale High,5/06/2025,10020,Bagel(Bagel),0,0,0,150,128,0,128,$40.96,0,0.00%,$0.00,$40.96,22,14.67%,$7.04,$48.00
Annandale High,5/06/2025,20031,Banana(Each),110,0,110,160,131,0,131,$27.51,0,0.00%,$0.00,$27.51,29,18.13%,$6.09,$33.60
Annandale High,5/06/2025,30004,Blueberry Chex Cereal(Each),50,0,50,163,159,0,159,$93.81,0,0.00%,$0.00,$93.81,4,2.45%,$2.36,$96.17
Annandale High,5/06/2025,30006,Cinnamon Chex Cereal(Each),50,0,50,22,21,0,21,$12.39,0,0.00%,$0.00,$12.39,1,4.55%,$0.59,$12.98
Annandale High,5/06/2025,30007,"Cinnamon Toast Crunch Cereal, 25% Less Sugar(Each)",75,0,75,28,26,0,26,$15.34,0,0.00%,$0.00,$15.34,2,7.14%,$1.18,$16.52
Annandale High,5/06/2025,20009,Cream Cheese(Each),0,0,0,150,128,0,128,$37.12,0,0.00%,$0.00,$37.12,22,14.67%,$6.38,$43.50
Annandale High,5/06/2025,60165,Egg and American Cheese on Bagel(Sandwich),0,0,0,300,244,0,244,$141.52,0,0.00%,$0.00,$141.52,56,18.67%,$32.48,$174.00
Annandale High,5/06/2025,20038,Fat Free White Milk(Each),75,0,75,90,64,0,64,$21.12,0,0.00%,$0.00,$21.12,26,28.89%,$8.58,$29.70
Annandale High,5/06/2025,20013,Gala Apple(Each),0,0,0,50,24,0,24,$8.88,0,0.00%,$0.00,$8.88,26,52.00%,$9.62,$18.50
Annandale High,5/06/2025,30003,Honey Cheerios Cereal(Each),75,0,75,37,37,0,37,$21.83,0,0.00%,$0.00,$21.83,0,0.00%,$0.00,$21.83
Annandale High,5/06/2025,10041,Mini Maple Pancakes(Package),0,0,0,215,189,0,189,$73.71,0,0.00%,$0.00,$73.71,26,12.09%,$10.14,$83.85
Annandale High,5/06/2025,20017,Orange(6 Slices per 1/2 cup),125,0,125,50,30,0,30,$10.20,0,0.00%,$0.00,$10.20,20,40.00%,$6.80,$17.00
Annandale High,5/06/2025,30009,Orange Tangerine Juice(Each),200,0,200,270,228,0,228,$38.76,0,0.00%,$0.00,$38.76,42,15.56%,$7.14,$45.90
Annandale High,5/06/2025,20014,Red Delicious Apple(Each - serving),125,0,125,80,49,0,49,$16.17,0,0.00%,$0.00,$16.17,31,38.75%,$10.23,$26.40
Annandale High,5/06/2025,60096,Strawberry Parfait(Parfait),125,0,125,122,114,0,114,$112.86,1,0.82%,$0.99,$113.85,7,5.74%,$6.93,$120.78
Annandale Terrace Elementary,5/06/2025,20001,1% White Milk(Each),102,0,102,147,139,0,139,$50.04,0,0.00%,$0.00,$50.04,8,5.44%,$2.88,$52.92
Annandale Terrace Elementary,5/06/2025,30008,Apple Juice(Each),196,0,196,200,180,0,180,$30.60,0,0.00%,$0.00,$30.60,20,10.00%,$3.40,$34.00
Annandale Terrace Elementary,5/06/2025,30020,Applesauce(1/2 Cup),59,0,59,61,61,0,61,$12.81,0,0.00%,$0.00,$12.81,0,0.00%,$0.00,$12.81
Annandale Terrace Elementary,5/06/2025,60068,Biscuit(Biscuit),20,0,20,14,5,0,5,$1.05,0,0.00%,$0.00,$1.05,9,64.29%,$1.89,$2.94
Annandale Terrace Elementary,5/06/2025,30004,Blueberry Chex Cereal(Each),35,0,35,40,39,0,39,$23.01,0,0.00%,$0.00,$23.01,1,2.50%,$0.59,$23.60
Annandale Terrace Elementary,5/06/2025,30006,Cinnamon Chex Cereal(Each),48,0,48,40,39,0,39,$23.01,0,0.00%,$0.00,$23.01,1,2.50%,$0.59,$23.60
Annandale Terrace Elementary,5/06/2025,30007,"Cinnamon Toast Crunch Cereal, 25% Less Sugar(Each)",44,0,44,45,40,0,40,$23.60,0,0.00%,$0.00,$23.60,5,11.11%,$2.95,$26.55
Annandale Terrace Elementary,5/06/2025,20038,Fat Free White Milk(Each),25,0,25,35,31,0,31,$10.23,0,0.00%,$0.00,$10.23,4,11.43%,$1.32,$11.55
Annandale Terrace Elementary,5/06/2025,30003,Honey Cheerios Cereal(Each),23,0,23,40,38,0,38,$22.42,0,0.00%,$0.00,$22.42,2,5.00%,$1.18,$23.60
Annandale Terrace Elementary,5/06/2025,20043,"Lactose Free, White Milk(Each)",3,0,3,3,3,0,3,$1.74,0,0.00%,$0.00,$1.74,0,0.00%,$0.00,$1.74
Annandale Terrace Elementary,5/06/2025,30188,"Milk, Soy, Plain, Bulk (12/32 oz)(1 cup)",1,0,1,1,1,0,1,$0.79,0,0.00%,$0.00,$0.79,0,0.00%,$0.00,$0.79
Annandale Terrace Elementary,5/06/2025,10041,Mini Maple Pancakes(Package),0,0,0,167,159,0,159,$62.01,0,0.00%,$0.00,$62.01,8,4.79%,$3.12,$65.13
Annandale Terrace Elementary,5/06/2025,30051,Natural Grape Jam(Packet),27,0,27,14,5,0,5,$0.45,0,0.00%,$0.00,$0.45,9,64.29%,$0.81,$1.26
Annandale Terrace Elementary,5/06/2025,30009,Orange Tangerine Juice(Each),146,0,146,210,191,0,191,$32.47,0,0.00%,$0.00,$32.47,19,9.05%,$3.23,$35.70
Annandale Terrace Elementary,5/06/2025,20014,Red Delicious Apple(Each - serving),84,0,84,120,97,0,97,$32.01,0,0.00%,$0.00,$32.01,23,19.17%,$7.59,$39.60
Annandale Terrace Elementary,5/06/2025,60096,Strawberry Parfait(Parfait),21,0,21,26,26,0,26,$25.74,0,0.00%,$0.00,$25.74,0,0.00%,$0.00,$25.74
Annandale Terrace Elementary,5/06/2025,60011,Turkey Sausage Breakfast Biscuit(Sandwich),205,0,205,78,76,0,76,$33.44,0,0.00%,$0.00,$33.44,2,2.56%,$0.88,$34.32
Armstrong Elementary,5/06/2025,20001,1% White Milk(Each),20,0,20,40,29,0,29,$10.44,0,0.00%,$0.00,$10.44,11,27.50%,$3.96,$14.40
Armstrong Elementary,5/06/2025,30008,Apple Juice(Each),23,0,23,40,33,0,33,$5.61,0,0.00%,$0.00,$5.61,7,17.50%,$1.19,$6.80
Armstrong Elementary,5/06/2025,10020,Bagel(Bagel),0,0,0,8,8,0,8,$2.56,0,0.00%,$0.00,$2.56,0,0.00%,$0.00,$2.56
Armstrong Elementary,5/06/2025,20031,Banana(Each),14,0,14,15,13,0,13,$2.73,0,0.00%,$0.00,$2.73,2,13.33%,$0.42,$3.15
Armstrong Elementary,5/06/2025,60068,Biscuit(Biscuit),0,0,0,2,0,0,0,$0.00,2,100.00%,$0.00,$0.00,0,0.00%,$0.00,$0.00
Armstrong Elementary,5/06/2025,30004,Blueberry Chex Cereal(Each),2,0,2,10,4,0,4,$2.36,0,0.00%,$0.00,$2.36,6,60.00%,$3.54,$5.90
Armstrong Elementary,5/06/2025,30006,Cinnamon Chex Cereal(Each),7,0,7,10,7,0,7,$4.13,0,0.00%,$0.00,$4.13,3,30.00%,$1.77,$5.90
Armstrong Elementary,5/06/2025,20038,Fat Free White Milk(Each),15,0,15,30,17,0,17,$5.61,1,3.33%,$0.33,$5.94,12,40.00%,$3.96,$9.90
Armstrong Elementary,5/06/2025,30003,Honey Cheerios Cereal(Each),5,0,5,10,10,0,10,$5.90,0,0.00%,$0.00,$5.90,0,0.00%,$0.00,$5.90
Armstrong Elementary,5/06/2025,10041,Mini Maple Pancakes(Package),0,0,0,20,19,0,19,$7.41,1,5.00%,$0.39,$7.80,0,0.00%,$0.00,$7.80
Armstrong Elementary,5/06/2025,30093,Natural Breakfast Syrup(Each),0,0,0,15,15,0,15,$3.00,0,0.00%,$0.00,$3.00,0,0.00%,$0.00,$3.00
Armstrong Elementary,5/06/2025,30051,Natural Grape Jam(Packet),5,0,5,10,8,0,8,$0.72,0,0.00%,$0.00,$0.72,2,20.00%,$0.18,$0.90
Armstrong Elementary,5/06/2025,30009,Orange Tangerine Juice(Each),24,0,24,40,30,0,30,$5.10,0,0.00%,$0.00,$5.10,10,25.00%,$1.70,$6.80
