Lambda,Quantity,Cost
0.01,12931708.901190473,5453611.310463578
0.11473684210526315,12931708.901190473,5453611.310463578
0.21947368421052632,12931708.901190473,5453611.310463578
0.3242105263157895,12931708.901190473,5453611.310463578
0.42894736842105263,12931708.901190473,5453611.310463578
0.5336842105263158,12931708.901190473,5453611.310463578
0.638421052631579,12931708.901190473,5453611.310463578
0.7431578947368421,12931708.901190473,5453611.310463578
0.8478947368421053,12931708.901190473,5453611.310463578
0.9526315789473684,12931708.901190473,5453611.310463578
1.0573684210526315,12931708.901190473,5453611.310463578
1.1621052631578948,12931708.901190473,5453611.310463578
1.266842105263158,12931708.901190473,5453611.310463578
1.371578947368421,12931708.901190473,5453611.310463578
1.4763157894736842,12931708.901190473,5453611.310463578
1.5810526315789473,12360531.929761901,5212734.180538084
1.6857894736842105,12360531.929761901,5212734.180538084
1.7905263157894737,12360531.929761901,5212734.180538084
1.8952631578947368,12360531.929761901,5212734.180538084
2.0,9558219.622619046,4030930.099038298
