School_Name,Date,Identifier,Name,Planned,Offered,Served,Discarded,Subtotal,Left Over,Production Cost,Reimbursable,Non-Reimbursable,Total,Reimbursable,Non-Reimbursable,Total,Cost,Total,Percent of Offered,Cost,Total,Percent of Offered,Cost
Aldrin Elementary,5/28/2025,10033,Chocolate Chip Cookie(Cookie),123,0,123,19,19,0,19,$5.13,0,0.00%,$0.00,$5.13,0,0.00%,$0.00,$5.13,,,,
Aldrin Elementary,5/28/2025,10044,Soft Pretzel(1 pretzel),20,0,20,45,40,0,40,$8.80,0,0.00%,$0.00,$8.80,5,11.11%,$1.10,$9.90,,,,
Aldrin Elementary,5/28/2025,10073,Whole Strawberries(1/2 cup thawed),0,0,0,150,143,0,143,$48.62,0,0.00%,$0.00,$48.62,7,4.67%,$2.38,$51.00,,,,
Aldrin Elementary,5/28/2025,20001,1% White Milk(Each),43,0,43,70,43,0,43,$15.48,0,0.00%,$0.00,$15.48,27,38.57%,$9.72,$25.20,,,,
Aldrin Elementary,5/28/2025,20002,Fat Free Chocolate Milk(Each),129,0,129,155,138,0,138,$48.30,0,0.00%,$0.00,$48.30,17,10.97%,$5.95,$54.25,,,,
Aldrin Elementary,5/28/2025,20008,Apple Slices(3 slices per 1/4 cup),221,0,221,220,213,0,213,$125.67,0,0.00%,$0.00,$125.67,7,3.18%,$4.13,$129.80,,,,
Aldrin Elementary,5/28/2025,20016,String Cheese(Each),5,0,5,5,1,0,1,$0.22,0,0.00%,$0.00,$0.22,4,80.00%,$0.88,$1.10,,,,
Aldrin Elementary,5/28/2025,20018,Red Seedless Grapes(8 grapes per 1/4 cup),170,0,170,300,288,0,288,$74.88,0,0.00%,$0.00,$74.88,12,4.00%,$3.12,$78.00,,,,
Aldrin Elementary,5/28/2025,20027,Broccoli Florets(1/4 cup),73,0,73,150,146,0,146,$11.68,0,0.00%,$0.00,$11.68,4,2.67%,$0.32,$12.00,,,,
Aldrin Elementary,5/28/2025,20028,Lettuce Blend Salad Mix(1/2 cup),41,0,41,50,46,0,46,$3.68,0,0.00%,$0.00,$3.68,4,8.00%,$0.32,$4.00,,,,
Aldrin Elementary,5/28/2025,20038,Fat Free White Milk(Each),15,0,15,50,15,0,15,$4.95,0,0.00%,$0.00,$4.95,35,70.00%,$11.55,$16.50,,,,
Aldrin Elementary,5/28/2025,20052,Assorted  4 oz Yogurt(Container),5,0,5,5,0,0,0,$0.00,0,0.00%,$0.00,$0.00,5,100.00%,$0.00,$0.00,,,,
Aldrin Elementary,5/28/2025,30008,Apple Juice(Each),17,0,17,40,34,0,34,$5.78,0,0.00%,$0.00,$5.78,6,15.00%,$1.02,$6.80,,,,
Aldrin Elementary,5/28/2025,30009,Orange Tangerine Juice(Each),16,0,16,10,8,0,8,$1.36,0,0.00%,$0.00,$1.36,2,20.00%,$0.34,$1.70,,,,
Aldrin Elementary,5/28/2025,30020,Applesauce(1/2 Cup),18,0,18,20,18,0,18,$3.78,0,0.00%,$0.00,$3.78,2,10.00%,$0.42,$4.20,,,,
Aldrin Elementary,5/28/2025,30033,Cheez-Its Crackers(Package),0,0,0,10,4,0,4,$0.72,0,0.00%,$0.00,$0.72,6,60.00%,$1.08,$1.80,,,,
Aldrin Elementary,5/28/2025,30043,Raspberry Lemonade Flavored Dried Cranberries(Each),8,0,8,20,16,0,16,$3.84,0,0.00%,$0.00,$3.84,4,20.00%,$0.96,$4.80,,,,
Aldrin Elementary,5/28/2025,30044,Strawberry Flavored Dried Cranberries(Each),8,0,8,30,24,0,24,$5.76,0,0.00%,$0.00,$5.76,6,20.00%,$1.44,$7.20,,,,
Aldrin Elementary,5/28/2025,30045,Watermelon Flavored Dried Cranberries(Each),15,0,15,30,26,0,26,$6.24,0,0.00%,$0.00,$6.24,4,13.33%,$0.96,$7.20,,,,
Aldrin Elementary,5/28/2025,30077,Italian Dressing(1 ounce),16,0,16,20,14,0,14,$1.12,0,0.00%,$0.00,$1.12,6,30.00%,$0.48,$1.60,,,,
Aldrin Elementary,5/28/2025,30094,Doritos Wild White Nacho Flavored Tortilla Chips(Bag),32,0,32,45,44,0,44,$15.40,0,0.00%,$0.00,$15.40,1,2.22%,$0.35,$15.75,,,,
Aldrin Elementary,5/28/2025,30097,Bottled Water(Bottle),4,0,4,10,5,0,5,$0.80,0,0.00%,$0.00,$0.80,5,50.00%,$0.80,$1.60,,,,
Aldrin Elementary,5/28/2025,30099,Chickpeas(1/4 cup),32,0,32,45,42,0,42,$3.78,3,6.67%,$0.27,$4.05,0,0.00%,$0.00,$4.05,,,,
Aldrin Elementary,5/28/2025,30107,Ranch Dressing(1 ounce),20,0,20,25,21,0,21,$2.31,0,0.00%,$0.00,$2.31,4,16.00%,$0.44,$2.75,,,,
Aldrin Elementary,5/28/2025,30109,Smartfood RF White Cheddar Popcorn(Each),0,0,0,20,15,0,15,$5.55,0,0.00%,$0.00,$5.55,5,25.00%,$1.85,$7.40,,,,
