school_name,date,identifier,name,planned_reimbursable,planned_non-reimbursable,planned_total,offered,served_reimbursable,served_non-reimbursable,served_total,served_cost,discarded_total,discarded_percent_of_offered,discarded_cost,subtotal_cost,left_over_total,left_over_percent_of_offered,left_over_cost,production_cost_total
Aldrin Elementary,5/16/2025,20001,1% White Milk(Each),47,0,47,75,57,0,57,$20.52,0,0.00%,$0.00,$20.52,18,24.00%,$6.48,$27.00
Aldrin Elementary,5/16/2025,30008,Apple Juice(Each),15,0,15,20,14,0,14,$2.38,0,0.00%,$0.00,$2.38,6,30.00%,$1.02,$3.40
Aldrin Elementary,5/16/2025,20052,Assorted  4 oz Yogurt(Container),2,0,2,5,0,0,0,$0.00,0,0.00%,$0.00,$0.00,5,100.00%,$0.00,$0.00
Aldrin Elementary,5/16/2025,30097,Bottled Water(Bottle),6,0,6,10,7,0,7,$1.12,0,0.00%,$0.00,$1.12,3,30.00%,$0.48,$1.60
Aldrin Elementary,5/16/2025,60080,Cheese Pizza(Slice),21,0,21,20,19,0,19,$10.83,0,0.00%,$0.00,$10.83,1,5.00%,$0.57,$11.40
Aldrin Elementary,5/16/2025,10075,Cheese Pizza(Slice),114,0,114,142,140,0,140,$79.80,2,1.41%,$1.14,$80.94,0,0.00%,$0.00,$80.94
Aldrin Elementary,5/16/2025,30033,Cheez-Its Crackers(Package),0,0,0,5,1,0,1,$0.18,0,0.00%,$0.00,$0.18,4,80.00%,$0.72,$0.90
Aldrin Elementary,5/16/2025,20011,Cherry Tomatoes(1/4 cup),51,0,51,58,56,0,56,$20.72,0,0.00%,$0.00,$20.72,2,3.45%,$0.74,$21.46
Aldrin Elementary,5/16/2025,60036,Cherry Vanilla Yogurt Power Pack(Power Packs),7,0,7,15,2,0,2,$1.60,0,0.00%,$0.00,$1.60,13,86.67%,$10.40,$12.00
Aldrin Elementary,5/16/2025,30099,Chickpeas(1/4 cup),35,0,35,45,38,0,38,$3.42,0,0.00%,$0.00,$3.42,7,15.56%,$0.63,$4.05
Aldrin Elementary,5/16/2025,30061,Chilled Mandarin Oranges(1/2 cup (drained)),22,0,22,25,22,0,22,$7.48,0,0.00%,$0.00,$7.48,3,12.00%,$1.02,$8.50
Aldrin Elementary,5/16/2025,30061,Chilled Mandarin Oranges(1/4 cup (drained)),134,0,134,136,135,0,135,$22.95,1,0.74%,$0.17,$23.12,0,0.00%,$0.00,$23.12
Aldrin Elementary,5/16/2025,10062,Corn(1/2 cup (cooked)),24,0,24,25,22,0,22,$4.62,0,0.00%,$0.00,$4.62,3,12.00%,$0.63,$5.25
Aldrin Elementary,5/16/2025,30094,Doritos Wild White Nacho Flavored Tortilla Chips(Bag),0,0,0,60,55,0,55,$19.25,0,0.00%,$0.00,$19.25,5,8.33%,$1.75,$21.00
Aldrin Elementary,5/16/2025,20002,Fat Free Chocolate Milk(Each),137,0,137,155,148,0,148,$51.80,0,0.00%,$0.00,$51.80,7,4.52%,$2.45,$54.25
Aldrin Elementary,5/16/2025,20038,Fat Free White Milk(Each),17,0,17,50,15,0,15,$4.95,0,0.00%,$0.00,$4.95,35,70.00%,$11.55,$16.50
Aldrin Elementary,5/16/2025,30077,Italian Dressing(1 ounce),10,0,10,24,21,0,21,$1.68,0,0.00%,$0.00,$1.68,3,12.50%,$0.24,$1.92
Aldrin Elementary,5/16/2025,20028,Lettuce Blend Salad Mix(1/2 cup),44,0,44,45,43,0,43,$3.44,2,4.44%,$0.16,$3.60,0,0.00%,$0.00,$3.60
Aldrin Elementary,5/16/2025,60077,Manager's Vegetable Choice(1/4 cup),99,0,99,96,94,0,94,$0.00,0,0.00%,$0.00,$0.00,2,2.08%,$0.00,$0.00
Aldrin Elementary,5/16/2025,30009,Orange Tangerine Juice(Each),16,0,16,15,12,0,12,$2.04,0,0.00%,$0.00,$2.04,3,20.00%,$0.51,$2.55
Aldrin Elementary,5/16/2025,60035,PB&J Power Pack(Power Packs),40,0,40,30,26,0,26,$28.08,0,0.00%,$0.00,$28.08,4,13.33%,$4.32,$32.40
Aldrin Elementary,5/16/2025,60038,Peach Yogurt Power Pack(Power Packs),5,0,5,10,5,0,5,$4.00,0,0.00%,$0.00,$4.00,5,50.00%,$4.00,$8.00
Aldrin Elementary,5/16/2025,30107,Ranch Dressing(1 ounce),21,0,21,24,22,0,22,$2.42,0,0.00%,$0.00,$2.42,2,8.33%,$0.22,$2.64
Aldrin Elementary,5/16/2025,20018,Red Seedless Grapes(8 grapes per 1/4 cup),146,0,146,192,189,0,189,$49.14,0,0.00%,$0.00,$49.14,3,1.56%,$0.78,$49.92
Aldrin Elementary,5/16/2025,30109,Smartfood RF White Cheddar Popcorn(Each),10,0,10,25,22,0,22,$8.14,0,0.00%,$0.00,$8.14,3,12.00%,$1.11,$9.25
Aldrin Elementary,5/16/2025,10044,Soft Pretzel(1 pretzel),17,0,17,27,22,0,22,$4.84,0,0.00%,$0.00,$4.84,5,18.52%,$1.10,$5.94
Aldrin Elementary,5/16/2025,60037,Strawberry & Banana Yogurt Power Pack(Power Packs),7,0,7,10,5,0,5,$4.00,0,0.00%,$0.00,$4.00,5,50.00%,$4.00,$8.00
Aldrin Elementary,5/16/2025,30044,Strawberry Flavored Dried Cranberries(Each),8,0,8,20,16,0,16,$3.84,0,0.00%,$0.00,$3.84,4,20.00%,$0.96,$4.80
Aldrin Elementary,5/16/2025,20016,String Cheese(Each),1,0,1,5,1,0,1,$0.22,0,0.00%,$0.00,$0.22,4,80.00%,$0.88,$1.10
Aldrin Elementary,5/16/2025,60041,Turkey Pepperoni Pizza(Slice),73,0,73,55,50,0,50,$34.00,3,5.45%,$2.04,$36.04,2,3.64%,$1.36,$37.40
Aldrin Elementary,5/16/2025,30045,Watermelon Flavored Dried Cranberries(Each),8,0,8,20,18,0,18,$4.32,0,0.00%,$0.00,$4.32,2,10.00%,$0.48,$4.80
