School_Name,Date,Identifier,Name,Planned,Offered,Served,Discarded,Subtotal,Left Over,Production Cost,Reimbursable,Non-Reimbursable,Total,Reimbursable,Non-Reimbursable,Total,Cost,Total,Percent of Offered,Cost,Total,Percent of Offered,Cost
Aldrin Elementary,5/08/2025,10044,Soft Pretzel(1 pretzel),10,0,10,52,49,0,49,$10.78,0,0.00%,$0.00,$10.78,3,5.77%,$0.66,$11.44,,,,
Aldrin Elementary,5/08/2025,10062,Corn(1/4 cup (thawed)),99,0,99,120,114,0,114,$12.54,0,0.00%,$0.00,$12.54,6,5.00%,$0.66,$13.20,,,,
Aldrin Elementary,5/08/2025,20001,1% White Milk(Each),54,0,54,72,55,0,55,$19.80,0,0.00%,$0.00,$19.80,17,23.61%,$6.12,$25.92,,,,
Aldrin Elementary,5/08/2025,20002,Fat Free Chocolate Milk(Each),133,0,133,150,130,0,130,$45.50,0,0.00%,$0.00,$45.50,20,13.33%,$7.00,$52.50,,,,
Aldrin Elementary,5/08/2025,20016,String Cheese(Each),1,0,1,5,1,0,1,$0.22,0,0.00%,$0.00,$0.22,4,80.00%,$0.88,$1.10,,,,
Aldrin Elementary,5/08/2025,20028,Lettuce Blend Salad Mix(1/2 cup),45,0,45,45,43,0,43,$3.44,0,0.00%,$0.00,$3.44,2,4.44%,$0.16,$3.60,,,,
Aldrin Elementary,5/08/2025,20031,Banana(Each),98,0,98,86,77,0,77,$16.17,0,0.00%,$0.00,$16.17,9,10.47%,$1.89,$18.06,,,,
Aldrin Elementary,5/08/2025,20038,Fat Free White Milk(Each),30,0,30,50,25,0,25,$8.25,0,0.00%,$0.00,$8.25,25,50.00%,$8.25,$16.50,,,,
Aldrin Elementary,5/08/2025,20040,Cucumber Slices(6 Slices per 1/2 cup),21,0,21,22,20,0,20,$2.40,0,0.00%,$0.00,$2.40,2,9.09%,$0.24,$2.64,,,,
Aldrin Elementary,5/08/2025,20047,Orange Slices(3 slices per 1/4 cup),0,0,0,204,199,0,199,$39.80,0,0.00%,$0.00,$39.80,5,2.45%,$1.00,$40.80,,,,
Aldrin Elementary,5/08/2025,30008,Apple Juice(Each),19,0,19,20,15,0,15,$2.55,0,0.00%,$0.00,$2.55,5,25.00%,$0.85,$3.40,,,,
Aldrin Elementary,5/08/2025,30009,Orange Tangerine Juice(Each),14,0,14,15,12,0,12,$2.04,0,0.00%,$0.00,$2.04,3,20.00%,$0.51,$2.55,,,,
Aldrin Elementary,5/08/2025,30024,Black Beans(1/4 Cup),33,0,33,35,33,0,33,$2.97,0,0.00%,$0.00,$2.97,2,5.71%,$0.18,$3.15,,,,
Aldrin Elementary,5/08/2025,30033,Cheez-Its Crackers(Package),0,0,0,5,3,0,3,$0.54,0,0.00%,$0.00,$0.54,2,40.00%,$0.36,$0.90,,,,
Aldrin Elementary,5/08/2025,30043,Raspberry Lemonade Flavored Dried Cranberries(Each),8,0,8,12,10,0,10,$2.40,0,0.00%,$0.00,$2.40,2,16.67%,$0.48,$2.88,,,,
Aldrin Elementary,5/08/2025,30044,Strawberry Flavored Dried Cranberries(Each),8,0,8,12,10,0,10,$2.40,0,0.00%,$0.00,$2.40,2,16.67%,$0.48,$2.88,,,,
Aldrin Elementary,5/08/2025,30045,Watermelon Flavored Dried Cranberries(Each),8,0,8,12,10,0,10,$2.40,0,0.00%,$0.00,$2.40,2,16.67%,$0.48,$2.88,,,,
Aldrin Elementary,5/08/2025,30077,Italian Dressing(1 ounce),17,0,17,20,18,0,18,$1.44,0,0.00%,$0.00,$1.44,2,10.00%,$0.16,$1.60,,,,
Aldrin Elementary,5/08/2025,30094,Doritos Wild White Nacho Flavored Tortilla Chips(Bag),40,0,40,60,55,0,55,$19.25,0,0.00%,$0.00,$19.25,5,8.33%,$1.75,$21.00,,,,
Aldrin Elementary,5/08/2025,30097,Bottled Water(Bottle),6,0,6,10,7,0,7,$1.12,0,0.00%,$0.00,$1.12,3,30.00%,$0.48,$1.60,,,,
Aldrin Elementary,5/08/2025,30107,Ranch Dressing(1 ounce),20,0,20,24,20,0,20,$2.20,0,0.00%,$0.00,$2.20,4,16.67%,$0.44,$2.64,,,,
Aldrin Elementary,5/08/2025,30109,Smartfood RF White Cheddar Popcorn(Each),0,0,0,10,9,0,9,$3.33,0,0.00%,$0.00,$3.33,1,10.00%,$0.37,$3.70,,,,
Aldrin Elementary,5/08/2025,60015,Chana Masala(1/2 cup),26,0,26,34,31,0,31,$5.58,0,0.00%,$0.00,$5.58,3,8.82%,$0.54,$6.12,,,,
