school_name,date,identifier,name,planned_reimbursable,planned_non-reimbursable,planned_total,offered,served_reimbursable,served_non-reimbursable,served_total,served_cost,discarded_total,discarded_percent_of_offered,discarded_cost,subtotal_cost,left_over_total,left_over_percent_of_offered,left_over_cost,production_cost_total
Annandale High,5/05/2025,30008,Apple Juice(Each),5,0,5,5,0,0,0,$0.00,0,0.00%,$0.00,$0.00,5,100.00%,$0.00,$0.00
Annandale High,5/05/2025,20052,Assorted  4 oz Yogurt(Container),5,0,5,5,0,0,0,$0.00,0,0.00%,$0.00,$0.00,5,100.00%,$0.00,$0.00
Annandale High,5/05/2025,20023,Baby Carrots(3 baby carrots per 1/4 cup),240,0,240,192,163,0,163,$14.67,5,2.60%,$0.45,$15.12,24,12.50%,$2.16,$17.28
Annandale High,5/05/2025,10015,Baked Cheese Sticks(2 Cheese Sticks),200,0,200,320,315,0,315,$207.90,1,0.31%,$0.66,$208.56,4,1.25%,$2.64,$211.20
Annandale High,5/05/2025,30097,Bottled Water(Bottle),15,0,15,15,12,0,12,$1.92,0,0.00%,$0.00,$1.92,3,20.00%,$0.48,$2.40
Annandale High,5/05/2025,10027,"Bread, Loco(1/2 piece)",0,0,0,600,539,13,552,$82.80,3,0.50%,$0.45,$83.25,45,7.50%,$6.75,$90.00
Annandale High,5/05/2025,20027,Broccoli Florets(6 Pieces per 1/2 cup),42,0,42,21,10,0,10,$1.50,1,4.76%,$0.15,$1.65,10,47.62%,$1.50,$3.15
Annandale High,5/05/2025,20006,"Cheese, Shredded, Cheddar(1/4 cup)",64,0,64,96,61,0,61,$10.37,3,3.13%,$0.51,$10.88,32,33.33%,$5.44,$16.32
Annandale High,5/05/2025,30033,Cheez-Its Crackers(Package),5,0,5,10,0,0,0,$0.00,0,0.00%,$0.00,$0.00,10,100.00%,$0.00,$0.00
Annandale High,5/05/2025,60036,Cherry Vanilla Yogurt Power Pack(Power Packs),5,0,5,5,0,0,0,$0.00,0,0.00%,$0.00,$0.00,5,100.00%,$0.00,$0.00
Annandale High,5/05/2025,60047,Chicken Tenders(3 tenders),900,0,900,420,356,22,378,$355.32,1,0.24%,$0.94,$356.26,41,9.76%,$38.54,$394.80
Annandale High,5/05/2025,60050,Chickenless Bites(2 Bites),10,0,10,10,1,0,1,$0.38,0,0.00%,$0.00,$0.38,9,90.00%,$3.42,$3.80
Annandale High,5/05/2025,60050,Chickenless Bites(4 Bites),100,0,100,180,175,0,175,$133.00,1,0.56%,$0.76,$133.76,4,2.22%,$3.04,$136.80
Annandale High,5/05/2025,30099,Chickpeas(1/4 cup),128,0,128,128,93,0,93,$8.37,3,2.34%,$0.27,$8.64,32,25.00%,$2.88,$11.52
Annandale High,5/05/2025,30099,Chickpeas(2 Tablespoons),32,0,32,32,18,0,18,$0.72,2,6.25%,$0.08,$0.80,12,37.50%,$0.48,$1.28
Annandale High,5/05/2025,30113,Cool Ranch Reduced Fat Doritos(Each),10,0,10,10,3,0,3,$1.11,0,0.00%,$0.00,$1.11,7,70.00%,$2.59,$3.70
Annandale High,5/05/2025,10062,Corn(2 Tablespoons (thawed)),64,0,64,64,58,0,58,$2.90,0,0.00%,$0.00,$2.90,6,9.38%,$0.30,$3.20
Annandale High,5/05/2025,20040,Cucumber Slices(2 Tablespoon),92,0,92,46,42,0,42,$1.26,2,4.35%,$0.06,$1.32,2,4.35%,$0.06,$1.38
Annandale High,5/05/2025,30110,Doritos Flamas(Each),10,0,10,10,4,0,4,$1.48,0,0.00%,$0.00,$1.48,6,60.00%,$2.22,$3.70
Annandale High,5/05/2025,30112,Doritos RF Nacho Cheese(Each),10,0,10,10,3,0,3,$1.11,0,0.00%,$0.00,$1.11,7,70.00%,$2.59,$3.70
Annandale High,5/05/2025,30111,Doritos RF Spicy Sweet Chili(Each),10,0,10,10,4,0,4,$1.48,0,0.00%,$0.00,$1.48,6,60.00%,$2.22,$3.70
Annandale High,5/05/2025,20002,Fat Free Chocolate Milk(Each),600,0,600,692,570,13,583,$204.05,2,0.29%,$0.70,$204.75,107,15.46%,$37.45,$242.20
Annandale High,5/05/2025,20038,Fat Free White Milk(Each),75,0,75,110,33,0,33,$10.89,0,0.00%,$0.00,$10.89,77,70.00%,$25.41,$36.30
Annandale High,5/05/2025,30124,"Fruit Snacks, Welch's Mixed(Each)",10,0,10,10,1,0,1,$0.40,0,0.00%,$0.00,$0.40,9,90.00%,$3.60,$4.00
Annandale High,5/05/2025,20013,Gala Apple(Each),0,0,0,125,98,0,98,$36.26,5,4.00%,$1.85,$38.11,22,17.60%,$8.14,$46.25
Annandale High,5/05/2025,20015,Golden Delicious Apple(Each),50,0,50,25,13,0,13,$4.03,0,0.00%,$0.00,$4.03,12,48.00%,$3.72,$7.75
Annandale High,5/05/2025,30077,Italian Dressing(1 ounce),144,0,144,144,120,0,120,$9.60,0,0.00%,$0.00,$9.60,24,16.67%,$1.92,$11.52
Annandale High,5/05/2025,30063,Ketchup Packet(Packet),1500,0,1500,2000,1729,13,1742,$52.26,8,0.40%,$0.24,$52.50,250,12.50%,$7.50,$60.00
Annandale High,5/05/2025,20028,Lettuce Blend Salad Mix(1/2 cup),400,0,400,400,344,13,357,$28.56,13,3.25%,$1.04,$29.60,30,7.50%,$2.40,$32.00
Annandale High,5/05/2025,60077,Manager's Vegetable Choice(1/4 cup),196,0,196,224,163,13,176,$0.00,0,0.00%,$0.00,$0.00,48,21.43%,$0.00,$0.00
Annandale High,5/05/2025,30018,Marinara Sauce(1/2 cup),200,0,200,320,314,0,314,$91.06,5,1.56%,$1.45,$92.51,1,0.31%,$0.29,$92.80
Annandale High,5/05/2025,30064,Mayonnaise Packet(Packet),500,0,500,500,397,0,397,$39.70,0,0.00%,$0.00,$39.70,103,20.60%,$10.30,$50.00
Annandale High,5/05/2025,30065,Mustard Packet(Packet),200,0,200,200,68,0,68,$3.40,2,1.00%,$0.10,$3.50,130,65.00%,$6.50,$10.00
Annandale High,5/05/2025,20035,"Onions, Red, Whole(2 Tablespoons (sliced))",70,0,70,70,59,0,59,$1.77,3,4.29%,$0.09,$1.86,8,11.43%,$0.24,$2.10
Annandale High,5/05/2025,20017,Orange(1/4 cup),50,0,50,163,118,0,118,$20.06,0,0.00%,$0.00,$20.06,45,27.61%,$7.65,$27.71
Annandale High,5/05/2025,10070,Orange Sauce(ounce),75,0,75,40,35,0,35,$4.90,0,0.00%,$0.00,$4.90,5,12.50%,$0.70,$5.60
Annandale High,5/05/2025,30009,Orange Tangerine Juice(Each),5,0,5,5,0,0,0,$0.00,0,0.00%,$0.00,$0.00,5,100.00%,$0.00,$0.00
Annandale High,5/05/2025,10001,"Patty, Chicken, Breaded, WG(2 strips)",400,0,400,80,53,0,53,$11.66,1,1.25%,$0.22,$11.88,26,32.50%,$5.72,$17.60
Annandale High,5/05/2025,60035,PB&J Power Pack(Power Packs),150,0,150,150,101,0,101,$109.08,0,0.00%,$0.00,$109.08,49,32.67%,$52.92,$162.00
Annandale High,5/05/2025,60038,Peach Yogurt Power Pack(Power Packs),5,0,5,5,1,0,1,$0.80,0,0.00%,$0.00,$0.80,4,80.00%,$3.20,$4.00
Annandale High,5/05/2025,20041,"Peppers, Green, Whole(2 Tablespoon)",70,0,70,70,64,0,64,$3.84,2,2.86%,$0.12,$3.96,4,5.71%,$0.24,$4.20
Annandale High,5/05/2025,20042,"Peppers, Red, Whole(2 Tablespoons)",70,0,70,70,58,0,58,$2.90,4,5.71%,$0.20,$3.10,8,11.43%,$0.40,$3.50
Annandale High,5/05/2025,30107,Ranch Dressing(1 ounce),336,0,336,288,246,13,259,$28.49,5,1.74%,$0.55,$29.04,24,8.33%,$2.64,$31.68
Annandale High,5/05/2025,20014,Red Delicious Apple(Each - serving),0,0,0,625,518,12,530,$174.90,0,0.00%,$0.00,$174.90,95,15.20%,$31.35,$206.25
Annandale High,5/05/2025,30119,RF Kettle Chips Jalapeno & Cheddar Chips(Each),10,0,10,10,8,0,8,$4.80,0,0.00%,$0.00,$4.80,2,20.00%,$1.20,$6.00
Annandale High,5/05/2025,30120,RF Kettle Chips Sea Salt & Vinegar Chips(Each),10,0,10,10,7,0,7,$4.20,0,0.00%,$0.00,$4.20,3,30.00%,$1.80,$6.00
Annandale High,5/05/2025,30011,"Salsa, Mild Canned(1.5 oz)",100,0,100,200,187,0,187,$18.70,3,1.50%,$0.30,$19.00,10,5.00%,$1.00,$20.00
Annandale High,5/05/2025,30109,Smartfood RF White Cheddar Popcorn(Each),10,0,10,10,1,0,1,$0.37,0,0.00%,$0.00,$0.37,9,90.00%,$3.33,$3.70
Annandale High,5/05/2025,10044,Soft Pretzel(1 pretzel),10,0,10,10,6,0,6,$1.32,1,10.00%,$0.22,$1.54,3,30.00%,$0.66,$2.20
Annandale High,5/05/2025,60075,Spicy Chicken Wrap(Wrap),40,0,40,20,15,0,15,$17.55,1,5.00%,$1.17,$18.72,4,20.00%,$4.68,$23.40
Annandale High,5/05/2025,30114,SS Baked Cheetos Flaming Hot(Each),10,0,10,10,3,0,3,$1.59,0,0.00%,$0.00,$1.59,7,70.00%,$3.71,$5.30
Annandale High,5/05/2025,30115,SS Baked Cheetos Flaming Limon(Each),10,0,10,10,2,0,2,$0.78,0,0.00%,$0.00,$0.78,8,80.00%,$3.12,$3.90
Annandale High,5/05/2025,30116,SS Cheetos Fantastix Flaming Hot(Each),10,0,10,10,2,0,2,$0.78,0,0.00%,$0.00,$0.78,8,80.00%,$3.12,$3.90
Annandale High,5/05/2025,60037,Strawberry & Banana Yogurt Power Pack(Power Packs),5,0,5,5,0,0,0,$0.00,0,0.00%,$0.00,$0.00,5,100.00%,$0.00,$0.00
Annandale High,5/05/2025,30044,Strawberry Flavored Dried Cranberries(Each),75,0,75,60,40,0,40,$9.60,0,0.00%,$0.00,$9.60,20,33.33%,$4.80,$14.40
Annandale High,5/05/2025,20016,String Cheese(Each),5,0,5,5,0,0,0,$0.00,0,0.00%,$0.00,$0.00,5,100.00%,$0.00,$0.00
Annandale High,5/05/2025,30002,Sub Roll(Sub Roll),12,0,12,12,2,0,2,$0.62,0,0.00%,$0.00,$0.62,10,83.33%,$3.10,$3.72
Annandale High,5/05/2025,10051,"Turkey,  Breast, Pre-Sliced, Oven Roasted(3 Slices)",10,0,10,10,1,0,1,$0.54,1,10.00%,$0.54,$1.08,8,80.00%,$4.32,$5.40
Annandale High,5/05/2025,60064,Vegetable Dumpling(6 dumplings),0,0,0,40,38,0,38,$0.00,1,2.50%,$0.00,$0.00,1,2.50%,$0.00,$0.00
Annandale High,5/05/2025,30045,Watermelon Flavored Dried Cranberries(Each),75,0,75,60,30,0,30,$7.20,0,0.00%,$0.00,$7.20,30,50.00%,$7.20,$14.40
Annandale High,5/05/2025,10049,"WG 10"" Flour Tortilla(Tortilla)",72,0,72,72,53,0,53,$18.55,1,1.39%,$0.35,$18.90,18,25.00%,$6.30,$25.20
Annandale High,5/05/2025,30117,WG Baked Funyuns(Each),10,0,10,10,2,0,2,$0.72,0,0.00%,$0.00,$0.72,8,80.00%,$2.88,$3.60
Annandale High,5/05/2025,10073,Whole Strawberries(1/2 cup thawed),0,0,0,138,136,0,136,$46.24,0,0.00%,$0.00,$46.24,2,1.45%,$0.68,$46.92
Annandale Terrace Elementary,5/05/2025,20001,1% White Milk(Each),96,0,96,125,76,0,76,$27.36,0,0.00%,$0.00,$27.36,49,39.20%,$17.64,$45.00
Annandale Terrace Elementary,5/05/2025,30008,Apple Juice(Each),5,0,5,5,0,0,0,$0.00,0,0.00%,$0.00,$0.00,5,100.00%,$0.00,$0.00
Annandale Terrace Elementary,5/05/2025,20052,Assorted  4 oz Yogurt(Container),5,0,5,5,0,0,0,$0.00,0,0.00%,$0.00,$0.00,5,100.00%,$0.00,$0.00
Annandale Terrace Elementary,5/05/2025,20023,Baby Carrots(6 Baby Carrots per 1/2 cup),80,0,80,96,72,0,72,$12.24,0,0.00%,$0.00,$12.24,24,25.00%,$4.08,$16.32
Annandale Terrace Elementary,5/05/2025,60151,Blueberry Bread(1 square),359,0,359,298,291,0,291,$119.31,2,0.67%,$0.82,$120.13,5,1.68%,$2.05,$122.18
Annandale Terrace Elementary,5/05/2025,30097,Bottled Water(Bottle),5,0,5,5,0,0,0,$0.00,0,0.00%,$0.00,$0.00,5,100.00%,$0.00,$0.00
Annandale Terrace Elementary,5/05/2025,30033,Cheez-Its Crackers(Package),46,0,46,46,46,0,46,$8.28,0,0.00%,$0.00,$8.28,0,0.00%,$0.00,$8.28
Annandale Terrace Elementary,5/05/2025,60047,Chicken Tenders(3 tenders),415,0,415,472,443,5,448,$421.12,2,0.42%,$1.88,$423.00,22,4.66%,$20.68,$443.68
Annandale Terrace Elementary,5/05/2025,60050,Chickenless Bites(4 Bites),115,0,115,75,60,2,62,$47.12,1,1.33%,$0.76,$47.88,12,16.00%,$9.12,$57.00
Annandale Terrace Elementary,5/05/2025,30099,Chickpeas(1/4 cup),43,0,43,64,58,0,58,$5.22,0,0.00%,$0.00,$5.22,6,9.38%,$0.54,$5.76
Annandale Terrace Elementary,5/05/2025,60101,Chickpeas - salad bar entree(1/2 cup),5,0,5,5,0,0,0,$0.00,0,0.00%,$0.00,$0.00,5,100.00%,$0.00,$0.00
Annandale Terrace Elementary,5/05/2025,30068,Chilled Peaches(1/2 cup (drained)),11,0,11,0,0,0,0,$0.00,0,0.00%,$0.00,$0.00,0,0.00%,$0.00,$0.00
Annandale Terrace Elementary,5/05/2025,20002,Fat Free Chocolate Milk(Each),347,0,347,398,345,0,345,$120.75,0,0.00%,$0.00,$120.75,53,13.32%,$18.55,$139.30
Annandale Terrace Elementary,5/05/2025,20038,Fat Free White Milk(Each),6,0,6,91,8,0,8,$2.64,0,0.00%,$0.00,$2.64,83,91.21%,$27.39,$30.03
Annandale Terrace Elementary,5/05/2025,30077,Italian Dressing(1 ounce),60,0,60,48,42,0,42,$3.36,0,0.00%,$0.00,$3.36,6,12.50%,$0.48,$3.84
Annandale Terrace Elementary,5/05/2025,30037,IW Applesauce Cup(Each),32,0,32,46,46,0,46,$12.42,0,0.00%,$0.00,$12.42,0,0.00%,$0.00,$12.42
Annandale Terrace Elementary,5/05/2025,20043,"Lactose Free, White Milk(Each)",3,0,3,3,3,0,3,$1.74,0,0.00%,$0.00,$1.74,0,0.00%,$0.00,$1.74
Annandale Terrace Elementary,5/05/2025,20028,Lettuce Blend Salad Mix(1/2 cup),76,0,76,160,156,0,156,$12.48,0,0.00%,$0.00,$12.48,4,2.50%,$0.32,$12.80
Annandale Terrace Elementary,5/05/2025,60077,Manager's Vegetable Choice(1/4 cup),106,0,106,128,123,0,123,$0.00,0,0.00%,$0.00,$0.00,5,3.91%,$0.00,$0.00
Annandale Terrace Elementary,5/05/2025,30188,"Milk, Soy, Plain, Bulk (12/32 oz)(1 cup)",1,0,1,1,1,0,1,$0.79,0,0.00%,$0.00,$0.79,0,0.00%,$0.00,$0.79
Annandale Terrace Elementary,5/05/2025,20017,Orange(1/4 cup),0,0,0,544,408,0,408,$69.36,0,0.00%,$0.00,$69.36,136,25.00%,$23.12,$92.48
Annandale Terrace Elementary,5/05/2025,30009,Orange Tangerine Juice(Each),5,0,5,5,0,0,0,$0.00,0,0.00%,$0.00,$0.00,5,100.00%,$0.00,$0.00
Annandale Terrace Elementary,5/05/2025,60035,PB&J Power Pack(Power Packs),54,0,54,5,0,0,0,$0.00,0,0.00%,$0.00,$0.00,5,100.00%,$0.00,$0.00
Annandale Terrace Elementary,5/05/2025,60038,Peach Yogurt Power Pack(Power Packs),48,0,48,48,39,0,39,$31.20,0,0.00%,$0.00,$31.20,9,18.75%,$7.20,$38.40
Annandale Terrace Elementary,5/05/2025,20077,"Peppers, red, pre-sliced(1/2 cup sliced)",59,0,59,58,58,0,58,$32.48,0,0.00%,$0.00,$32.48,0,0.00%,$0.00,$32.48
Annandale Terrace Elementary,5/05/2025,30107,Ranch Dressing(1 ounce),61,0,61,48,46,0,46,$5.06,0,0.00%,$0.00,$5.06,2,4.17%,$0.22,$5.28
Annandale Terrace Elementary,5/05/2025,10044,Soft Pretzel(1 pretzel),5,0,5,5,0,0,0,$0.00,0,0.00%,$0.00,$0.00,5,100.00%,$0.00,$0.00
Annandale Terrace Elementary,5/05/2025,60037,Strawberry & Banana Yogurt Power Pack(Power Packs),0,0,0,4,0,0,0,$0.00,0,0.00%,$0.00,$0.00,4,100.00%,$0.00,$0.00
Annandale Terrace Elementary,5/05/2025,30031,Strawberry Chex Mix(Package),25,0,25,10,3,0,3,$1.35,0,0.00%,$0.00,$1.35,7,70.00%,$3.15,$4.50
Annandale Terrace Elementary,5/05/2025,30044,Strawberry Flavored Dried Cranberries(Each),7,0,7,20,12,0,12,$2.88,0,0.00%,$0.00,$2.88,8,40.00%,$1.92,$4.80
Annandale Terrace Elementary,5/05/2025,20016,String Cheese(Each),5,0,5,5,0,0,0,$0.00,0,0.00%,$0.00,$0.00,5,100.00%,$0.00,$0.00
Annandale Terrace Elementary,5/05/2025,10073,Whole Strawberries(1/2 cup thawed),0,0,0,458,418,0,418,$142.12,0,0.00%,$0.00,$142.12,40,8.73%,$13.60,$155.72
Armstrong Elementary,5/05/2025,20001,1% White Milk(Each),16,0,16,30,19,0,19,$6.84,0,0.00%,$0.00,$6.84,11,36.67%,$3.96,$10.80
Armstrong Elementary,5/05/2025,30008,Apple Juice(Each),0,24,24,12,0,12,12,$0.00,0,0.00%,$0.00,$0.00,0,0.00%,$0.00,$0.00
Armstrong Elementary,5/05/2025,20008,Apple Slices(3 slices per 1/4 cup),49,0,49,65,65,0,65,$38.35,0,0.00%,$0.00,$38.35,0,0.00%,$0.00,$38.35
Armstrong Elementary,5/05/2025,30020,Applesauce(1/4 cup),0,0,0,35,33,0,33,$3.63,0,0.00%,$0.00,$3.63,2,5.71%,$0.22,$3.85
Armstrong Elementary,5/05/2025,20052,Assorted  4 oz Yogurt(Container),0,0,0,0,0,0,0,$0.00,0,0.00%,$0.00,$0.00,0,0.00%,$0.00,$0.00
Armstrong Elementary,5/05/2025,20023,Baby Carrots(3 baby carrots per 1/4 cup),40,0,40,48,44,0,44,$3.96,4,8.33%,$0.36,$4.32,0,0.00%,$0.00,$4.32
