School_Name,Date,Identifier,Name,Planned,Offered,Served,Discarded,Subtotal,Left Over,Production Cost,Reimbursable,Non-Reimbursable,Total,Reimbursable,Non-Reimbursable,Total,Cost,Total,Percent of Offered,Cost,Total,Percent of Offered,Cost
Aldrin Elementary,5/07/2025,10044,Soft Pretzel(1 pretzel),10,0,10,50,46,0,46,$10.12,0,0.00%,$0.00,$10.12,4,8.00%,$0.88,$11.00,,,,
Aldrin Elementary,5/07/2025,20001,1% White Milk(Each),54,0,54,67,47,0,47,$16.92,0,0.00%,$0.00,$16.92,20,29.85%,$7.20,$24.12,,,,
Aldrin Elementary,5/07/2025,20002,Fat Free Chocolate Milk(Each),133,0,133,150,130,0,130,$45.50,0,0.00%,$0.00,$45.50,20,13.33%,$7.00,$52.50,,,,
Aldrin Elementary,5/07/2025,20008,Apple Slices(3 slices per 1/4 cup),228,0,228,256,249,0,249,$146.91,0,0.00%,$0.00,$146.91,7,2.73%,$4.13,$151.04,,,,
Aldrin Elementary,5/07/2025,20016,String Cheese(Each),1,0,1,5,1,0,1,$0.22,0,0.00%,$0.00,$0.22,4,80.00%,$0.88,$1.10,,,,
Aldrin Elementary,5/07/2025,20027,Broccoli Florets(1/4 cup),53,0,53,84,81,0,81,$6.48,0,0.00%,$0.00,$6.48,3,3.57%,$0.24,$6.72,,,,
Aldrin Elementary,5/07/2025,20028,Lettuce Blend Salad Mix(1/2 cup),45,0,45,40,38,0,38,$3.04,0,0.00%,$0.00,$3.04,2,5.00%,$0.16,$3.20,,,,
Aldrin Elementary,5/07/2025,20038,Fat Free White Milk(Each),30,0,30,50,15,0,15,$4.95,0,0.00%,$0.00,$4.95,35,70.00%,$11.55,$16.50,,,,
Aldrin Elementary,5/07/2025,20047,Orange Slices(3 slices per 1/4 cup),0,0,0,170,168,0,168,$33.60,0,0.00%,$0.00,$33.60,2,1.18%,$0.40,$34.00,,,,
Aldrin Elementary,5/07/2025,20052,Assorted  4 oz Yogurt(Container),2,0,2,5,1,0,1,$0.00,0,0.00%,$0.00,$0.00,4,80.00%,$0.00,$0.00,,,,
Aldrin Elementary,5/07/2025,30008,Apple Juice(Each),21,0,21,20,16,0,16,$2.72,0,0.00%,$0.00,$2.72,4,20.00%,$0.68,$3.40,,,,
Aldrin Elementary,5/07/2025,30009,Orange Tangerine Juice(Each),14,0,14,20,15,0,15,$2.55,0,0.00%,$0.00,$2.55,5,25.00%,$0.85,$3.40,,,,
Aldrin Elementary,5/07/2025,30020,Applesauce(1/2 Cup),19,0,19,17,16,0,16,$3.36,0,0.00%,$0.00,$3.36,1,5.88%,$0.21,$3.57,,,,
Aldrin Elementary,5/07/2025,30033,Cheez-Its Crackers(Package),0,0,0,10,5,0,5,$0.90,0,0.00%,$0.00,$0.90,5,50.00%,$0.90,$1.80,,,,
Aldrin Elementary,5/07/2025,30043,Raspberry Lemonade Flavored Dried Cranberries(Each),8,0,8,15,13,0,13,$3.12,0,0.00%,$0.00,$3.12,2,13.33%,$0.48,$3.60,,,,
Aldrin Elementary,5/07/2025,30044,Strawberry Flavored Dried Cranberries(Each),8,0,8,15,12,0,12,$2.88,0,0.00%,$0.00,$2.88,3,20.00%,$0.72,$3.60,,,,
Aldrin Elementary,5/07/2025,30045,Watermelon Flavored Dried Cranberries(Each),8,0,8,15,10,0,10,$2.40,0,0.00%,$0.00,$2.40,5,33.33%,$1.20,$3.60,,,,
Aldrin Elementary,5/07/2025,30077,Italian Dressing(1 ounce),17,0,17,17,14,0,14,$1.12,0,0.00%,$0.00,$1.12,3,17.65%,$0.24,$1.36,,,,
Aldrin Elementary,5/07/2025,30094,Doritos Wild White Nacho Flavored Tortilla Chips(Bag),0,0,0,60,52,0,52,$18.20,0,0.00%,$0.00,$18.20,8,13.33%,$2.80,$21.00,,,,
Aldrin Elementary,5/07/2025,30097,Bottled Water(Bottle),5,0,5,10,9,0,9,$1.44,0,0.00%,$0.00,$1.44,1,10.00%,$0.16,$1.60,,,,
Aldrin Elementary,5/07/2025,30099,Chickpeas(1/4 cup),33,0,33,35,33,0,33,$2.97,0,0.00%,$0.00,$2.97,2,5.71%,$0.18,$3.15,,,,
Aldrin Elementary,5/07/2025,30107,Ranch Dressing(1 ounce),20,0,20,24,22,0,22,$2.42,0,0.00%,$0.00,$2.42,2,8.33%,$0.22,$2.64,,,,
Aldrin Elementary,5/07/2025,30109,Smartfood RF White Cheddar Popcorn(Each),21,0,21,15,11,0,11,$4.07,0,0.00%,$0.00,$4.07,4,26.67%,$1.48,$5.55,,,,
Aldrin Elementary,5/07/2025,60035,PB&J Power Pack(Power Packs),21,0,21,65,62,0,62,$66.96,0,0.00%,$0.00,$66.96,3,4.62%,$3.24,$70.20,,,,
Aldrin Elementary,5/07/2025,60036,Cherry Vanilla Yogurt Power Pack(Power Packs),4,0,4,12,10,0,10,$8.00,0,0.00%,$0.00,$8.00,2,16.67%,$1.60,$9.60,,,,
Aldrin Elementary,5/07/2025,60037,Strawberry & Banana Yogurt Power Pack(Power Packs),5,0,5,10,9,0,9,$7.20,0,0.00%,$0.00,$7.20,1,10.00%,$0.80,$8.00,,,,
Aldrin Elementary,5/07/2025,60038,Peach Yogurt Power Pack(Power Packs),7,0,7,15,11,0,11,$8.80,0,0.00%,$0.00,$8.80,4,26.67%,$3.20,$12.00,,,,
Aldrin Elementary,5/07/2025,60042,Beef Meatball Sub Sandwich(Sandwich),67,0,67,85,65,0,65,$83.20,0,0.00%,$0.00,$83.20,20,23.53%,$25.60,$108.80,,,,
Aldrin Elementary,5/07/2025,60051,Steamed Baby Carrots(1/2 cup),19,0,19,17,16,0,16,$2.88,0,0.00%,$0.00,$2.88,1,5.88%,$0.18,$3.06,,,,
Aldrin Elementary,5/07/2025,60077,Manager's Vegetable Choice(1/4 cup),63,0,63,70,69,0,69,$0.00,0,0.00%,$0.00,$0.00,1,1.43%,$0.00,$0.00,,,,
Aldrin Elementary,5/07/2025,60128,Alfredo & Basil Lasagna(Each),20,0,20,59,46,0,46,$57.96,0,0.00%,$0.00,$57.96,13,22.03%,$16.38,$74.34,,,,
Annandale High,5/07/2025,10001,"Patty, Chicken, Breaded, WG(2 strips)",100,0,100,80,75,0,75,$16.50,1,1.25%,$0.22,$16.72,4,5.00%,$0.88,$17.60,,,,
Annandale High,5/07/2025,10027,"Bread, Loco(flatbread)",60,0,60,60,51,0,51,$15.30,0,0.00%,$0.00,$15.30,9,15.00%,$2.70,$18.00,,,,
Annandale High,5/07/2025,10033,Chocolate Chip Cookie(Cookie),20,0,20,20,16,0,16,$4.32,0,0.00%,$0.00,$4.32,4,20.00%,$1.08,$5.40,,,,
Annandale High,5/07/2025,10044,Soft Pretzel(1 pretzel),10,0,10,10,6,0,6,$1.32,0,0.00%,$0.00,$1.32,4,40.00%,$0.88,$2.20,,,,
Annandale High,5/07/2025,10049,"WG 10"" Flour Tortilla(Tortilla)",96,0,96,96,81,0,81,$28.35,1,1.04%,$0.35,$28.70,14,14.58%,$4.90,$33.60,,,,
Annandale High,5/07/2025,10051,"Turkey,  Breast, Pre-Sliced, Oven Roasted(3 Slices)",10,0,10,10,5,0,5,$2.70,0,0.00%,$0.00,$2.70,5,50.00%,$2.70,$5.40,,,,
Annandale High,5/07/2025,10062,Corn(2 Tablespoons (thawed)),64,0,64,64,59,0,59,$2.95,2,3.13%,$0.10,$3.05,3,4.69%,$0.15,$3.20,,,,
Annandale High,5/07/2025,10070,Orange Sauce(ounce),60,0,60,75,67,0,67,$9.38,7,9.33%,$0.98,$10.36,1,1.33%,$0.14,$10.50,,,,
Annandale High,5/07/2025,10073,Whole Strawberries(1/2 cup thawed),0,0,0,184,181,0,181,$61.54,2,1.09%,$0.68,$62.22,1,0.54%,$0.34,$62.56,,,,
Annandale High,5/07/2025,20001,1% White Milk(Each),100,0,100,190,65,0,65,$23.40,0,0.00%,$0.00,$23.40,125,65.79%,$45.00,$68.40,,,,
Annandale High,5/07/2025,20002,Fat Free Chocolate Milk(Each),650,0,650,710,598,13,611,$213.85,2,0.28%,$0.70,$214.55,97,13.66%,$33.95,$248.50,,,,
Annandale High,5/07/2025,20006,"Cheese, Shredded, Cheddar(1/4 cup)",128,0,128,96,92,0,92,$15.64,3,3.13%,$0.51,$16.15,1,1.04%,$0.17,$16.32,,,,
Annandale High,5/07/2025,20013,Gala Apple(Each),0,0,0,150,123,0,123,$45.51,0,0.00%,$0.00,$45.51,27,18.00%,$9.99,$55.50,,,,
Annandale High,5/07/2025,20014,Red Delicious Apple(Each - serving),0,0,0,375,350,13,363,$119.79,2,0.53%,$0.66,$120.45,10,2.67%,$3.30,$123.75,,,,
Annandale High,5/07/2025,20015,Golden Delicious Apple(Each),0,0,0,150,105,0,105,$32.55,0,0.00%,$0.00,$32.55,45,30.00%,$13.95,$46.50,,,,
Annandale High,5/07/2025,20016,String Cheese(Each),5,0,5,5,0,0,0,$0.00,0,0.00%,$0.00,$0.00,5,100.00%,$0.00,$0.00,,,,
Annandale High,5/07/2025,20017,Orange(1/4 cup),0,0,0,138,102,13,115,$19.55,3,2.17%,$0.51,$20.06,20,14.49%,$3.40,$23.46,,,,
Annandale High,5/07/2025,20023,Baby Carrots(6 Baby Carrots per 1/2 cup),46,0,46,46,33,0,33,$5.61,3,6.52%,$0.51,$6.12,10,21.74%,$1.70,$7.82,,,,
Annandale High,5/07/2025,20027,Broccoli Florets(1/4 cup),84,0,84,105,79,10,89,$7.12,4,3.81%,$0.32,$7.44,12,11.43%,$0.96,$8.40,,,,
Annandale High,5/07/2025,20028,Lettuce Blend Salad Mix(1/2 cup),400,0,400,400,363,13,376,$30.08,10,2.50%,$0.80,$30.88,14,3.50%,$1.12,$32.00,,,,
Annandale High,5/07/2025,20031,Banana(Each),0,0,0,250,225,0,225,$47.25,0,0.00%,$0.00,$47.25,25,10.00%,$5.25,$52.50,,,,
Annandale High,5/07/2025,20035,"Onions, Red, Whole(2 Tablespoons (sliced))",70,0,70,70,63,0,63,$1.89,2,2.86%,$0.06,$1.95,5,7.14%,$0.15,$2.10,,,,
Annandale High,5/07/2025,20038,Fat Free White Milk(Each),100,0,100,122,43,0,43,$14.19,0,0.00%,$0.00,$14.19,79,64.75%,$26.07,$40.26,,,,
Annandale High,5/07/2025,20040,Cucumber Slices(2 Tablespoon),64,0,64,64,56,0,56,$1.68,2,3.13%,$0.06,$1.74,6,9.38%,$0.18,$1.92,,,,
Annandale High,5/07/2025,20041,"Peppers, Green, Whole(2 Tablespoon)",70,0,70,70,64,0,64,$3.84,2,2.86%,$0.12,$3.96,4,5.71%,$0.24,$4.20,,,,
Annandale High,5/07/2025,20042,"Peppers, Red, Whole(2 Tablespoons)",70,0,70,70,64,0,64,$3.20,3,4.29%,$0.15,$3.35,3,4.29%,$0.15,$3.50,,,,
Annandale High,5/07/2025,20052,Assorted  4 oz Yogurt(Container),5,0,5,5,0,0,0,$0.00,0,0.00%,$0.00,$0.00,5,100.00%,$0.00,$0.00,,,,
Annandale High,5/07/2025,30002,Sub Roll(Sub Roll),12,0,12,12,6,0,6,$1.86,0,0.00%,$0.00,$1.86,6,50.00%,$1.86,$3.72,,,,
Annandale High,5/07/2025,30008,Apple Juice(Each),5,0,5,5,0,0,0,$0.00,0,0.00%,$0.00,$0.00,5,100.00%,$0.00,$0.00,,,,
Annandale High,5/07/2025,30009,Orange Tangerine Juice(Each),5,0,5,5,0,0,0,$0.00,0,0.00%,$0.00,$0.00,5,100.00%,$0.00,$0.00,,,,
Annandale High,5/07/2025,30033,Cheez-Its Crackers(Package),5,0,5,5,0,0,0,$0.00,0,0.00%,$0.00,$0.00,5,100.00%,$0.00,$0.00,,,,
Annandale High,5/07/2025,30044,Strawberry Flavored Dried Cranberries(Each),75,0,75,70,39,0,39,$9.36,0,0.00%,$0.00,$9.36,31,44.29%,$7.44,$16.80,,,,
Annandale High,5/07/2025,30045,Watermelon Flavored Dried Cranberries(Each),75,0,75,70,38,0,38,$9.12,0,0.00%,$0.00,$9.12,32,45.71%,$7.68,$16.80,,,,
Annandale High,5/07/2025,30063,Ketchup Packet(Packet),1500,0,1500,1500,1235,13,1248,$37.44,2,0.13%,$0.06,$37.50,250,16.67%,$7.50,$45.00,,,,
Annandale High,5/07/2025,30064,Mayonnaise Packet(Packet),200,0,200,700,638,0,638,$63.80,5,0.71%,$0.50,$64.30,57,8.14%,$5.70,$70.00,,,,
Annandale High,5/07/2025,30065,Mustard Packet(Packet),200,0,200,200,120,0,120,$6.00,0,0.00%,$0.00,$6.00,80,40.00%,$4.00,$10.00,,,,
Annandale High,5/07/2025,30077,Italian Dressing(1 ounce),144,0,144,144,107,0,107,$8.56,7,4.86%,$0.56,$9.12,30,20.83%,$2.40,$11.52,,,,
Annandale High,5/07/2025,30097,Bottled Water(Bottle),15,0,15,20,8,0,8,$1.28,0,0.00%,$0.00,$1.28,12,60.00%,$1.92,$3.20,,,,
Annandale High,5/07/2025,30099,Chickpeas(1/4 cup),128,0,128,128,91,0,91,$8.19,5,3.91%,$0.45,$8.64,32,25.00%,$2.88,$11.52,,,,
Annandale High,5/07/2025,30099,Chickpeas(2 Tablespoons),32,0,32,32,25,0,25,$1.00,3,9.38%,$0.12,$1.12,4,12.50%,$0.16,$1.28,,,,
Annandale High,5/07/2025,30107,Ranch Dressing(1 ounce),336,0,336,336,290,13,303,$33.33,9,2.68%,$0.99,$34.32,24,7.14%,$2.64,$36.96,,,,
Annandale High,5/07/2025,30109,Smartfood RF White Cheddar Popcorn(Each),10,0,10,10,1,0,1,$0.37,0,0.00%,$0.00,$0.37,9,90.00%,$3.33,$3.70,,,,
