School_Name,Date,Identifier,Name,Planned,Offered,Served,Discarded,Subtotal,Left Over,Production Cost,Reimbursable,Non-Reimbursable,Total,Reimbursable,Non-Reimbursable,Total,Cost,Total,Percent of Offered,Cost,Total,Percent of Offered,Cost
Aldrin Elementary,5/20/2025,10015,Baked Cheese Sticks(2 Cheese Sticks),79,0,79,108,103,0,103,$67.98,0,0.00%,$0.00,$67.98,5,4.63%,$3.30,$71.28,,,,
Aldrin Elementary,5/20/2025,10033,Chocolate Chip Cookie(Cookie),89,0,89,126,125,0,125,$33.75,0,0.00%,$0.00,$33.75,1,0.79%,$0.27,$34.02,,,,
Aldrin Elementary,5/20/2025,10044,Soft Pretzel(1 pretzel),17,0,17,30,25,0,25,$5.50,0,0.00%,$0.00,$5.50,5,16.67%,$1.10,$6.60,,,,
Aldrin Elementary,5/20/2025,20001,1% White Milk(Each),45,0,45,70,54,0,54,$19.44,0,0.00%,$0.00,$19.44,16,22.86%,$5.76,$25.20,,,,
Aldrin Elementary,5/20/2025,20002,Fat Free Chocolate Milk(Each),140,0,140,155,143,0,143,$50.05,0,0.00%,$0.00,$50.05,12,7.74%,$4.20,$54.25,,,,
Aldrin Elementary,5/20/2025,20016,String Cheese(Each),1,0,1,5,5,0,5,$1.10,0,0.00%,$0.00,$1.10,0,0.00%,$0.00,$1.10,,,,
Aldrin Elementary,5/20/2025,20018,Red Seedless Grapes(16 grapes per 1/2 cup),0,0,0,230,218,0,218,$111.18,0,0.00%,$0.00,$111.18,12,5.22%,$6.12,$117.30,,,,
Aldrin Elementary,5/20/2025,20028,Lettuce Blend Salad Mix(1/2 cup),45,0,45,45,43,0,43,$3.44,0,0.00%,$0.00,$3.44,2,4.44%,$0.16,$3.60,,,,
Aldrin Elementary,5/20/2025,20030,Sour Cream(2 Tablespoons),6,0,6,10,9,0,9,$1.35,0,0.00%,$0.00,$1.35,1,10.00%,$0.15,$1.50,,,,
Aldrin Elementary,5/20/2025,20038,Fat Free White Milk(Each),17,0,17,50,15,0,15,$4.95,0,0.00%,$0.00,$4.95,35,70.00%,$11.55,$16.50,,,,
Aldrin Elementary,5/20/2025,20040,Cucumber Slices(1/4 cup),85,0,85,145,137,0,137,$8.22,8,5.52%,$0.48,$8.70,0,0.00%,$0.00,$8.70,,,,
Aldrin Elementary,5/20/2025,20047,Orange Slices(3 slices per 1/4 cup),177,0,177,156,153,0,153,$30.60,0,0.00%,$0.00,$30.60,3,1.92%,$0.60,$31.20,,,,
Aldrin Elementary,5/20/2025,20052,Assorted  4 oz Yogurt(Container),2,0,2,5,5,0,5,$0.00,0,0.00%,$0.00,$0.00,0,0.00%,$0.00,$0.00,,,,
Aldrin Elementary,5/20/2025,30008,Apple Juice(Each),15,0,15,25,20,0,20,$3.40,0,0.00%,$0.00,$3.40,5,20.00%,$0.85,$4.25,,,,
Aldrin Elementary,5/20/2025,30009,Orange Tangerine Juice(Each),14,0,14,5,1,0,1,$0.17,0,0.00%,$0.00,$0.17,4,80.00%,$0.68,$0.85,,,,
Aldrin Elementary,5/20/2025,30011,"Salsa, Mild Canned(1.5 oz)",8,0,8,10,9,0,9,$0.90,0,0.00%,$0.00,$0.90,1,10.00%,$0.10,$1.00,,,,
Aldrin Elementary,5/20/2025,30018,Marinara Sauce(1/2 cup),59,0,59,100,97,0,97,$28.13,0,0.00%,$0.00,$28.13,3,3.00%,$0.87,$29.00,,,,
Aldrin Elementary,5/20/2025,30024,Black Beans(1/4 Cup),33,0,33,35,31,0,31,$2.79,0,0.00%,$0.00,$2.79,4,11.43%,$0.36,$3.15,,,,
Aldrin Elementary,5/20/2025,30033,Cheez-Its Crackers(Package),0,0,0,5,1,0,1,$0.18,0,0.00%,$0.00,$0.18,4,80.00%,$0.72,$0.90,,,,
Aldrin Elementary,5/20/2025,30044,Strawberry Flavored Dried Cranberries(Each),8,0,8,20,18,0,18,$4.32,0,0.00%,$0.00,$4.32,2,10.00%,$0.48,$4.80,,,,
Aldrin Elementary,5/20/2025,30045,Watermelon Flavored Dried Cranberries(Each),30,0,30,20,15,0,15,$3.60,0,0.00%,$0.00,$3.60,5,25.00%,$1.20,$4.80,,,,
Aldrin Elementary,5/20/2025,30077,Italian Dressing(1 ounce),16,0,16,20,16,0,16,$1.28,0,0.00%,$0.00,$1.28,4,20.00%,$0.32,$1.60,,,,
Aldrin Elementary,5/20/2025,30094,Doritos Wild White Nacho Flavored Tortilla Chips(Bag),48,0,48,35,30,0,30,$10.50,0,0.00%,$0.00,$10.50,5,14.29%,$1.75,$12.25,,,,
Aldrin Elementary,5/20/2025,30097,Bottled Water(Bottle),6,0,6,10,5,0,5,$0.80,0,0.00%,$0.00,$0.80,5,50.00%,$0.80,$1.60,,,,
Aldrin Elementary,5/20/2025,30107,Ranch Dressing(1 ounce),25,0,25,25,23,0,23,$2.53,0,0.00%,$0.00,$2.53,2,8.00%,$0.22,$2.75,,,,
Aldrin Elementary,5/20/2025,30109,Smartfood RF White Cheddar Popcorn(Each),0,0,0,15,13,0,13,$4.81,0,0.00%,$0.00,$4.81,2,13.33%,$0.74,$5.55,,,,
Aldrin Elementary,5/20/2025,60035,PB&J Power Pack(Power Packs),29,0,29,35,33,0,33,$35.64,0,0.00%,$0.00,$35.64,2,5.71%,$2.16,$37.80,,,,
