School_Name,Date,Identifier,Name,Planned,Offered,Served,Discarded,Subtotal,Left Over,Production Cost,Reimbursable,Non-Reimbursable,Total,Reimbursable,Non-Reimbursable,Total,Cost,Total,Percent of Offered,Cost,Total,Percent of Offered,Cost
Aldrin Elementary,5/13/2025,10033,Chocolate Chip Cookie(Cookie),56,0,56,131,117,0,117,$31.59,0,0.00%,$0.00,$31.59,14,10.69%,$3.78,$35.37,,,,
Aldrin Elementary,5/13/2025,10044,Soft Pretzel(1 pretzel),17,0,17,36,34,0,34,$7.48,0,0.00%,$0.00,$7.48,2,5.56%,$0.44,$7.92,,,,
Aldrin Elementary,5/13/2025,10069,Bean and Cheese Pupusa(Pupusa),66,0,66,53,51,0,51,$76.50,0,0.00%,$0.00,$76.50,2,3.77%,$3.00,$79.50,,,,
Aldrin Elementary,5/13/2025,20001,1% White Milk(Each),47,0,47,70,42,0,42,$15.12,0,0.00%,$0.00,$15.12,28,40.00%,$10.08,$25.20,,,,
Aldrin Elementary,5/13/2025,20002,Fat Free Chocolate Milk(Each),137,0,137,155,143,0,143,$50.05,0,0.00%,$0.00,$50.05,12,7.74%,$4.20,$54.25,,,,
Aldrin Elementary,5/13/2025,20008,Apple Slices(3 slices per 1/4 cup),0,0,0,320,316,0,316,$186.44,0,0.00%,$0.00,$186.44,4,1.25%,$2.36,$188.80,,,,
Aldrin Elementary,5/13/2025,20016,String Cheese(Each),2,0,2,2,1,0,1,$0.22,0,0.00%,$0.00,$0.22,1,50.00%,$0.22,$0.44,,,,
Aldrin Elementary,5/13/2025,20028,Lettuce Blend Salad Mix(1/2 cup),44,0,44,50,46,0,46,$3.68,0,0.00%,$0.00,$3.68,4,8.00%,$0.32,$4.00,,,,
Aldrin Elementary,5/13/2025,20030,Sour Cream(2 Tablespoons),7,0,7,10,8,0,8,$1.20,0,0.00%,$0.00,$1.20,2,20.00%,$0.30,$1.50,,,,
Aldrin Elementary,5/13/2025,20031,Banana(Each),0,0,0,120,116,0,116,$24.36,0,0.00%,$0.00,$24.36,4,3.33%,$0.84,$25.20,,,,
Aldrin Elementary,5/13/2025,20038,Fat Free White Milk(Each),17,0,17,50,20,0,20,$6.60,0,0.00%,$0.00,$6.60,30,60.00%,$9.90,$16.50,,,,
Aldrin Elementary,5/13/2025,20040,Cucumber Slices(1/4 cup),83,0,83,96,94,0,94,$5.64,0,0.00%,$0.00,$5.64,2,2.08%,$0.12,$5.76,,,,
Aldrin Elementary,5/13/2025,20047,Orange Slices(3 slices per 1/4 cup),20,0,20,55,50,0,50,$10.00,0,0.00%,$0.00,$10.00,5,9.09%,$1.00,$11.00,,,,
Aldrin Elementary,5/13/2025,20052,Assorted  4 oz Yogurt(Container),1,0,1,5,0,0,0,$0.00,0,0.00%,$0.00,$0.00,5,100.00%,$0.00,$0.00,,,,
Aldrin Elementary,5/13/2025,30008,Apple Juice(Each),20,0,20,18,17,0,17,$2.89,0,0.00%,$0.00,$2.89,1,5.56%,$0.17,$3.06,,,,
Aldrin Elementary,5/13/2025,30009,Orange Tangerine Juice(Each),14,0,14,12,10,0,10,$1.70,0,0.00%,$0.00,$1.70,2,16.67%,$0.34,$2.04,,,,
Aldrin Elementary,5/13/2025,30011,"Salsa, Mild Canned(1.5 oz)",9,0,9,10,8,0,8,$0.80,0,0.00%,$0.00,$0.80,2,20.00%,$0.20,$1.00,,,,
Aldrin Elementary,5/13/2025,30033,Cheez-Its Crackers(Package),0,0,0,6,5,0,5,$0.90,0,0.00%,$0.00,$0.90,1,16.67%,$0.18,$1.08,,,,
Aldrin Elementary,5/13/2025,30043,Raspberry Lemonade Flavored Dried Cranberries(Each),8,0,8,15,13,0,13,$3.12,0,0.00%,$0.00,$3.12,2,13.33%,$0.48,$3.60,,,,
Aldrin Elementary,5/13/2025,30044,Strawberry Flavored Dried Cranberries(Each),8,0,8,15,10,0,10,$2.40,0,0.00%,$0.00,$2.40,5,33.33%,$1.20,$3.60,,,,
Aldrin Elementary,5/13/2025,30045,Watermelon Flavored Dried Cranberries(Each),8,0,8,15,13,0,13,$3.12,0,0.00%,$0.00,$3.12,2,13.33%,$0.48,$3.60,,,,
Aldrin Elementary,5/13/2025,30077,Italian Dressing(1 ounce),10,0,10,25,20,0,20,$1.60,0,0.00%,$0.00,$1.60,5,20.00%,$0.40,$2.00,,,,
Aldrin Elementary,5/13/2025,30097,Bottled Water(Bottle),7,0,7,10,8,0,8,$1.28,0,0.00%,$0.00,$1.28,2,20.00%,$0.32,$1.60,,,,
Aldrin Elementary,5/13/2025,30099,Chickpeas(1/4 cup),35,0,35,35,35,0,35,$3.15,0,0.00%,$0.00,$3.15,0,0.00%,$0.00,$3.15,,,,
Aldrin Elementary,5/13/2025,30107,Ranch Dressing(1 ounce),21,0,21,22,18,0,18,$1.98,0,0.00%,$0.00,$1.98,4,18.18%,$0.44,$2.42,,,,
Aldrin Elementary,5/13/2025,60022,Tex Mex Corn(1/2 cup),66,0,66,145,141,0,141,$67.68,1,0.69%,$0.48,$68.16,3,2.07%,$1.44,$69.60,,,,
Aldrin Elementary,5/13/2025,60035,PB&J Power Pack(Power Packs),40,0,40,57,56,0,56,$60.48,0,0.00%,$0.00,$60.48,1,1.75%,$1.08,$61.56,,,,
Aldrin Elementary,5/13/2025,60036,Cherry Vanilla Yogurt Power Pack(Power Packs),7,0,7,20,17,0,17,$13.60,0,0.00%,$0.00,$13.60,3,15.00%,$2.40,$16.00,,,,
Aldrin Elementary,5/13/2025,60037,Strawberry & Banana Yogurt Power Pack(Power Packs),7,0,7,10,9,0,9,$7.20,0,0.00%,$0.00,$7.20,1,10.00%,$0.80,$8.00,,,,
Aldrin Elementary,5/13/2025,60038,Peach Yogurt Power Pack(Power Packs),5,0,5,10,8,0,8,$6.40,0,0.00%,$0.00,$6.40,2,20.00%,$1.60,$8.00,,,,
Aldrin Elementary,5/13/2025,60040,Grilled Cheese Sandwich(Sandwich),0,0,0,3,3,0,3,$1.26,0,0.00%,$0.00,$1.26,0,0.00%,$0.00,$1.26,,,,
Aldrin Elementary,5/13/2025,60077,Manager's Vegetable Choice(1/4 cup),99,0,99,92,90,0,90,$0.00,0,0.00%,$0.00,$0.00,2,2.17%,$0.00,$0.00,,,,
Aldrin Elementary,5/13/2025,60148,Turkey Barbacoa Arepa(1 Arepa + #10 scoop of turkey barbacoa),31,0,31,40,36,0,36,$51.84,4,10.00%,$5.76,$57.60,0,0.00%,$0.00,$57.60,,,,
Aldrin Elementary,5/13/2025,60149,Hot Turkey & Cheese(sandwich),0,0,0,2,2,0,2,$2.60,0,0.00%,$0.00,$2.60,0,0.00%,$0.00,$2.60,,,,
Annandale High,5/13/2025,10001,"Patty, Chicken, Breaded, WG(2 strips)",100,0,100,100,87,0,87,$19.14,0,0.00%,$0.00,$19.14,13,13.00%,$2.86,$22.00,,,,
Annandale High,5/13/2025,10033,Chocolate Chip Cookie(Cookie),20,0,20,20,13,0,13,$3.51,0,0.00%,$0.00,$3.51,7,35.00%,$1.89,$5.40,,,,
Annandale High,5/13/2025,10044,Soft Pretzel(1 pretzel),10,0,10,15,12,0,12,$2.64,0,0.00%,$0.00,$2.64,3,20.00%,$0.66,$3.30,,,,
Annandale High,5/13/2025,10049,"WG 10"" Flour Tortilla(Tortilla)",96,0,96,96,85,0,85,$29.75,1,1.04%,$0.35,$30.10,10,10.42%,$3.50,$33.60,,,,
Annandale High,5/13/2025,10051,"Turkey,  Breast, Pre-Sliced, Oven Roasted(3 Slices)",10,0,10,10,6,0,6,$3.24,1,10.00%,$0.54,$3.78,3,30.00%,$1.62,$5.40,,,,
Annandale High,5/13/2025,10062,Corn(2 Tablespoons (thawed)),64,0,64,64,62,0,62,$3.10,0,0.00%,$0.00,$3.10,2,3.13%,$0.10,$3.20,,,,
Annandale High,5/13/2025,10069,Bean and Cheese Pupusa(Pupusa),250,0,250,160,135,13,148,$222.00,2,1.25%,$3.00,$225.00,10,6.25%,$15.00,$240.00,,,,
Annandale High,5/13/2025,10073,Whole Strawberries(1/2 cup thawed),0,0,0,230,221,0,221,$75.14,4,1.74%,$1.36,$76.50,5,2.17%,$1.70,$78.20,,,,
Annandale High,5/13/2025,10075,Cheese Pizza(Slice),200,0,200,212,199,0,199,$113.43,1,0.47%,$0.57,$114.00,12,5.66%,$6.84,$120.84,,,,
Annandale High,5/13/2025,20001,1% White Milk(Each),100,0,100,142,66,0,66,$23.76,1,0.70%,$0.36,$24.12,75,52.82%,$27.00,$51.12,,,,
Annandale High,5/13/2025,20002,Fat Free Chocolate Milk(Each),600,0,600,652,585,13,598,$209.30,3,0.46%,$1.05,$210.35,51,7.82%,$17.85,$228.20,,,,
Annandale High,5/13/2025,20006,"Cheese, Shredded, Cheddar(1/4 cup)",96,0,96,96,86,0,86,$14.62,2,2.08%,$0.34,$14.96,8,8.33%,$1.36,$16.32,,,,
Annandale High,5/13/2025,20013,Gala Apple(Each),250,0,250,375,331,13,344,$127.28,1,0.27%,$0.37,$127.65,30,8.00%,$11.10,$138.75,,,,
Annandale High,5/13/2025,20015,Golden Delicious Apple(Each),125,0,125,125,99,0,99,$30.69,1,0.80%,$0.31,$31.00,25,20.00%,$7.75,$38.75,,,,
