School_Name,Date,Identifier,Name,Planned,Offered,Served,Discarded,Subtotal,Left Over,Production Cost,Reimbursable,Non-Reimbursable,Total,Reimbursable,Non-Reimbursable,Total,Cost,Total,Percent of Offered,Cost,Total,Percent of Offered,Cost
Aldrin Elementary,5/14/2025,10033,Chocolate Chip Cookie(1/2 Cookie),0,0,0,14,14,0,14,$1.96,0,0.00%,$0.00,$1.96,0,0.00%,$0.00,$1.96,,,,
Aldrin Elementary,5/14/2025,10044,Soft Pretzel(1 pretzel),17,0,17,32,29,0,29,$6.38,0,0.00%,$0.00,$6.38,3,9.38%,$0.66,$7.04,,,,
Aldrin Elementary,5/14/2025,10070,Orange Sauce(ounce),50,0,50,76,75,0,75,$10.50,1,1.32%,$0.14,$10.64,0,0.00%,$0.00,$10.64,,,,
Aldrin Elementary,5/14/2025,20001,1% White Milk(Each),47,0,47,71,40,0,40,$14.40,0,0.00%,$0.00,$14.40,31,43.66%,$11.16,$25.56,,,,
Aldrin Elementary,5/14/2025,20002,Fat Free Chocolate Milk(Each),137,0,137,150,135,0,135,$47.25,0,0.00%,$0.00,$47.25,15,10.00%,$5.25,$52.50,,,,
Aldrin Elementary,5/14/2025,20008,Apple Slices(3 slices per 1/4 cup),0,0,0,225,224,0,224,$132.16,1,0.44%,$0.59,$132.75,0,0.00%,$0.00,$132.75,,,,
Aldrin Elementary,5/14/2025,20016,String Cheese(Each),2,0,2,2,1,0,1,$0.22,0,0.00%,$0.00,$0.22,1,50.00%,$0.22,$0.44,,,,
Aldrin Elementary,5/14/2025,20018,Red Seedless Grapes(8 grapes per 1/4 cup),146,0,146,156,154,0,154,$40.04,0,0.00%,$0.00,$40.04,2,1.28%,$0.52,$40.56,,,,
Aldrin Elementary,5/14/2025,20027,Broccoli Florets(1/4 cup),81,0,81,95,93,0,93,$7.44,0,0.00%,$0.00,$7.44,2,2.11%,$0.16,$7.60,,,,
Aldrin Elementary,5/14/2025,20028,Lettuce Blend Salad Mix(1/2 cup),44,0,44,45,45,0,45,$3.60,0,0.00%,$0.00,$3.60,0,0.00%,$0.00,$3.60,,,,
