school_name,date,identifier,name,planned_reimbursable,planned_non-reimbursable,planned_total,offered,served_reimbursable,served_non-reimbursable,served_total,served_cost,discarded_total,discarded_percent_of_offered,discarded_cost,subtotal_cost,left_over_total,left_over_percent_of_offered,left_over_cost,production_cost_total
Aldrin Elementary,5/21/2025,20001,1% White Milk(Each),45,0,45,70,49,0,49,$17.64,0,0.00%,$0.00,$17.64,21,30.00%,$7.56,$25.20
Aldrin Elementary,5/21/2025,30008,Apple Juice(Each),18,0,18,25,23,0,23,$3.91,0,0.00%,$0.00,$3.91,2,8.00%,$0.34,$4.25
Aldrin Elementary,5/21/2025,20008,Apple Slices(3 slices per 1/4 cup),221,0,221,256,254,0,254,$149.86,0,0.00%,$0.00,$149.86,2,0.78%,$1.18,$151.04
Aldrin Elementary,5/21/2025,30020,Applesauce(1/2 Cup),19,0,19,20,19,0,19,$3.99,0,0.00%,$0.00,$3.99,1,5.00%,$0.21,$4.20
Aldrin Elementary,5/21/2025,20052,Assorted  4 oz Yogurt(Container),2,0,2,5,0,0,0,$0.00,0,0.00%,$0.00,$0.00,5,100.00%,$0.00,$0.00
Aldrin Elementary,5/21/2025,30097,Bottled Water(Bottle),7,0,7,10,6,0,6,$0.96,0,0.00%,$0.00,$0.96,4,40.00%,$0.64,$1.60
Aldrin Elementary,5/21/2025,20027,Broccoli Florets(1/4 cup),81,0,81,150,143,0,143,$11.44,0,0.00%,$0.00,$11.44,7,4.67%,$0.56,$12.00
Aldrin Elementary,5/21/2025,60018,Cheese Quesadilla(Quesadilla),3,0,3,5,0,0,0,$0.00,0,0.00%,$0.00,$0.00,5,100.00%,$0.00,$0.00
Aldrin Elementary,5/21/2025,30033,Cheez-Its Crackers(Package),0,0,0,10,7,0,7,$1.26,0,0.00%,$0.00,$1.26,3,30.00%,$0.54,$1.80
Aldrin Elementary,5/21/2025,60036,Cherry Vanilla Yogurt Power Pack(Power Packs),6,0,6,10,6,0,6,$4.80,0,0.00%,$0.00,$4.80,4,40.00%,$3.20,$8.00
Aldrin Elementary,5/21/2025,30099,Chickpeas(1/4 cup),30,0,30,35,33,0,33,$2.97,0,0.00%,$0.00,$2.97,2,5.71%,$0.18,$3.15
Aldrin Elementary,5/21/2025,20040,Cucumber Slices(6 Slices per 1/2 cup),21,0,21,20,19,0,19,$2.28,0,0.00%,$0.00,$2.28,1,5.00%,$0.12,$2.40
Aldrin Elementary,5/21/2025,30094,Doritos Wild White Nacho Flavored Tortilla Chips(Bag),0,0,0,40,37,0,37,$12.95,0,0.00%,$0.00,$12.95,3,7.50%,$1.05,$14.00
