school_name,date,identifier,name,planned_reimbursable,planned_non-reimbursable,planned_total,offered,served_reimbursable,served_non-reimbursable,served_total,served_cost,discarded_total,discarded_percent_of_offered,discarded_cost,subtotal_cost,left_over_total,left_over_percent_of_offered,left_over_cost,production_cost_total
Aldrin Elementary,5/29/2025,20001,1% White Milk(Each),43,0,43,75,57,0,57,$20.52,0,0.00%,$0.00,$20.52,18,24.00%,$6.48,$27.00
Aldrin Elementary,5/29/2025,30008,Apple Juice(Each),25,0,25,35,32,0,32,$5.44,0,0.00%,$0.00,$5.44,3,8.57%,$0.51,$5.95
Aldrin Elementary,5/29/2025,20031,Banana(Each),103,0,103,90,85,0,85,$17.85,2,2.22%,$0.42,$18.27,3,3.33%,$0.63,$18.90
Aldrin Elementary,5/29/2025,30024,Black Beans(1/4 Cup),33,0,33,96,92,0,92,$8.28,4,4.17%,$0.36,$8.64,0,0.00%,$0.00,$8.64
Aldrin Elementary,5/29/2025,30097,Bottled Water(Bottle),6,0,6,10,4,0,4,$0.64,0,0.00%,$0.00,$0.64,6,60.00%,$0.96,$1.60
Aldrin Elementary,5/29/2025,60015,Chana Masala(1/2 cup),33,0,33,27,23,0,23,$4.14,4,14.81%,$0.72,$4.86,0,0.00%,$0.00,$4.86
Aldrin Elementary,5/29/2025,30033,Cheez-Its Crackers(Package),0,0,0,10,9,0,9,$1.62,0,0.00%,$0.00,$1.62,1,10.00%,$0.18,$1.80
Aldrin Elementary,5/29/2025,60036,Cherry Vanilla Yogurt Power Pack(Power Packs),7,0,7,5,2,0,2,$1.60,0,0.00%,$0.00,$1.60,3,60.00%,$2.40,$4.00
Aldrin Elementary,5/29/2025,60132,Chicken Masala Drumstick(Drumstick),94,0,94,140,133,0,133,$139.65,4,2.86%,$4.20,$143.85,3,2.14%,$3.15,$147.00
Aldrin Elementary,5/29/2025,60021,Cooked  Brown Rice(1 cup cooked),39,0,39,20,17,0,17,$1.87,3,15.00%,$0.33,$2.20,0,0.00%,$0.00,$2.20
Aldrin Elementary,5/29/2025,60021,Cooked  Brown Rice(1/2 cup cooked),100,0,100,145,139,0,139,$6.95,6,4.14%,$0.30,$7.25,0,0.00%,$0.00,$7.25
Aldrin Elementary,5/29/2025,10062,Corn(1/4 cup (thawed)),114,0,114,225,223,0,223,$24.53,2,0.89%,$0.22,$24.75,0,0.00%,$0.00,$24.75
Aldrin Elementary,5/29/2025,20040,Cucumber Slices(6 Slices per 1/2 cup),20,0,20,25,22,0,22,$2.64,3,12.00%,$0.36,$3.00,0,0.00%,$0.00,$3.00
Aldrin Elementary,5/29/2025,30094,Doritos Wild White Nacho Flavored Tortilla Chips(Bag),0,0,0,50,40,0,40,$14.00,0,0.00%,$0.00,$14.00,10,20.00%,$3.50,$17.50
Aldrin Elementary,5/29/2025,20002,Fat Free Chocolate Milk(Each),129,0,129,160,131,0,131,$45.85,0,0.00%,$0.00,$45.85,29,18.13%,$10.15,$56.00
Aldrin Elementary,5/29/2025,20038,Fat Free White Milk(Each),15,0,15,50,15,0,15,$4.95,0,0.00%,$0.00,$4.95,35,70.00%,$11.55,$16.50
Aldrin Elementary,5/29/2025,30077,Italian Dressing(1 ounce),16,0,16,20,14,0,14,$1.12,0,0.00%,$0.00,$1.12,6,30.00%,$0.48,$1.60
Aldrin Elementary,5/29/2025,20028,Lettuce Blend Salad Mix(1/2 cup),41,0,41,45,40,0,40,$3.20,0,0.00%,$0.00,$3.20,5,11.11%,$0.40,$3.60
Aldrin Elementary,5/29/2025,60077,Manager's Vegetable Choice(1/4 cup),99,0,99,65,63,0,63,$0.00,2,3.08%,$0.00,$0.00,0,0.00%,$0.00,$0.00
Aldrin Elementary,5/29/2025,30009,Orange Tangerine Juice(Each),15,0,15,20,17,0,17,$2.89,0,0.00%,$0.00,$2.89,3,15.00%,$0.51,$3.40
Aldrin Elementary,5/29/2025,60035,PB&J Power Pack(Power Packs),45,0,45,30,20,0,20,$21.60,0,0.00%,$0.00,$21.60,10,33.33%,$10.80,$32.40
Aldrin Elementary,5/29/2025,60038,Peach Yogurt Power Pack(Power Packs),7,0,7,5,3,0,3,$2.40,0,0.00%,$0.00,$2.40,2,40.00%,$1.60,$4.00
Aldrin Elementary,5/29/2025,30107,Ranch Dressing(1 ounce),20,0,20,25,18,0,18,$1.98,0,0.00%,$0.00,$1.98,7,28.00%,$0.77,$2.75
Aldrin Elementary,5/29/2025,20018,Red Seedless Grapes(16 grapes per 1/2 cup),0,0,0,230,219,0,219,$111.69,0,0.00%,$0.00,$111.69,11,4.78%,$5.61,$117.30
Aldrin Elementary,5/29/2025,30109,Smartfood RF White Cheddar Popcorn(Each),18,0,18,10,9,0,9,$3.33,0,0.00%,$0.00,$3.33,1,10.00%,$0.37,$3.70
Aldrin Elementary,5/29/2025,10044,Soft Pretzel(1 pretzel),20,0,20,20,15,0,15,$3.30,0,0.00%,$0.00,$3.30,5,25.00%,$1.10,$4.40
Aldrin Elementary,5/29/2025,60037,Strawberry & Banana Yogurt Power Pack(Power Packs),9,0,9,10,8,0,8,$6.40,0,0.00%,$0.00,$6.40,2,20.00%,$1.60,$8.00
Aldrin Elementary,5/29/2025,60150,Strawberry Parfait Power Pack(Power Pack),0,0,0,5,0,0,0,$0.00,0,0.00%,$0.00,$0.00,5,100.00%,$0.00,$0.00
Aldrin Elementary,5/29/2025,20016,String Cheese(Each),1,0,1,5,1,0,1,$0.22,0,0.00%,$0.00,$0.22,4,80.00%,$0.88,$1.10
Aldrin Elementary,5/29/2025,30045,Watermelon Flavored Dried Cranberries(Each),15,0,15,50,46,0,46,$11.04,0,0.00%,$0.00,$11.04,4,8.00%,$0.96,$12.00
Annandale High,5/29/2025,20001,1% White Milk(Each),90,0,90,118,57,0,57,$20.52,0,0.00%,$0.00,$20.52,61,51.69%,$21.96,$42.48
Annandale High,5/29/2025,30008,Apple Juice(Each),5,0,5,5,5,0,5,$0.85,0,0.00%,$0.00,$0.85,0,0.00%,$0.00,$0.85
Annandale High,5/29/2025,20052,Assorted  4 oz Yogurt(Container),5,0,5,5,0,0,0,$0.00,0,0.00%,$0.00,$0.00,5,100.00%,$0.00,$0.00
Annandale High,5/29/2025,20023,Baby Carrots(6 Baby Carrots per 1/2 cup),24,0,24,24,16,0,16,$2.72,2,8.33%,$0.34,$3.06,6,25.00%,$1.02,$4.08
Annandale High,5/29/2025,10015,Baked Cheese Sticks(2 Cheese Sticks),100,0,100,97,96,0,96,$63.36,0,0.00%,$0.00,$63.36,1,1.03%,$0.66,$64.02
Annandale High,5/29/2025,10007,"Beef, Meatballs, Pre-Cooked(5 meatballs)",0,0,0,70,61,0,61,$39.65,2,2.86%,$1.30,$40.95,7,10.00%,$4.55,$45.50
Annandale High,5/29/2025,30024,Black Beans(1/4 Cup),132,0,132,132,97,0,97,$8.73,3,2.27%,$0.27,$9.00,32,24.24%,$2.88,$11.88
Annandale High,5/29/2025,30024,Black Beans(2 Tablespoons),33,0,33,33,23,0,23,$0.92,0,0.00%,$0.00,$0.92,10,30.30%,$0.40,$1.32
