school,meal_type,food_item,recommended_quantity
annandale high,Breakfast,Fat Free Unflavored Shelf-Stable Milk (Each),2
annandale high,Breakfast,Graham Crackers (Package),2
annandale high,Breakfast,"Lactose Free, White Milk (Each)",2
annandale high,Breakfast,"Milk, Lactose Free,  Fat Free, Shelf-Stable (Each)",2
annandale high,Breakfast,Orange (Each - serving),2
annandale high,Breakfast,Strawberry Flavored Dried Cranberries (2 Eaches),2
annandale high,Breakfast,Whole Strawberries (1/2 cup thawed),2
annandale high,Breakfast,"Apple Slices (3 slices, 1/4 cup)",1
annandale high,Breakfast,"Batter, Pumpkin Bread (2oz Grain (1/32Baked Pan))",1
annandale high,Breakfast,"Cereal, Cinnamon Toast Crunch 1 oz (Sub) (Each)",1
annandale high,Breakfast,Cherry Flavored Dried Cranberries (2 Eaches),1
annandale high,Breakfast,Chicken Tenders (3 tenders),1
annandale high,Breakfast,Gala Apple (Each),1
annandale high,Breakfast,Granola (1/4 cup),1
annandale high,Breakfast,Maple Belgian Waffle (Waffle),1
annandale high,Breakfast,Natural Blackberry Jam (Packet),1
annandale high,Breakfast,Orange (1/4 cup),1
annandale high,Breakfast,Orange Flavored Dried Cranberries (2 Eaches),1
annandale high,Breakfast,Orange Slices (6 Slices per 1/2 cup),1
annandale high,Breakfast,Peach Parfait (Parfait),1
annandale high,Breakfast,Pumpkin Bread (1 square),1
annandale high,Breakfast,Raspberry Lemonade Flavored Dried Cranberries (2 Eaches),1
annandale high,Breakfast,Strawberry Flavored Dried Cranberries (Each),1
annandale high,Breakfast,Triple Berry Parfait Power Pack (Power Pack),1
annandale terrace elementary,Breakfast,Apple Juice (Each),217
annandale terrace elementary,Breakfast,Orange Tangerine Juice (Each),117
annandale terrace elementary,Breakfast,Mini Maple Pancakes (Package),101
annandale terrace elementary,Breakfast,1% White Milk (Each),98
annandale terrace elementary,Breakfast,Bagel (Bagel),48
annandale terrace elementary,Breakfast,Cream Cheese (Each),37
annandale terrace elementary,Breakfast,Honey Cheerios Cereal (Each),37
annandale terrace elementary,Breakfast,Red Delicious Apple (Each - serving),36
annandale terrace elementary,Breakfast,"Cinnamon Toast Crunch Cereal, 25% Less Sugar (Each)",33
annandale terrace elementary,Breakfast,Cinnamon Chex Cereal (Each),31
annandale terrace elementary,Breakfast,Blueberry Chex Cereal (Each),26
annandale terrace elementary,Breakfast,Fat Free White Milk (Each),26
annandale terrace elementary,Breakfast,Banana (Each),24
annandale terrace elementary,Breakfast,String Cheese (1 Stick),23
annandale terrace elementary,Breakfast,Natural Breakfast Syrup (Each),17
annandale terrace elementary,Breakfast,Natural Grape Jam (Packet),13
annandale terrace elementary,Breakfast,"Batter, Pumpkin Bread (1oz Grain (1/64 Baked Pan))",10
annandale terrace elementary,Breakfast,Orange (6 Slices per 1/2 cup),10
annandale terrace elementary,Breakfast,Mandarin Orange Parfait (Parfait),9
annandale terrace elementary,Breakfast,Apple Cinnamon Bread (1oz Grain (1/64 Baked Pan)),8
annandale terrace elementary,Breakfast,Chicken & Biscuit Sandwich (Sandwich),8
annandale terrace elementary,Breakfast,Egg and American Cheese on Bagel (Sandwich),7
annandale terrace elementary,Breakfast,Strawberry Parfait (Parfait),7
annandale terrace elementary,Breakfast,Turkey Sausage Breakfast Biscuit (Sandwich),7
annandale terrace elementary,Breakfast,Blueberry Bread (1 square),6
annandale terrace elementary,Breakfast,Chilled Peaches (1/2 cup (drained)),6
annandale terrace elementary,Breakfast,Egg and American Cheese on Biscuit (Sandwich),6
annandale terrace elementary,Breakfast,Orange Slices (3 slices per 1/4 cup),5
annandale terrace elementary,Breakfast,Applesauce (1/2 Cup),4
annandale terrace elementary,Breakfast,Blueberry Bread (1oz Grain (1/64 Baked Pan)),4
annandale terrace elementary,Breakfast,Blueberry Muffin Top (Muffin Top),4
annandale terrace elementary,Breakfast,"Parfait, Triple Berry (Parfait)",4
annandale terrace elementary,Breakfast,"Sandwich, Breakfast. Bagel, Turkey Sausage (Sandwich)",4
annandale terrace elementary,Breakfast,1% Unflavored Shelf-Stable Milk (Each),2
annandale terrace elementary,Breakfast,Apple Cinnamon Bread (2oz Grain (1/32 Baked Pan)),2
annandale terrace elementary,Breakfast,Biscuit (Biscuit),2
annandale terrace elementary,Breakfast,Chilled Mandarin Oranges (1/2 cup (drained)),2
annandale terrace elementary,Breakfast,Chilled Pineapple (1/2 cup),2
annandale terrace elementary,Breakfast,Egg and American Cheese on English Muffin (Sandwich),2
annandale terrace elementary,Breakfast,Golden Delicious Apple (Each),2
annandale terrace elementary,Breakfast,Apple Cinnamon Bread (Grain for entree) (1 square),1
annandale terrace elementary,Breakfast,Apple Slices (3 slices per 1/4 cup),1
annandale terrace elementary,Breakfast,"Apple, Slices, IW - ER Supper Only (Each)",1
annandale terrace elementary,Breakfast,Assorted Craisins (Packet),1
annandale terrace elementary,Breakfast,"Batter, Pumpkin Bread (2oz Grain (1/32Baked Pan))",1
annandale terrace elementary,Breakfast,Bottled Water (Bottle),1
annandale terrace elementary,Breakfast,"Cereal, Cinnamon Toast Crunch 1 oz (Sub) (Each)",1
annandale terrace elementary,Breakfast,Chicken Tenders (3 tenders),1
annandale terrace elementary,Breakfast,Fat Free Unflavored Shelf-Stable Milk (Each),1
annandale terrace elementary,Breakfast,"Frozen Berry, Triple Berry Blend (1/2 cup (thawed))",1
annandale terrace elementary,Breakfast,Graham Crackers (Package),1
annandale terrace elementary,Breakfast,IW Applesauce Cup (Each),1
annandale terrace elementary,Breakfast,"Lactose Free, White Milk (Each)",1
annandale terrace elementary,Breakfast,"Milk, Lactose Free,  Fat Free, Shelf-Stable (Each)",1
annandale terrace elementary,Breakfast,Mini Maple Waffles (Package),1
annandale terrace elementary,Breakfast,Orange (1/4 cup),1
annandale terrace elementary,Breakfast,Orange (Each - serving),1
annandale terrace elementary,Breakfast,Orange Slices (6 Slices per 1/2 cup),1
annandale terrace elementary,Breakfast,Strawberry Flavored Dried Cranberries (2 Eaches),1
annandale terrace elementary,Breakfast,Whole Strawberries (1/2 cup thawed),1
armstrong elementary,Breakfast,Apple Juice (Each),36
armstrong elementary,Breakfast,Orange Tangerine Juice (Each),19
armstrong elementary,Breakfast,Mini Maple Pancakes (Package),17
armstrong elementary,Breakfast,1% White Milk (Each),16
armstrong elementary,Breakfast,Bagel (Bagel),8
armstrong elementary,Breakfast,Cream Cheese (Each),6
armstrong elementary,Breakfast,Honey Cheerios Cereal (Each),6
armstrong elementary,Breakfast,Red Delicious Apple (Each - serving),6
armstrong elementary,Breakfast,Cinnamon Chex Cereal (Each),5
armstrong elementary,Breakfast,"Cinnamon Toast Crunch Cereal, 25% Less Sugar (Each)",5
armstrong elementary,Breakfast,Banana (Each),4
armstrong elementary,Breakfast,Blueberry Chex Cereal (Each),4
armstrong elementary,Breakfast,Fat Free White Milk (Each),4
armstrong elementary,Breakfast,String Cheese (1 Stick),4
armstrong elementary,Breakfast,Natural Breakfast Syrup (Each),3
armstrong elementary,Breakfast,"Batter, Pumpkin Bread (1oz Grain (1/64 Baked Pan))",2
armstrong elementary,Breakfast,Mandarin Orange Parfait (Parfait),2
armstrong elementary,Breakfast,Natural Grape Jam (Packet),2
armstrong elementary,Breakfast,Orange (6 Slices per 1/2 cup),2
armstrong elementary,Breakfast,Apple Cinnamon Bread (1oz Grain (1/64 Baked Pan)),1
armstrong elementary,Breakfast,Applesauce (1/2 Cup),1
armstrong elementary,Breakfast,Blueberry Bread (1 square),1
armstrong elementary,Breakfast,Blueberry Bread (1oz Grain (1/64 Baked Pan)),1
armstrong elementary,Breakfast,Blueberry Muffin Top (Muffin Top),1
armstrong elementary,Breakfast,Chicken & Biscuit Sandwich (Sandwich),1
armstrong elementary,Breakfast,Chilled Peaches (1/2 cup (drained)),1
armstrong elementary,Breakfast,Egg and American Cheese on Bagel (Sandwich),1
armstrong elementary,Breakfast,Egg and American Cheese on Biscuit (Sandwich),1
armstrong elementary,Breakfast,Orange Slices (3 slices per 1/4 cup),1
armstrong elementary,Breakfast,"Parfait, Triple Berry (Parfait)",1
armstrong elementary,Breakfast,"Sandwich, Breakfast. Bagel, Turkey Sausage (Sandwich)",1
armstrong elementary,Breakfast,Strawberry Parfait (Parfait),1
armstrong elementary,Breakfast,Turkey Sausage Breakfast Biscuit (Sandwich),1
baileys lower elementary,Breakfast,Apple Juice (Each),273
baileys lower elementary,Breakfast,Orange Tangerine Juice (Each),147
baileys lower elementary,Breakfast,Mini Maple Pancakes (Package),127
baileys lower elementary,Breakfast,1% White Milk (Each),122
baileys lower elementary,Breakfast,Bagel (Bagel),60
baileys lower elementary,Breakfast,Cream Cheese (Each),46
baileys lower elementary,Breakfast,Honey Cheerios Cereal (Each),46
baileys lower elementary,Breakfast,Red Delicious Apple (Each - serving),45
baileys lower elementary,Breakfast,"Cinnamon Toast Crunch Cereal, 25% Less Sugar (Each)",41
baileys lower elementary,Breakfast,Cinnamon Chex Cereal (Each),38
baileys lower elementary,Breakfast,Blueberry Chex Cereal (Each),33
baileys lower elementary,Breakfast,Fat Free White Milk (Each),32
baileys lower elementary,Breakfast,Banana (Each),30
baileys lower elementary,Breakfast,String Cheese (1 Stick),29
baileys lower elementary,Breakfast,Natural Breakfast Syrup (Each),21
baileys lower elementary,Breakfast,Natural Grape Jam (Packet),16
baileys lower elementary,Breakfast,"Batter, Pumpkin Bread (1oz Grain (1/64 Baked Pan))",12
baileys lower elementary,Breakfast,Mandarin Orange Parfait (Parfait),12
baileys lower elementary,Breakfast,Orange (6 Slices per 1/2 cup),12
baileys lower elementary,Breakfast,Apple Cinnamon Bread (1oz Grain (1/64 Baked Pan)),10
baileys lower elementary,Breakfast,Chicken & Biscuit Sandwich (Sandwich),10
baileys lower elementary,Breakfast,Egg and American Cheese on Bagel (Sandwich),9
baileys lower elementary,Breakfast,Strawberry Parfait (Parfait),9
baileys lower elementary,Breakfast,Turkey Sausage Breakfast Biscuit (Sandwich),9
baileys lower elementary,Breakfast,Chilled Peaches (1/2 cup (drained)),8
baileys lower elementary,Breakfast,Egg and American Cheese on Biscuit (Sandwich),8
baileys lower elementary,Breakfast,Blueberry Bread (1 square),7
baileys lower elementary,Breakfast,Orange Slices (3 slices per 1/4 cup),6
baileys lower elementary,Breakfast,"Sandwich, Breakfast. Bagel, Turkey Sausage (Sandwich)",6
baileys lower elementary,Breakfast,Applesauce (1/2 Cup),5
baileys lower elementary,Breakfast,Blueberry Muffin Top (Muffin Top),5
baileys lower elementary,Breakfast,"Parfait, Triple Berry (Parfait)",5
baileys lower elementary,Breakfast,Blueberry Bread (1oz Grain (1/64 Baked Pan)),4
baileys lower elementary,Breakfast,Biscuit (Biscuit),3
baileys lower elementary,Breakfast,Chilled Mandarin Oranges (1/2 cup (drained)),3
baileys lower elementary,Breakfast,Golden Delicious Apple (Each),3
baileys lower elementary,Breakfast,1% Unflavored Shelf-Stable Milk (Each),2
baileys lower elementary,Breakfast,Apple Cinnamon Bread (2oz Grain (1/32 Baked Pan)),2
baileys lower elementary,Breakfast,Apple Cinnamon Bread (Grain for entree) (1 square),2
baileys lower elementary,Breakfast,Apple Slices (3 slices per 1/4 cup),2
baileys lower elementary,Breakfast,Bottled Water (Bottle),2
baileys lower elementary,Breakfast,Chilled Pineapple (1/2 cup),2
baileys lower elementary,Breakfast,Egg and American Cheese on English Muffin (Sandwich),2
baileys lower elementary,Breakfast,"Frozen Berry, Triple Berry Blend (1/2 cup (thawed))",2
baileys lower elementary,Breakfast,"Apple, Slices, IW - ER Supper Only (Each)",1
baileys lower elementary,Breakfast,Assorted Craisins (Packet),1
baileys lower elementary,Breakfast,"Batter, Pumpkin Bread (2oz Grain (1/32Baked Pan))",1
baileys lower elementary,Breakfast,"Cereal, Cinnamon Toast Crunch 1 oz (Sub) (Each)",1
baileys lower elementary,Breakfast,Chicken Tenders (3 tenders),1
baileys lower elementary,Breakfast,Fat Free Unflavored Shelf-Stable Milk (Each),1
baileys lower elementary,Breakfast,Graham Crackers (Package),1
baileys lower elementary,Breakfast,IW Applesauce Cup (Each),1
baileys lower elementary,Breakfast,"Lactose Free, White Milk (Each)",1
baileys lower elementary,Breakfast,"Milk, Lactose Free,  Fat Free, Shelf-Stable (Each)",1
baileys lower elementary,Breakfast,Mini Maple Waffles (Package),1
baileys lower elementary,Breakfast,Natural Blackberry Jam (Packet),1
baileys lower elementary,Breakfast,Orange (1/4 cup),1
baileys lower elementary,Breakfast,Orange (Each - serving),1
baileys lower elementary,Breakfast,Orange Slices (6 Slices per 1/2 cup),1
baileys lower elementary,Breakfast,Strawberry Flavored Dried Cranberries (2 Eaches),1
baileys lower elementary,Breakfast,Whole Strawberries (1/2 cup thawed),1
baileys upper elementary,Breakfast,Apple Juice (Each),145
baileys upper elementary,Breakfast,Orange Tangerine Juice (Each),78
baileys upper elementary,Breakfast,Mini Maple Pancakes (Package),68
baileys upper elementary,Breakfast,1% White Milk (Each),65
baileys upper elementary,Breakfast,Bagel (Bagel),32
baileys upper elementary,Breakfast,Cream Cheese (Each),24
baileys upper elementary,Breakfast,Honey Cheerios Cereal (Each),24
baileys upper elementary,Breakfast,Red Delicious Apple (Each - serving),24
baileys upper elementary,Breakfast,"Cinnamon Toast Crunch Cereal, 25% Less Sugar (Each)",22
baileys upper elementary,Breakfast,Cinnamon Chex Cereal (Each),21
baileys upper elementary,Breakfast,Blueberry Chex Cereal (Each),18
baileys upper elementary,Breakfast,Fat Free White Milk (Each),17
