school,meal_type,food_item,recommended_quantity
braddock elementary,Breakfast,"Milk, Lactose Free,  Fat Free, Shelf-Stable (Each)",1
braddock elementary,Lunch,Fat Free Chocolate Milk (Each),124
braddock elementary,Lunch,1% White Milk (Each),30
braddock elementary,Lunch,Fat Free White Milk (Each),11
braddock elementary,Lunch,1% Unflavored Shelf-Stable Milk (Each),1
bren mar park elementary,Breakfast,1% White Milk (Each),73
bren mar park elementary,Breakfast,Fat Free White Milk (Each),19
bren mar park elementary,Breakfast,1% Unflavored Shelf-Stable Milk (Each),1
bren mar park elementary,Breakfast,Fat Free Unflavored Shelf-Stable Milk (Each),1
bren mar park elementary,Breakfast,"Lactose Free, White Milk (Each)",1
bren mar park elementary,Breakfast,"Milk, Lactose Free,  Fat Free, Shelf-Stable (Each)",1
bren mar park elementary,Lunch,Fat Free Chocolate Milk (Each),72
bren mar park elementary,Lunch,1% White Milk (Each),17
bren mar park elementary,Lunch,Fat Free White Milk (Each),6
brookfield elementary,Breakfast,1% White Milk (Each),57
brookfield elementary,Breakfast,Fat Free White Milk (Each),15
brookfield elementary,Breakfast,1% Unflavored Shelf-Stable Milk (Each),1
brookfield elementary,Lunch,Fat Free Chocolate Milk (Each),55
brookfield elementary,Lunch,1% White Milk (Each),13
brookfield elementary,Lunch,Fat Free White Milk (Each),5
bucknell elementary,Breakfast,1% White Milk (Each),125
bucknell elementary,Breakfast,Fat Free White Milk (Each),33
bucknell elementary,Breakfast,1% Unflavored Shelf-Stable Milk (Each),2
bucknell elementary,Breakfast,Fat Free Unflavored Shelf-Stable Milk (Each),1
bucknell elementary,Breakfast,"Lactose Free, White Milk (Each)",1
bucknell elementary,Breakfast,"Milk, Lactose Free,  Fat Free, Shelf-Stable (Each)",1
bucknell elementary,Lunch,Fat Free Chocolate Milk (Each),122
bucknell elementary,Lunch,1% White Milk (Each),29
bucknell elementary,Lunch,Fat Free White Milk (Each),11
bucknell elementary,Lunch,1% Unflavored Shelf-Stable Milk (Each),1
bull run elementary,Breakfast,1% White Milk (Each),50
bull run elementary,Breakfast,Fat Free White Milk (Each),13
bull run elementary,Breakfast,1% Unflavored Shelf-Stable Milk (Each),1
bull run elementary,Lunch,Fat Free Chocolate Milk (Each),48
bull run elementary,Lunch,1% White Milk (Each),12
bull run elementary,Lunch,Fat Free White Milk (Each),4
bush hill elementary,Breakfast,1% White Milk (Each),22
bush hill elementary,Breakfast,Fat Free White Milk (Each),6
bush hill elementary,Lunch,Fat Free Chocolate Milk (Each),22
bush hill elementary,Lunch,1% White Milk (Each),5
bush hill elementary,Lunch,Fat Free White Milk (Each),2
camelot elementary,Breakfast,1% White Milk (Each),54
camelot elementary,Breakfast,Fat Free White Milk (Each),14
camelot elementary,Breakfast,1% Unflavored Shelf-Stable Milk (Each),1
camelot elementary,Lunch,Fat Free Chocolate Milk (Each),53
camelot elementary,Lunch,1% White Milk (Each),13
camelot elementary,Lunch,Fat Free White Milk (Each),5
cameron elementary,Breakfast,1% White Milk (Each),85
cameron elementary,Breakfast,Fat Free White Milk (Each),22
cameron elementary,Breakfast,1% Unflavored Shelf-Stable Milk (Each),2
cameron elementary,Breakfast,Fat Free Unflavored Shelf-Stable Milk (Each),1
cameron elementary,Breakfast,"Lactose Free, White Milk (Each)",1
cameron elementary,Breakfast,"Milk, Lactose Free,  Fat Free, Shelf-Stable (Each)",1
cameron elementary,Lunch,Fat Free Chocolate Milk (Each),83
cameron elementary,Lunch,1% White Milk (Each),20
cameron elementary,Lunch,Fat Free White Milk (Each),7
cameron elementary,Lunch,1% Unflavored Shelf-Stable Milk (Each),1
canterbury woods elementary,Breakfast,1% White Milk (Each),5
canterbury woods elementary,Breakfast,Fat Free White Milk (Each),1
canterbury woods elementary,Lunch,Fat Free Chocolate Milk (Each),4
canterbury woods elementary,Lunch,1% White Milk (Each),1
cardinal forest elementary,Breakfast,1% White Milk (Each),57
cardinal forest elementary,Breakfast,Fat Free White Milk (Each),15
cardinal forest elementary,Breakfast,1% Unflavored Shelf-Stable Milk (Each),1
cardinal forest elementary,Lunch,Fat Free Chocolate Milk (Each),56
cardinal forest elementary,Lunch,1% White Milk (Each),13
cardinal forest elementary,Lunch,Fat Free White Milk (Each),5
carson middle,Breakfast,1% White Milk (Each),41
carson middle,Breakfast,Fat Free White Milk (Each),11
carson middle,Breakfast,1% Unflavored Shelf-Stable Milk (Each),1
carson middle,Lunch,Fat Free Chocolate Milk (Each),40
carson middle,Lunch,1% White Milk (Each),10
carson middle,Lunch,Fat Free White Milk (Each),4
centre ridge elementary,Breakfast,1% White Milk (Each),90
centre ridge elementary,Breakfast,Fat Free White Milk (Each),24
centre ridge elementary,Breakfast,1% Unflavored Shelf-Stable Milk (Each),2
centre ridge elementary,Breakfast,Fat Free Unflavored Shelf-Stable Milk (Each),1
centre ridge elementary,Breakfast,"Lactose Free, White Milk (Each)",1
centre ridge elementary,Breakfast,"Milk, Lactose Free,  Fat Free, Shelf-Stable (Each)",1
centre ridge elementary,Lunch,Fat Free Chocolate Milk (Each),88
centre ridge elementary,Lunch,1% White Milk (Each),21
centre ridge elementary,Lunch,Fat Free White Milk (Each),8
centre ridge elementary,Lunch,1% Unflavored Shelf-Stable Milk (Each),1
centreville elementary,Breakfast,1% White Milk (Each),53
centreville elementary,Breakfast,Fat Free White Milk (Each),14
centreville elementary,Breakfast,1% Unflavored Shelf-Stable Milk (Each),1
centreville elementary,Lunch,Fat Free Chocolate Milk (Each),51
centreville elementary,Lunch,1% White Milk (Each),12
centreville elementary,Lunch,Fat Free White Milk (Each),5
centreville high,Breakfast,1% White Milk (Each),16
centreville high,Breakfast,Fat Free White Milk (Each),4
centreville high,Lunch,Fat Free Chocolate Milk (Each),16
centreville high,Lunch,1% White Milk (Each),4
centreville high,Lunch,Fat Free White Milk (Each),1
chantilly hs,Breakfast,1% White Milk (Each),17
chantilly hs,Breakfast,Fat Free White Milk (Each),4
chantilly hs,Lunch,Fat Free Chocolate Milk (Each),16
chantilly hs,Lunch,1% White Milk (Each),4
chantilly hs,Lunch,Fat Free White Milk (Each),1
cherry run elementary,Breakfast,1% White Milk (Each),11
cherry run elementary,Breakfast,Fat Free White Milk (Each),3
