name,left_over_total,offered_reimbursable,leftover_rate
Blueberry Muffin Top (Muffin Top),825.0,8938,9.230252852987245
Apple Cinnamon Bread (2oz Grain (1/32 Baked Pan)),314.0,3428,9.159859976662778
Egg and American Cheese on Bagel (Sandwich),1428.0,15725,9.08108108108108
Orange (1/4 cup),101.0,1193,8.466051969823972
"Sandwich, Breakfast. Bagel, Turkey Sausage (Sandwich)",748.0,8836,8.465368945224084
"Batter, Pumpkin Bread (2oz Grain (1/32Baked Pan))",102.0,1211,8.422791081750619
Turkey & Cheese on Biscuit (Sandwich),22.0,276,7.971014492753622
Cherry Vanilla Yogurt Power Pack (Power Packs),2.0,28,7.142857142857142
Pineapple Parfait (Parfait),7.0,100,7.000000000000001
"Waffle, Belgian, Sweet Cinnamon, WG, Bulk (Waffle)",2.0,30,6.666666666666667
Strawberry Banana Yogurt (each),6.0,95,6.315789473684211
"Waffle (Grain), Belgian, Buttery Maple, Bulk (Waffle)",16.0,258,6.2015503875969
Chicken Tenders (3 tenders),67.0,1129,5.9344552701505755
Chicken Tenders Sub (Sandwich),17.0,378,4.497354497354497
Chilled Mandarin Oranges (1/2 cup (drained)),180.0,4317,4.169562195969423
Applesauce (1/2 Cup),241.0,6875,3.505454545454546
Maple Belgian Waffle (Waffle),15.0,472,3.1779661016949152
IW Applesauce Cup (Each),58.0,2044,2.8375733855185907
Hot Turkey & Cheese (sandwich),4.0,156,2.564102564102564
Chilled Peaches (1/2 cup),8.0,316,2.5316455696202533
Orange Slices (3 slices per 1/4 cup),208.0,9464,2.197802197802198
Chilled Pineapple (1/2 cup),63.0,3568,1.765695067264574
"Frozen Berry, Triple Berry Blend (1/2 cup (thawed))",37.0,2265,1.6335540838852098
Whole Wheat Dinner Roll (2 rolls),4.0,282,1.4184397163120568
Chilled Peaches (1/2 cup (drained)),161.0,11383,1.414389879645085
Orange Slices (6 Slices per 1/2 cup),11.0,1083,1.0156971375807942
"Applesauce, IW, Cinnamon. Unsweetened, Shelf-Stable (SUB) (Each)",1.0,226,0.4424778761061947
"Milk, Soy, Plain, Bulk (12/32 oz) (1 cup)",1.0,305,0.32786885245901637
Whole Strawberries (1/2 cup thawed),2.0,1537,0.13012361743656475
"-Peas and Diced Carrots, Frozen (1/2 cup)",0.0,2,0.0
Strawberry Chex Mix (Package),0.0,16,0.0
"Plums, Red, Whole (Each)",0.0,26,0.0
Oat Milk (Each),0.0,5,0.0
Mandarin Orange Pepper Fruit Salsa (1 TBSP),0.0,32,0.0
Manager's Vegetable Choice (1/2 cup),0.0,49,0.0
"Egg, Hard Boiled, Bulk pouch (Each)",0.0,15,0.0
Chilled Pineapple (1/4 cup),0.0,17,0.0
Cheeseburger (Sandwich),0.0,16,0.0
"Cheese, American, Sliced (Slice)",0.0,15,0.0
"Bread, Hamburger Bun (Bun)",0.0,121,0.0
Applesauce (1/4 cup),0.0,17,0.0
"Apple Slices (6 Slices, 1/2 cup)",0.0,96,0.0
Apple Slices (6 Slices per 1/2 cup),0.0,126,0.0
Whole Wheat Dinner Roll (Each),0.0,200,0.0
