name,served_reimbursable,discarded_total,net_consumption
Orange Chickenless Bites (4 bites),16545,499.21,16045.79
Chicken & Vegetable Dumplings (6 dumplings),17648,1659.55,15988.45
Black Beans (1/2 Cup),19083,3158.28,15924.72
Alfredo & Basil Lasagna (Each),18920,3701.81,15218.19
Doritos Flamas (Each),14945,88.32,14856.68
RF Kettle Chips Sea Salt & Vinegar Chips (Each),14797,81.65,14715.35
RF Kettle Chips Jalapeno & Cheddar Chips (Each),15014,312.79,14701.21
"Sauce, Spicy Mayo (tbsp)",14345,864.86,13480.14
Steamed Baby Carrots (1/2 cup),13371,138.55,13232.45
Sour Cream (2 Tablespoons),14093,1015.6,13077.4
Fish Tacos (2 Tacos),13925,1047.3600000000001,12877.64
SS Baked Cheetos Flaming Hot (Each),12642,99.0,12543.0
Orange (6 Slices per 1/2 cup),12546,34.9,12511.1
Potato Wedges (4 pieces),12453,16.75,12436.25
"Sauce, BBQ, HFCS-Free, Bulk, Low-Sodium (2 TBSP)",11656,124.31,11531.69
Orange (Each - serving),10869,3.83,10865.17
"WG 10"" Flour Tortilla (Tortilla)",11084,382.18,10701.82
"Peppers, green, pre-sliced (1/2 cup sliced)",11243,921.03,10321.97
Doritos RF Spicy Sweet Chili (Each),9985,47.15,9937.85
"Quesadilla, Turkey Barbacoa and Cheese (Quesadilla)",10353,743.86,9609.14
Manager's Vegetable Choice (1/2 cup),9748,213.69,9534.31
Kettle Cooked Smoky BBQ Chips (Each),9052,48.5,9003.5
Kellogg’s W/G Rice Krispies Treats (Each),8623,2.62,8620.38
Mandarin Orange Pepper Fruit Salsa (1 TBSP),9677,1136.18,8540.82
Strawberry Chex Mix (Package),8609,134.46,8474.54
Vegetable Dumpling (6 dumplings),10906,2851.58,8054.42
"Patty, Chicken, Breaded, WG (2 strips)",8057,72.34,7984.66
Doritos RF Nacho Cheese (Each),7922,37.4,7884.6
Sub Roll (Sub Roll),8421,598.82,7822.18
Original Flavored Dried Cranberries (Package),7668,0.5,7667.5
BBQ Chicken Drumstick (Drumstick),7565,207.79,7357.21
Roasted Plantains (3 Slices),7349,83.14,7265.86
SS Baked Cheetos Flaming Limon (Each),7342,121.50000000000001,7220.5
Turkey Barbacoa Arepa (1 Arepa + #10 scoop of turkey barbacoa),8007,1129.12,6877.88
"Patty, Chicken, Spicy, Breaded (2 strips)",6916,72.31,6843.69
WG Chocolate Chip Rice Krispy Treats (Each),6833,3.09,6829.91
SS Cheetos Fantastix Flaming Hot (Each),6830,36.35,6793.65
Lay's RF Kettle Original Chips (Each),6550,27.54,6522.46
Broccoli Florets (6 Pieces per 1/2 cup),6992,475.99,6516.01
"Onions, Red, Whole (2 Tablespoons (sliced))",7306,806.27,6499.73
Turkey Pepperoni Pizza (1.37 oz),6591,239.69,6351.31
Cool Ranch Reduced Fat Doritos (Each),6189,20.4,6168.6
Grape Tomatoes (6 Tomatoes per 1/2 cup),6078,17.72,6060.28
Chickpeas (1/2 cup),6982,969.27,6012.73
Corn (2 Tablespoons (thawed)),6934,928.0,6006.0
1% Unflavored Shelf-Stable Milk (Each),5830,21.43,5808.57
Nachos with Taco Meat and Cheese Sauce (Serving Size),5825,68.16,5756.84
Cherry Flavored Dried Cranberries (2 Eaches),5560,4.95,5555.05
Cucumbers (1/2 cup sliced),5549,253.9,5295.1
WG Baked Funyuns (Each),5119,80.02000000000001,5038.98
Assorted  4 oz Yogurt (Container),5121,126.59,4994.41
Orange Flavored Dried Cranberries (2 Eaches),4981,7.55,4973.45
Hot Turkey & Cheese (sandwich),5394,491.57,4902.43
Strawberry Parfait Power Pack (Power Pack),5258,548.2,4709.8
String Cheese (Each),4587,36.67,4550.33
"Apple, Slices, IW - ER Supper Only (Each)",4619,104.17,4514.83
Natural Breakfast Syrup (Each),4288,0.0,4288.0
Fresh Whole Pear (Each),4184,15.67,4168.33
Cucumber Slices (2 Tablespoon),4813,685.23,4127.77
"Sandwich, Turkey & Cheese (sandwich)",4260,173.09,4086.91
Watermelon Flavored Dried Cranberries (2 Eaches),4028,12.629999999999999,4015.37
Strawberry Flavored Dried Cranberries (2 Eaches),3867,0.0,3867.0
"Peppers, Red, Whole (2 Tablespoons)",4026,228.85,3797.15
"Peppers, Green, Whole (2 Tablespoon)",4544,796.82,3747.18
"Carrots, Shredded (Cup)",3794,82.72999999999999,3711.27
Fish  Sandwich (Sandwich),3994,356.56,3637.44
Chicken and Cheese Quesadilla (Quesadilla),3445,75.88,3369.12
Cherry Tomatoes (6 Tomatoes per 1/2 cup),3290,44.69,3245.31
"Dough, Cookie, Double Chocolate, WG (1/2 Cookie)",3051,5.5600000000000005,3045.44
"Chicken, Bites (4 Bites)",3079,56.93,3022.07
Sweet Thai Chili Sauce (ounce),3499,493.05,3005.95
"Tomato, Large, whole, Plum (1/4 cup sliced)",2979,14.11,2964.89
Hamburger (Sandwich),3031,144.89000000000001,2886.11
Black Beans - salad bar entree (1/2 cup),9452,6608.54,2843.46
Sweet Thai Chili Chicken Wings (3 Wings),2944,243.25,2700.75
Apple Cinnamon Spread (Each),2650,8.05,2641.95
"Milk, Lactose Free,  Fat Free, Shelf-Stable (Each)",2890,322.19,2567.81
Apple Cinnamon Bread (1oz Grain (1/64 Baked Pan)),2518,45.74,2472.26
Apple Cinnamon Bread (Grain for entree) (1 square),2389,0.29,2388.71
BBQ Chicken Sandwich (Sandwich),3075,734.05,2340.95
"Peppers, red, pre-sliced (1/4 cup sliced)",2488,174.07999999999998,2313.92
Applesauce (1/4 cup),2204,15.29,2188.71
"Frozen, Blueberries (1/2 cup)",2240,66.03999999999999,2173.96
"Patty, Chicken, Spicy, Breaded (Patty)",2177,3.45,2173.55
Chicken Quesadilla (quesadilla),2448,288.26,2159.74
Arepa w/Taco Beef (1 Aprea + #8 scoop of beef),2415,270.95,2144.05
Red Seedless Grapes (2 Tablespoons),2128,32.1,2095.9
Chilled Peaches (1/2 cup),2072,15.28,2056.72
"Carrots, IW,   Super Snack (2 each)",1866,0.0,1866.0
"Turkey,  Breast, Pre-Sliced, Oven Roasted (3 Slices)",3161,1304.77,1856.23
Breaded  Chicken Patty on a Bun (Sandwich),1857,9.55,1847.45
"Lactose Free, White Milk (Each)",1879,111.08,1767.92
Raspberry Lemonade Flavored Dried Cranberries (2 Eaches),1734,0.0,1734.0
"Peppers, green, pre-sliced (1/4 cup sliced)",1909,198.9,1710.1
Fat Free Unflavored Shelf-Stable Milk (Each),1779,73.51,1705.49
Chickpeas (2 Tablespoons),2199,518.47,1680.53
Chicken Tikka Masala (1/2 cup),2045,368.74,1676.26
Corn (1/2 cup (thawed)),1659,0.91,1658.09
"Green Beans, Frozen (1/2 cup)",1841,184.54,1656.46
Cheddar Chex Mix (Package),1650,19.720000000000002,1630.28
Carrot and Celery Sticks (1/2 cup),1654,24.310000000000002,1629.69
Chicken Tenders Sub (Sandwich),1600,20.37,1579.63
Chickpeas - salad bar entree (1/2 cup),13120,11573.55,1546.4500000000007
Celery Sticks (1/4 cup),1660,126.32000000000001,1533.68
"Apple Slices (6 Slices, 1/2 cup)",1516,0.64,1515.36
Orange Slices (Each),1478,0.0,1478.0
Flour Tortilla (Tortilla),1476,0.36,1475.64
IW Heartzels Pretzels (Package),1440,0.0,1440.0
Tomato Soup (8 oz Ladle),1419,65.0,1354.0
"Chicken, Wings, Pre-Cooked (3 Wings)",1507,153.79,1353.21
Broccoli Alfredo Pasta (1 cup),1509,167.33,1341.67
Potstickers (6 Potstickers),2146,819.87,1326.13
Assorted Craisins (Packet),1324,0.0,1324.0
"Salsa, Mild Canned (2 Tablespoons)",1322,30.340000000000003,1291.66
Pineapple Pepper Fruit Salsa (1 TBSP),1297,13.0,1284.0
Whole Strawberries (1/4 cup thawed),1272,10.620000000000001,1261.38
Chana Masala (1/2 cup),5612,4355.3,1256.6999999999998
Cucumber Slices (1/2 cup),1254,0.0,1254.0
"Onions, Red, Whole (1/4 cup (sliced))",1405,161.07999999999998,1243.92
Potato Encrusted Breaded Pollock (Fillet),1353,112.05,1240.95
"Lettuce, Green Salad Mix (1 cup)",1224,14.59,1209.41
Vegan Burger (Sandwich),4813,3629.75,1183.25
"Penne Pasta with Marinara and Beef Meatballs (1/2 cup cooked pasta, 1/2c sauce, 5 meatballs)",1170,4.63,1165.37
Vanilla Sugar Cookie (1/2 Cookie),1139,1.43,1137.57
Maple Belgian Waffle (Waffle),1134,0.1,1133.9
Roasted Sunflower Seeds (Package),1126,1.21,1124.79
Blueberry Bread (1oz Grain (1/64 Baked Pan)),1133,8.31,1124.69
"Chicken, Bites, Breaded (4 Bites)",1095,17.55,1077.45
"Frozen Berry, Triple Berry Blend (1/4 cup (thawed))",1044,20.1,1023.9
"Taco, Turkey Barbacoa, Loco Bread (2 Tacos)",1112,94.43,1017.5699999999999
Yellow Peach (Each),1017,0.0,1017.0
Pumpkin Bread (1 square),980,3.1999999999999997,976.8
"Peppers, Red, Whole (1/4 cup)",1062,92.54,969.46
Black Beans (1/2 cup),1084,135.23,948.77
"Peanut Butter and Jelly Sandwich, IW (Each)",947,0.0,947.0
Chicken Alfredo Pasta (heaping 1 cup ( #4 scoop)),944,25.9,918.1
"Applesauce, IW, Cinnamon. Unsweetened, Shelf-Stable (SUB) (Each)",900,0.0,900.0
Black Beans (2 Tablespoons),1213,357.53,855.47
Sweet N' Salty Popcorn (Bag),806,2.59,803.41
"Calzone, Cheese (Each)",794,15.04,778.96
Tomato & Basil Lasagna (Each),1019,244.58999999999997,774.4100000000001
Chicken Alfredo Pasta (1 cup),787,38.7,748.3
Corn (1/4 cup (cooked)),762,16.19,745.81
Nachos with Cheese Sauce (serving size),732,3.75,728.25
"Bread, English Muffin, WG (Each)",726,0.0,726.0
"Beef, Taco Meat, Pre-Cooked (1/2 cup (#8 scoop))",715,26.5,688.5
"Sandwich, Turkey & Cheese on Sub Roll (sandwich)",670,33.71,636.29
Ranch Dressing Packet (Packet),632,0.0,632.0
Korean Chicken Drumstick (Drumstick),652,51.97,600.03
"Peppers, Green, Whole (1/2 cup)",656,56.19,599.81
"Batter, Pumpkin Bread (1oz Grain (1/64 Baked Pan))",602,3.85,598.15
Creamy Cabbage Slaw (1/4 cup),940,349.65,590.35
Chicken Philly Sandwich (each),874,301.49,572.51
BBQ Chickenless Bites (4 bites),556,8.45,547.55
"Pizza, Turkey Pepperoni, Slice (Slice)",711,164.15,546.85
"Waffle (Grain), Belgian, Buttery Maple, Bulk (Waffle)",547,0.85,546.15
"Pasta, Lasagna Roll-Up, Cheese (Each)",600,62.54,537.46
Sweet Thai Chili Chicken Bites (4 Bites w/ 1oz sauce),538,12.59,525.41
Mini Maple Pancakes (Package),522,0.0,522.0
Korean BBQ Chickenless Bites (4 bites),535,18.07,516.93
"Parfait, Triple Berry (Parfait)",591,101.42,489.58
Mac & Cheese (2/3 cup),512,27.57,484.43
Wheat Thins (Package),524,42.99,481.01
"Chicken, Bites, Korean (4 Bites w/ 1oz sauce)",480,0.0,480.0
"Quesadilla, Chicken & Cheese (Shred Chicken) 6 in Tortilla (Quesadilla)",529,55.58,473.42
Tortilla Chips (13 chips),472,1.67,470.33
Whole Wheat Sliced Bread (Slice),468,2.27,465.73
"Pasta, Baked Penne (1 cup)",482,26.48,455.52
Chicken Eggroll (2 Egg Rolls),577,128.17,448.83000000000004
Chilled Pineapple (1/4 cup),451,4.17,446.83
"Cheese, Shredded, Mozzarella (1/4 cup)",513,67.38,445.62
"CLPP, Grape Tomatoes (1/2 cup)",445,0.0,445.0
Assorted Whole Fruit (Piece of Fruit),444,0.0,444.0
Strawberry Parfait (Parfait),585,148.99,436.01
"Bread, Hamburger Bun (Bun)",462,50.0,412.0
Nachos w/Shredded Chicken and Cheese Sauce (Serving Size),469,58.52,410.48
"Cheese Sauce, Frozen, Nacho (1/2 cup)",468,68.59,399.40999999999997
Turkey & Cheese on Sub Roll (sandwich),513,115.74000000000001,397.26
Soft Beef Taco on Flour Tortilla (Taco),410,35.480000000000004,374.52
Granola (1/4 cup),363,0.0,363.0
Mandarin Orange Parfait (Parfait),425,62.42,362.58
String Cheese (1 Stick),344,0.0,344.0
"Milk, Soy, Vanilla (24/8 oz) (each)",340,0.0,340.0
Triple Berry Parfait Power Pack (Power Pack),346,10.64,335.36
Beef Meatballs (Serving),351,17.79,333.21
Bagel (Bagel),329,0.0,329.0
"Patty, Chicken, Breaded, WG (Serving)",322,1.16,320.84
