school,proportional_annual_budget,annual_food_cost,remaining_annual_balance
laurel hill elementary,"$221,205.03","$223,752.00","$-2,546.97"
laurel ridge elementary,"$221,397.88","$230,737.00","$-9,339.12"
lees corner elementary,"$117,861.06","$127,200.00","$-9,338.94"
lemon road elementary,"$173,928.67","$185,011.00","$-11,082.33"
lewis high,"$736,508.61","$780,312.00","$-43,803.39"
liberty middle,"$354,007.53","$402,470.00","$-48,462.47"
little run elementary,"$89,723.58","$91,835.00","$-2,111.42"
london towne elementary,"$362,629.40","$352,597.00","$10,032.40"
longfellow middle,"$375,011.83","$427,862.00","$-52,850.17"
lorton station elementary,"$269,507.77","$241,135.00","$28,372.77"
louise archer elementary,"$181,269.06","$191,379.00","$-10,109.94"
luther jackson middle,"$330,390.80","$359,144.00","$-28,753.20"
lynbrook elementary,"$368,894.89","$347,058.00","$21,836.89"
madison high,"$234,825.83","$270,139.00","$-35,313.17"
mantua elementary,"$194,942.59","$209,028.00","$-14,085.41"
marshall hs,"$558,093.07","$618,390.00","$-60,296.93"
marshall road elementary,"$173,167.04","$172,564.00",$603.04
mason crest elementary,"$354,966.12","$349,420.00","$5,546.12"
mclean high,"$426,196.84","$457,756.00","$-31,559.16"
mcnair elementary,"$218,780.58","$206,656.00","$12,124.58"
mcnair upper elementary,"$151,266.37","$156,056.00","$-4,789.63"
mosaic elementary,"$253,834.52","$268,057.00","$-14,222.48"
mount eagle elementary,"$264,080.85","$241,445.00","$22,635.85"
mt vernon hs,"$711,643.22","$699,913.00","$11,730.22"
mt. vernon woods elementary,"$289,875.95","$273,847.00","$16,028.95"
navy elementary,"$175,745.74","$191,869.00","$-16,123.26"
newington forest elementary,"$166,933.51","$169,280.00","$-2,346.49"
north springfield elementary,"$190,985.52","$195,160.00","$-4,174.48"
oak hill elementary,"$160,100.95","$172,131.00","$-12,030.05"
oak view elementary,"$165,320.65","$173,253.00","$-7,932.35"
oakton elementary,"$180,208.79","$197,001.00","$-16,792.21"
oakton high,"$534,004.08","$581,425.00","$-47,420.92"
olde creek elementary,"$108,038.46","$112,152.00","$-4,113.54"
orange hunt elementary,"$210,837.93","$221,127.00","$-10,289.07"
parklawn elementary,"$616,169.48","$576,178.00","$39,991.48"
pine spring elementary,"$357,486.71","$340,888.00","$16,598.71"
poe middle,"$524,228.52","$449,738.00","$74,490.52"
poplar tree elementary,"$134,204.72","$148,175.00","$-13,970.28"
providence elementary,"$252,990.97","$256,135.00","$-3,144.03"
ravensworth elementary,"$143,795.86","$151,370.00","$-7,574.14"
riverside elementary,"$327,103.27","$306,314.00","$20,789.27"
robinson secondary,"$792,099.71","$904,708.00","$-112,608.29"
rocky run middle,"$219,272.61","$250,710.00","$-31,437.39"
rolling valley elementary,"$117,875.45","$119,372.00","$-1,496.55"
rose hill elementary,"$289,230.19","$280,944.00","$8,286.19"
sandburg middle,"$289,097.38","$318,435.00","$-29,337.62"
sangster elementary,"$250,451.22","$277,630.00","$-27,178.78"
saratoga elementary,"$192,600.03","$187,145.00","$5,455.03"
shrevewood elementary,"$186,344.09","$185,060.00","$1,284.09"
silverbrook elementary,"$193,260.60","$216,506.00","$-23,245.40"
sleepy hollow elementary,"$303,062.69","$290,607.00","$12,455.69"
south county hs,"$604,651.53","$679,931.00","$-75,279.47"
south county middle,"$272,742.43","$309,712.00","$-36,969.57"
south lakes high,"$518,094.29","$570,037.00","$-51,942.71"
spring hill elementary,"$313,208.54","$339,345.00","$-26,136.46"
springfield estates elementary,"$156,384.83","$155,238.00","$1,146.83"
stenwood elementary,"$162,592.77","$177,705.00","$-15,112.23"
stone middle,"$195,578.81","$211,879.00","$-16,300.19"
stratford landing elementary,"$173,065.82","$171,518.00","$1,547.82"
sunrise valley elementary,"$163,547.02","$174,004.00","$-10,456.98"
terra centre elementary,"$165,576.14","$178,438.00","$-12,861.86"
terraset elementary,"$190,204.68","$189,056.00","$1,148.68"
thoreau middle,"$270,872.45","$314,228.00","$-43,355.55"
