school,proportional_annual_budget,annual_food_cost,remaining_annual_balance
laurel hill elementary,"$147,470.02","$149,274.00","$-1,803.98"
laurel ridge elementary,"$147,598.59","$153,978.00","$-6,379.41"
lees corner elementary,"$78,574.04","$84,985.00","$-6,410.96"
lemon road elementary,"$115,952.44","$123,508.00","$-7,555.56"
lewis high,"$491,005.74","$520,272.00","$-29,266.26"
liberty middle,"$236,005.02","$268,253.00","$-32,247.98"
little run elementary,"$59,815.72","$61,122.00","$-1,306.28"
london towne elementary,"$241,752.93","$235,002.00","$6,750.93"
longfellow middle,"$250,007.88","$285,102.00","$-35,094.12"
lorton station elementary,"$179,671.85","$160,770.00","$18,901.85"
louise archer elementary,"$120,846.04","$127,693.00","$-6,846.96"
luther jackson middle,"$220,260.53","$239,613.00","$-19,352.47"
lynbrook elementary,"$245,929.93","$231,447.00","$14,482.93"
madison high,"$156,550.55","$180,216.00","$-23,665.45"
mantua elementary,"$129,961.73","$139,476.00","$-9,514.27"
marshall hs,"$372,062.05","$412,469.00","$-40,406.95"
marshall road elementary,"$115,444.69","$115,138.00",$306.69
mason crest elementary,"$236,644.08","$232,855.00","$3,789.08"
mclean high,"$284,131.23","$304,909.00","$-20,777.77"
mcnair elementary,"$145,853.72","$137,687.00","$8,166.72"
mcnair upper elementary,"$100,844.24","$103,977.00","$-3,132.76"
mosaic elementary,"$169,223.01","$178,799.00","$-9,575.99"
mount eagle elementary,"$176,053.90","$161,156.00","$14,897.90"
mt vernon hs,"$474,428.82","$466,728.00","$7,700.82"
mt. vernon woods elementary,"$193,250.63","$182,358.00","$10,892.63"
navy elementary,"$117,163.83","$127,942.00","$-10,778.17"
newington forest elementary,"$111,289.01","$112,743.00","$-1,453.99"
north springfield elementary,"$127,323.68","$129,983.00","$-2,659.32"
oak hill elementary,"$106,733.97","$114,593.00","$-7,859.03"
oak view elementary,"$110,213.76","$115,282.00","$-5,068.24"
oakton elementary,"$120,139.20","$131,300.00","$-11,160.80"
oakton high,"$356,002.72","$387,875.00","$-31,872.28"
olde creek elementary,"$72,025.64","$74,788.00","$-2,762.36"
orange hunt elementary,"$140,558.62","$147,726.00","$-7,167.38"
parklawn elementary,"$410,779.66","$384,138.00","$26,641.66"
pine spring elementary,"$238,324.47","$227,225.00","$11,099.47"
poe middle,"$349,485.68","$299,637.00","$49,848.68"
poplar tree elementary,"$89,469.81","$98,917.00","$-9,447.19"
providence elementary,"$168,660.64","$170,499.00","$-1,838.36"
ravensworth elementary,"$95,863.91","$100,961.00","$-5,097.09"
riverside elementary,"$218,068.85","$204,033.00","$14,035.85"
robinson secondary,"$528,066.48","$603,195.00","$-75,128.52"
rocky run middle,"$146,181.74","$167,216.00","$-21,034.26"
rolling valley elementary,"$78,583.63","$79,711.00","$-1,127.37"
rose hill elementary,"$192,820.13","$187,481.00","$5,339.13"
sandburg middle,"$192,731.59","$212,670.00","$-19,938.41"
