school,proportional_annual_budget,annual_food_cost,remaining_annual_balance
laurel ridge elementary,"$184,498.24","$156,830.73","$27,667.51"
lees corner elementary,"$98,217.55","$83,488.74","$14,728.82"
lemon road elementary,"$144,940.55","$123,202.48","$21,738.07"
lewis high,"$613,757.17","$521,698.01","$92,059.16"
liberty middle,"$295,006.27","$250,757.34","$44,248.93"
little run elementary,"$74,769.65","$63,558.02","$11,211.63"
london towne elementary,"$302,191.17","$256,867.71","$45,323.45"
longfellow middle,"$312,509.86","$265,635.79","$46,874.07"
lorton station elementary,"$224,589.81","$190,901.54","$33,688.27"
louise archer elementary,"$151,057.55","$128,406.55","$22,651.00"
luther jackson middle,"$275,325.67","$234,031.64","$41,294.03"
lynbrook elementary,"$307,412.41","$261,304.17","$46,108.25"
madison high,"$195,688.19","$166,336.57","$29,351.62"
mantua elementary,"$162,452.16","$138,089.35","$24,362.80"
marshall hs,"$465,077.56","$395,320.14","$69,757.42"
marshall road elementary,"$144,305.87","$122,662.60","$21,643.27"
mason crest elementary,"$295,805.10","$251,435.94","$44,369.16"
mclean high,"$355,164.03","$301,891.24","$53,272.80"
mcnair elementary,"$182,317.15","$154,970.78","$27,346.37"
mcnair upper elementary,"$126,055.31","$107,151.63","$18,903.68"
mosaic elementary,"$211,528.77","$179,806.28","$31,722.49"
mount eagle elementary,"$220,067.37","$187,059.68","$33,007.70"
mt vernon hs,"$593,036.02","$504,086.44","$88,949.58"
mt. vernon woods elementary,"$241,563.29","$205,333.01","$36,230.28"
navy elementary,"$146,454.79","$124,488.78","$21,966.01"
newington forest elementary,"$139,111.26","$118,251.39","$20,859.87"
north springfield elementary,"$159,154.60","$135,284.82","$23,869.78"
oak hill elementary,"$133,417.46","$113,410.06","$20,007.40"
oak view elementary,"$137,767.20","$117,104.33","$20,662.87"
oakton elementary,"$150,173.99","$127,651.71","$22,522.28"
oakton high,"$445,003.40","$378,257.10","$66,746.29"
olde creek elementary,"$90,032.05","$76,530.26","$13,501.80"
orange hunt elementary,"$175,698.28","$149,349.36","$26,348.92"
parklawn elementary,"$513,474.57","$436,454.39","$77,020.18"
pine spring elementary,"$297,905.59","$253,223.97","$44,681.62"
poe middle,"$436,857.10","$371,331.55","$65,525.55"
poplar tree elementary,"$111,837.26","$95,065.09","$16,772.18"
providence elementary,"$210,825.80","$179,207.36","$31,618.45"
ravensworth elementary,"$119,829.88","$101,859.01","$17,970.87"
riverside elementary,"$272,586.06","$231,703.37","$40,882.69"
robinson secondary,"$660,083.09","$561,074.85","$99,008.25"
rocky run middle,"$182,727.18","$155,321.11","$27,406.06"
rolling valley elementary,"$98,229.54","$83,501.33","$14,728.21"
rose hill elementary,"$241,025.16","$204,873.39","$36,151.77"
sandburg middle,"$240,914.48","$204,780.87","$36,133.61"
sangster elementary,"$208,709.35","$177,406.76","$31,302.59"
saratoga elementary,"$160,500.02","$136,431.85","$24,068.18"
shrevewood elementary,"$155,286.74","$131,999.56","$23,287.19"
silverbrook elementary,"$161,050.50","$136,895.94","$24,154.56"
sleepy hollow elementary,"$252,552.24","$214,674.22","$37,878.02"
south county hs,"$503,876.28","$428,299.05","$75,577.22"
south county middle,"$227,285.36","$193,196.17","$34,089.19"
south lakes high,"$431,745.24","$366,988.67","$64,756.56"
spring hill elementary,"$261,007.12","$221,860.67","$39,146.45"
springfield estates elementary,"$130,320.69","$110,778.41","$19,542.28"
stenwood elementary,"$135,493.97","$115,172.89","$20,321.08"
stone middle,"$162,982.34","$138,540.62","$24,441.73"
stratford landing elementary,"$144,221.51","$122,590.90","$21,630.62"
sunrise valley elementary,"$136,289.19","$115,851.83","$20,437.35"
terra centre elementary,"$137,980.12","$117,289.93","$20,690.19"
terraset elementary,"$158,503.90","$134,732.33","$23,771.57"
thoreau middle,"$225,727.04","$191,872.00","$33,855.04"
timber lane elementary,"$218,248.05","$185,512.05","$32,736.00"
twain middle,"$211,802.06","$180,034.16","$31,767.90"
union mill elementary,"$133,369.29","$113,367.91","$20,001.38"
vienna elementary,"$59,418.90","$50,509.88","$8,909.02"
virginia run elementary,"$192,992.83","$164,046.32","$28,946.52"
wakefield forest elementary,"$112,050.13","$95,246.43","$16,803.70"
waples mill elementary,"$124,613.52","$105,928.72","$18,684.80"
washington mill elementary,"$244,374.70","$207,724.11","$36,650.58"
waynewood elementary,"$98,072.93","$83,366.40","$14,706.52"
west potomac high,"$595,765.53","$506,405.79","$89,359.73"
