Food_Name,Calories,Total Fat (g),Saturated Fat (g),Cholesterol (mg),Sodium (mg),Carbohydrate (g),Dietary Fiber (g),Total Sugars (g),Added Sugars (g),Protein (g),Vitamin A (IU),Vitamin C (mg),Vitamin D (D2 + D3) (mcg),Calcium (mg),Iron (mg),Potassium (mg),Category,Sub-Category,Served
"Milk, Soy, Plain, Bulk (12/32 oz) (1 cup)",140,6,1,0,130,13,1,9,5,10,150,0,3,340,3,510,Sides,Milk,Breakfast
Whole Strawberries (1/2 cup thawed),30,0,0,0,0,7,1,4,0,0,0,31,0,10,0,110,Sides,Fruit,Breakfast
Chilled Mandarin Oranges (1/2 cup (drained)),74,0,0,0,10,19,1,18,0,1,1696,68,0,22,1,265,Sides,Fruit,Lunch
IW Applesauce Cup (Each),50,0,0,0,0,14,1,12,0,0,0,0,0,5,0,95,PreK,Fruit,Breakfast
"Frozen Berry, Triple Berry Blend (1/2 cup (thawed))",40,0,0,0,0,10,2,7,0,1,0,13,0,10,0,90,Sides,Fruit,Breakfast
1% Unflavored Shelf-Stable Milk (Each),110,3,2,10,105,12,0,12,0,8,150,0,3,300,0,320,Sides,Milk,Breakfast
Orange (Each - serving),84,0,0,0,3,21,6,0,0,2,333,95,0,93,1,261,Sides,Fruit,Lunch
Graham Crackers (Package),90,3,0,0,90,17,1,5,5,1,0,0,0,10,1,40,Sides,Grain,Lunch
Cherry Flavored Dried Cranberries (2 Eaches),220,0,0,0,0,54,4,48,42,4,0,0,0,0,0,0,Sides,Fruit,Lunch
"Apple Slices (3 slices, 1/4 cup)",17,0,0,0,0,4,1,3,0,0,0,27,0,15,0,0,Sides,Fruit,Lunch
Assorted Craisins (Packet),110,0,0,0,0,27,2,24,14,0,0,0,0,0,0,0,Sides,Fruit,Breakfast
Strawberry Flavored Dried Cranberries (2 Eaches),220,0,0,0,0,54,4,48,42,0,0,0,0,0,0,0,Sides,Fruit,Lunch
Peach Parfait (Parfait),258,2,0,3,60,56,3,35,16,5,0,0,3,304,1,441,Daily Yogurt Entree,Main,Breakfast
"Bread, English Muffin, WG (Each)",120,2,0,0,270,21,1,1,0,6,0,0,0,90,1,90,Main Hot Entree #1,Main,Breakfast
"Milk, Lactose Free,  Fat Free, Shelf-Stable (Each)",90,0,0,5,130,12,0,12,0,8,150,0,3,300,0,400,Sides,Milk,Lunch
Chicken Tenders (3 tenders),226,10,1,60,389,18,4,0,0,17,55,0,0,10,1,0,Main Hot Entree #1,Main,Lunch
"Apple, Slices, IW - ER Supper Only (Each)",30,0,0,0,0,7,1,6,0,0,0,1,0,0,0,0,Sides,Fruit,Lunch
Turkey & Cheese on Biscuit (Sandwich),272,11,6,21,655,30,2,4,2,14,0,0,0,200,2,494,Main Hot Entree #1,Main,Breakfast
Blueberry Bread (2oz Grain (1/32 Baked Pan)),540,18,0,0,380,86,4,0,0,12,0,0,0,0,0,0,Main Hot Entree #1,Grain,Lunch
"Batter, Pumpkin Bread (2oz Grain (1/32Baked Pan))",388,14,2,34,210,62,4,32,30,6,0,0,0,104,2,178,Plant-Forward Hot Entree,Grain,Breakfast
Apple Cinnamon Bread (2oz Grain (1/32 Baked Pan)),412,16,2,38,220,66,4,36,34,3,0,0,0,148,2,142,Main Hot Entree #1,Main,Breakfast
"Bar, Lemon Blueberry (Each)",180,12,3,0,125,10,7,2,0,12,0,0,0,78,3,188,A La Carte,Main,Lunch
Assorted  4 oz Yogurt (Container),138,7,5,30,104,11,0,11,0,8,0,0,0,0,0,350,Daily Yogurt Entree,Protein,Lunch
Granola (1/4 cup),104,2,0,0,0,20,2,5,5,2,0,0,0,0,1,70,Daily Yogurt Entree,Grain,Lunch
Red Seedless Grapes (16 grapes per 1/2 cup),59,0,0,0,2,16,1,13,0,1,57,3,0,9,0,165,Sides,Fruit,Lunch
"Cereal, Cinnamon Toast Crunch 1 oz (Sub) (Each)",210,5,1,0,320,44,7,11,11,3,500,6,2,100,5,94,Daily Cereal,Main,Breakfast
Fat Free Unflavored Shelf-Stable Milk (Each),90,0,0,5,130,13,0,12,0,8,150,0,3,300,0,410,Sides,Milk,Breakfast
"Applesauce, IW, Cinnamon. Unsweetened, Shelf-Stable (SUB) (Each)",50,0,0,0,0,14,1,12,0,0,0,0,0,5,0,95,Sides,Fruit,Breakfast
Orange (1/4 cup),41,0,0,0,1,10,3,0,0,1,163,46,0,46,1,127,Sides,Fruit,Lunch
Hot Turkey & Cheese (sandwich),270,8,3,30,960,34,4,4,0,22,0,0,1,220,2,315,Main Hot Entree #1,Main,Lunch
Natural Blackberry Jam (Packet),35,0,0,0,0,9,0,9,0,0,0,0,0,0,0,0,Main Hot Entree #1,Condiment,Breakfast
"Milk, Soy, Vanilla (24/8 oz) (each)",141,5,0,0,111,17,2,15,14,8,151,0,3,301,1,352,Sides,Milk,Lunch
Mandarin Orange Pepper Fruit Salsa (1 TBSP),5,0,0,0,2,1,0,1,0,0,252,13,0,4,0,43,Main Hot Entree #1,Condiments,Lunch
Maple Belgian Waffle (Waffle),250,9,4,44,290,37,2,15,0,6,0,0,0,30,1,94,Main Hot Entree #1,Main,Breakfast
Apple Cinnamon Bread (Grain for entree) (1 square),206,8,1,19,110,33,2,18,17,3,0,0,0,74,1,71,Main Hot Entree #1,Grain,Breakfast
Apple Slices (3 slices per 1/4 cup),17,0,0,0,0,4,1,3,0,0,0,27,0,15,0,0,Sides,Fruit,Lunch
Raspberry Lemonade Flavored Dried Cranberries (2 Eaches),220,0,0,0,0,54,0,48,0,0,0,0,0,0,0,0,Sides,Fruit,Lunch
Chicken Tenders Sub (Sandwich),366,12,1,60,609,45,8,3,3,23,55,0,7,120,2,130,Main Hot Entree #1,Main,Lunch
Orange Flavored Dried Cranberries (2 Eaches),220,0,0,0,0,54,4,48,42,0,0,0,0,0,0,0,Sides,Fruit,Lunch
Triple Berry Parfait Power Pack (Power Pack),503,16,5,42,363,81,6,45,32,15,0,13,3,568,2,429,Power Pack,Main,Lunch
Bottled Water (Bottle),0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,A La Carte,Beverage,Lunch
Watermelon Flavored Dried Cranberries (2 Eaches),220,0,0,0,0,54,4,48,0,0,0,0,0,0,0,0,Sides,Fruit,Lunch
Strawberry Parfait Power Pack (Power Pack),493,16,5,42,363,78,5,42,32,14,0,31,3,568,2,449,Power Pack,Main,Lunch
Chilled Peaches (1/2 cup),82,0,0,0,6,20,2,16,2,0,0,0,0,18,0,230,Sides,Fruit,Lunch
Mini Maple Waffles (Package),200,6,1,5,210,36,4,12,11,4,1000,0,0,40,4,0,Main Hot Entree #1,Main,Breakfast
Blueberry Parfait (Parfait),220,2,0,3,53,45,4,25,15,6,0,0,3,286,0,0,Daily Yogurt Entree,Main,Breakfast
Cherry Vanilla Yogurt Power Pack (Power Packs),320,7,4,25,395,51,3,16,10,14,0,0,4,499,2,315,Power Pack,Main,Lunch
Whole Wheat Dinner Roll (Each),80,1,0,0,125,15,2,1,1,3,0,0,3,50,1,70,Plant-Forward Hot Entree,Grain,Lunch
Whole Wheat Dinner Roll (2 rolls),160,2,0,0,250,30,4,2,2,6,0,0,6,100,2,140,Plant-Forward Hot Entree,Grain,Lunch
Apple Slices (6 Slices per 1/2 cup),34,0,0,0,0,8,2,6,0,0,0,54,0,30,0,0,Sides,Fruit,Lunch
"Waffle (Grain), Belgian, Buttery Maple, Bulk (Waffle)",250,9,4,44,290,37,2,15,0,6,0,0,0,30,1,94,Main Hot Entree #1,Grain,Breakfast
"Frozen, Blueberries (1/2 cup)",40,0,0,0,0,9,2,6,0,1,0,0,0,0,0,0,Sides,Fruit,Lunch
Apple Berry Smoothie (8oz portion),142,0,0,3,58,33,1,27,11,3,0,23,3,286,0,208,Daily Yogurt Entree,Main,Breakfast
"-Peas and Diced Carrots, Frozen (1/2 cup)",60,0,0,0,15,11,4,4,0,3,0,0,0,30,1,170,A La Carte,Vegetable,Breakfast
Watermelon Flavored Dried Cranberries (Each),110,0,0,0,0,27,2,24,0,0,0,0,0,0,0,0,Sides,Fruit,Lunch
Raspberry Lemonade Flavored Dried Cranberries (Each),110,0,0,0,0,27,0,24,0,0,0,0,0,0,0,0,Sides,Fruit,Lunch
"Plums, Red, Whole (Each)",30,0,0,0,0,7,1,6,0,0,225,6,0,4,0,102,Main Hot Entree #1,Fruit,Lunch
Oat Milk (Each),130,1,0,0,150,22,0,18,18,8,150,0,3,475,3,350,PreK,Milk,Breakfast
Peach Yogurt (Container),90,0,0,5,55,19,0,14,10,3,0,0,4,291,0,140,Daily Yogurt Entree,Main,Lunch
"Nutri-Grain, Apple Cinnamon (each)",150,3,0,0,140,31,3,14,13,2,0,0,2,140,2,110,Cold Grab & Go,Grain,Breakfast
"Nutri-Grain, Strawberry (each)",150,3,0,0,140,30,3,12,12,2,0,0,2,140,2,110,Cold Grab & Go,Grain,Breakfast
Roasted Sunflower Seeds (Package),160,14,1,0,140,7,3,1,0,6,0,0,0,20,1,241,Power Pack,Protein,Lunch
Strawberry Flavored Dried Cranberries (Each),110,0,0,0,0,27,2,24,21,0,0,0,0,0,0,0,Sides,Fruit,Lunch
Cherry Flavored Dried Cranberries (Each),110,0,0,0,0,27,2,24,21,2,0,0,0,0,0,0,Sides,Fruit,Lunch
Pineapple Parfait (Parfait),284,2,0,3,55,64,4,44,15,6,90,17,3,315,1,436,Daily Yogurt Entree,Main,Breakfast
Strawberry & Banana Yogurt Power Pack (Power Packs),320,7,4,25,390,51,3,16,10,14,0,0,4,500,2,306,Power Pack ,Main,Lunch
Peach Yogurt Power Pack (Power Packs),320,7,4,25,395,51,3,16,10,14,0,0,4,500,2,295,Power Pack,Main,Lunch
Cherry Vanilla Yogurt (Container),90,0,0,5,55,19,0,14,10,3,0,0,4,290,0,160,Daily Yogurt Entree,Main,Lunch
"Cheese, String, Mozzarella, Low-Fat IW (SUBSTITUTION) (1 Stick)",60,3,2,20,200,1,0,1,0,7,0,0,0,198,0,55,Power Pack,Protein,Lunch
"Bread, Loco (1/2 piece)",75,2,0,0,68,13,2,1,0,2,0,0,0,40,1,0,Main Hot Entree #1,Grain,Lunch
Strawberry Banana Yogurt (each),90,0,0,5,50,19,0,14,10,3,0,0,4,291,0,151,Daily Yogurt Entree,Main,Lunch
Fat Free Chocolate Milk (Each),130,0,0,5,249,22,0,20,8,9,163,0,3,325,0,456,Sides,Milk,Lunch
"Bread, Hamburger Bun (Bun)",140,2,0,0,220,27,4,3,3,6,0,0,7,110,1,130,Main Hot Entree #1,Grain,Lunch
"Cheese, American, Sliced (3 slices)",105,6,4,23,630,3,0,3,0,11,0,0,0,288,0,98,PreK,Protein,Lunch
"Sandwich, Turkey & Cheese (sandwich)",250,7,3,35,873,31,4,5,3,20,0,0,7,270,2,352,PreK,Main,Lunch
Strawberry Chex Mix (Package),120,3,1,0,55,23,2,6,6,2,0,0,0,0,1,0,A La Carte,Grain,Lunch
Orange Flavored Dried Cranberries (Each),110,0,0,0,0,27,2,24,21,0,0,0,0,0,0,0,Sides,Fruit,Lunch
Banana Bread (Each),280,7,1,30,180,51,2,26,25,5,0,0,0,26,2,115,Main Hot Entree #1,Main,Breakfast
"Nutri-Grain, Blueberry (each)",130,3,0,0,115,25,2,13,12,2,0,0,2,130,2,80,A La Carte,Snacks for Purchase,Lunch
"Apple Slices (6 Slices, 1/2 cup)",34,0,0,0,0,8,2,6,0,0,0,54,0,30,0,0,Sides,Fruit,Lunch
"Sandwich, Turkey & Cheese on Sub Roll (sandwich)",215,5,2,28,663,29,4,4,3,18,0,0,7,190,1,312,Cold Grab & Go,Main,Lunch
Strawberry Smoothie (8oz portion),147,0,0,5,75,31,1,24,11,5,20,25,3,357,0,340,Daily Yogurt Entree,Main,Lunch
Cinnamon Waffle (each),200,8,3,25,230,30,2,12,11,5,0,0,0,40,1,94,Main Hot Entree #1,Main,Breakfast
"Cheese, American, Sliced (Slice)",105,6,4,23,630,3,0,3,0,11,0,0,0,288,0,98,PreK,Protein,Lunch
Applesauce (1/4 cup),25,0,0,0,0,7,1,6,0,0,0,5,0,0,0,0,Sides,Fruit,Lunch
Chilled Pineapple (1/4 cup),54,0,0,0,1,14,1,13,0,0,45,8,0,14,0,112,Sides,Fruit,Lunch
"Waffle, Belgian, Sweet Cinnamon, WG, Bulk (Waffle)",200,8,3,25,230,30,2,12,11,5,0,0,0,40,1,94,Daily Yogurt Entree,Main,Breakfast
"Cereal, Cinnamon Toasters, Malt-O-Meal, IW (Sub) (1 Each)",3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,Daily Cereal,Main,Breakfast
Ketchup Packet (Packet),10,0,0,0,89,2,0,2,2,0,0,0,0,1,0,22,Sides,Condiment,Lunch
Manager's Vegetable Choice (1/2 cup),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sides,Vegetable,Lunch
"Egg, Hard Boiled, Bulk pouch (Each)",78,5,2,187,62,1,0,1,0,6,260,0,1,25,1,63,Main Hot Entree #1,Protein,Breakfast
Soft Pretzel (1 pretzel),150,1,0,0,140,30,3,1,0,5,0,0,0,11,2,100,Salad Bar Entree,Grain,Lunch
"Patty, Chicken, Breaded, WG (2 strips)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Main Hot Entree #1,Main,Lunch
Corn (1/4 cup (thawed)),35,0,0,0,0,8,1,1,0,1,0,0,0,0,0,88,Sides,Vegetable,Lunch
String Cheese (Each),80,6,4,20,200,2,0,1,0,6,0,0,0,198,0,55,Main Hot Entree #1,Protein,Lunch
Broccoli Florets (1/4 cup),4,0,0,0,4,1,0,0,0,0,468,15,0,7,0,51,Sides,Vegetable,Lunch
Lettuce Blend Salad Mix (1 cup),8,0,0,0,6,2,0,2,0,0,290,2,0,10,0,82,Sides,Vegetable,Lunch
Lettuce Blend Salad Mix (1/2 cup),4,0,0,0,3,1,0,1,0,0,145,1,0,5,0,41,Sides,Vegetable,Lunch
Cheez-Its Crackers (Package),100,4,1,5,150,14,1,0,0,2,0,0,0,20,1,50,A La Carte,Grain,Lunch
Italian Dressing (1 ounce),15,0,0,0,260,3,0,2,2,0,0,0,0,0,0,0,Sides,Condiment,Lunch
Doritos Wild White Nacho Flavored Tortilla Chips (Bag),130,5,1,0,170,20,2,0,0,2,0,0,0,40,0,50,A La Carte,Grain,Lunch
Chickpeas (1/4 cup),40,1,0,0,70,7,2,1,0,2,0,0,0,14,1,74,Sides,Vegetable,Lunch
Ranch Dressing (1 ounce),80,8,1,10,270,2,0,1,1,1,0,0,0,29,0,0,Sides,Condiment,Lunch
Smartfood RF White Cheddar Popcorn (Each),70,3,0,0,100,9,2,0,0,2,0,0,0,10,0,40,A La Carte,Grain,Lunch
PB&J Power Pack (Power Packs),480,27,8,25,630,48,5,15,12,17,0,0,0,244,2,105,Power Packs,Main,Lunch
Manager's Vegetable Choice (1/4 cup),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sides,Vegetable,Lunch
Asian Veggie Sub (sandwich),539,16,2,13,1757,84,8,32,24,19,1961,2,7,191,4,951,Main Hot Entree #1,Main,Lunch
Asian Meatball Sub (sandwich),520,18,5,61,1759,68,6,31,24,19,1961,2,7,174,3,421,Main Hot Entree #1,Main,Lunch
Cherry Tomatoes (1/4 cup),7,0,0,0,2,1,0,1,0,0,312,5,0,4,0,89,Sides,Vegetable,Lunch
Red Seedless Grapes (8 grapes per 1/4 cup),30,0,0,0,1,8,0,7,0,0,29,2,0,5,0,83,Sides,Fruit,Lunch
Black Beans (1/2 Cup),130,1,0,0,140,23,6,1,0,8,0,0,0,48,0,2,Sides,Vegetable,Lunch
Chilled Mandarin Oranges (1/4 cup (drained)),37,0,0,0,5,9,0,9,0,0,848,34,0,11,0,133,Sides,Fruit,Lunch
Turkey Pepperoni Pizza (Slice),348,16,8,39,569,29,3,3,1,22,0,0,0,462,2,260,Main Hot Entree #1,Main,Lunch
Cheese Pizza (Slice),335,15,8,34,500,29,3,3,1,21,0,0,0,462,2,241,Main Hot Entree #1,Main,Lunch
Baby Carrots (6 Baby Carrots per 1/2 cup),24,0,0,0,54,6,2,4,0,0,9696,2,0,22,0,166,Sides,Vegetable,Lunch
"Peppers, red, pre-sliced (1/2 cup sliced)",12,0,0,0,2,2,2,2,0,0,230,50,0,6,0,110,Sides,Vegetable,Lunch
Chilled Peaches (1/4 cup (drained)),41,0,0,0,3,10,1,8,1,0,0,0,0,9,0,115,Sides,Fruit,Lunch
Chickenless Bites (4 Bites),170,8,1,0,330,18,3,2,0,12,0,0,0,40,2,530,Main Hot Entree #1,Main,Lunch
Chocolate Chip Cookie (Cookie),148,5,2,19,96,24,2,11,9,2,0,0,1,10,1,54,Sides,Dessert,Lunch
Roasted Plantains (6 Slices),280,6,0,0,0,56,2,46,0,2,0,0,0,7,0,774,Sides,Vegetable,Lunch
Sour Cream (2 Tablespoons),60,5,3,15,15,1,0,1,1,1,60,0,0,30,0,0,Sides,Condiment,Lunch
Cucumber Slices (1/4 cup),9,0,0,0,1,2,0,1,0,0,60,2,0,9,0,83,Sides,Vegetable,Lunch
"Salsa, Mild Canned (1.5 oz)",15,0,0,0,105,3,2,2,0,0,0,0,0,0,0,0,Sides,Condiment,Lunch
Black Beans (1/4 Cup),65,0,0,0,70,12,3,0,0,4,0,0,0,24,1,0,Sides,Vegetable,Lunch
Cheese Quesadilla (Quesadilla),351,17,8,35,603,31,3,3,1,19,0,0,0,331,2,115,Plant-Forward Hot Entree,Main,Lunch
Pineapple Pepper Fruit Salsa (1 TBSP),7,0,0,0,2,2,0,1,0,0,206,12,0,4,0,43,Main Hot Entree #1,Condiment,Lunch
"Sauce, Spicy Mayo (tbsp)",39,3,1,6,211,2,0,1,1,0,0,0,0,3,0,38,Main Hot Entree #1,Condiment,Lunch
Fish Tacos (2 Tacos),390,16,4,45,480,43,5,2,2,18,0,0,1,48,3,504,Main Hot Entree #1,Main,Lunch
Beef Meatball Sub Sandwich (Sandwich),412,19,8,63,802,35,6,8,4,26,0,0,7,371,3,332,Main Hot Entree #1,Main,Lunch
Steamed Baby Carrots (1/2 cup),25,0,0,0,57,6,2,3,0,0,9992,2,0,23,1,172,Sides,Vegetable,Lunch
Alfredo & Basil Lasagna (Each),397,16,9,49,719,34,2,9,0,26,404,6,0,635,1,263,Plant-Forward Hot Entree,Main,Lunch
Cucumber Slices (6 Slices per 1/2 cup),18,0,0,0,2,4,0,2,0,0,120,4,0,18,0,166,Sides,Vegetable,Lunch
Chana Masala (1/2 cup),80,2,0,0,140,14,4,2,0,4,0,0,0,27,1,148,Plant-Forward Hot Entree,Main,Lunch
Cooked  Brown Rice (1 cup cooked),227,2,0,0,6,48,1,0,0,5,0,0,0,5,1,140,Main Hot Entree #1,Grain,Lunch
Cooked  Brown Rice (1/2 cup cooked),113,1,0,0,3,24,0,0,0,2,0,0,0,2,0,70,Main Hot Entree #1,Grain,Lunch
Chicken Masala Drumstick (Drumstick),150,8,2,90,350,2,0,1,1,17,0,0,0,0,1,330,Main Hot Entree #1,Main,Lunch
Baby Carrots (3 baby carrots per 1/4 cup),12,0,0,0,27,3,1,2,0,0,4848,1,0,11,0,83,Sides,Vegetable,Lunch
Grilled Cheese Sandwich (Sandwich),300,11,5,30,1160,38,4,6,0,18,0,0,1,380,2,300,Main Hot Entree #1,Main,Lunch
BBQ Chicken Drumstick (Drumstick),185,8,2,90,434,10,0,8,7,17,0,0,0,0,1,463,Main Hot Entree #1,Main,Lunch
Bean and Cheese Pupusa (Pupusa),290,11,3,15,480,35,4,1,0,13,0,0,0,250,1,330,Main Hot Entree #1,Main,Lunch
Tex Mex Corn (1/2 cup),115,1,0,0,2,27,3,4,0,4,85,21,0,10,1,330,Sides,Vegetable,Lunch
Turkey Barbacoa Arepa (1 Arepa + #10 scoop of turkey barbacoa),282,9,3,78,949,29,3,0,0,23,0,0,0,0,1,18,Main Hot Entree #1,Main,Lunch
Chocolate Chip Cookie (1/2 Cookie),74,2,1,9,48,12,1,5,5,1,0,0,0,5,0,27,Sides,Dessert,Lunch
Orange Sauce (ounce),62,0,0,0,123,15,0,14,12,1,0,0,0,0,0,0,Hot Grab & Go #1,Condiment,Lunch
Chicken & Vegetable Dumplings (6 dumplings),242,7,1,35,554,31,2,3,1,17,0,0,0,35,3,283,Main Hot Entree #1,Main,Lunch
Orange Chickenless Bites (4 bites),220,8,1,0,430,30,3,13,10,13,0,0,0,40,2,530,Plant-Forward Hot Entree,Main,Lunch
Steamed Broccoli (1/2 cup),8,0,0,0,0,2,0,0,0,0,936,30,0,14,0,102,Sides,Vegetable,Lunch
Orange Chicken (4 Bites w/ 1oz sauce),231,6,1,45,634,27,1,11,10,18,0,0,0,13,2,259,Main Hot Entree #1,Main,Lunch
Corn (1/2 cup (cooked)),71,0,0,0,0,17,2,2,0,3,0,0,0,0,0,177,Sides,Vegetable,Lunch
Potato Wedges (4 pieces),63,2,0,0,48,10,1,0,0,1,0,0,0,0,0,242,Sides,Vegetable,Lunch
Potato Wedges (7 pieces),110,4,0,0,84,18,2,0,0,2,0,0,0,0,0,424,Sides,Vegetable,Lunch
Mayonnaise Packet (Packet),40,4,1,5,80,1,0,0,0,0,0,0,0,1,0,5,Sides,Condiment,Lunch
Mustard Packet (Packet),5,0,0,0,65,0,0,0,0,0,0,0,0,2,0,6,Sides,Condiment,Lunch
Baked Cheese Sticks (2 Cheese Sticks),300,12,6,30,640,17,2,4,2,16,0,0,0,360,2,0,Main Hot Entree #1,Main,Lunch
