Food_Name,Calories,Total Fat (g),Saturated Fat (g),Cholesterol (mg),Sodium (mg),Carbohydrate (g),Dietary Fiber (g),Total Sugars (g),Added Sugars (g),Protein (g),Vitamin A (IU),Vitamin C (mg),Vitamin D (D2 + D3) (mcg),Calcium (mg),Iron (mg),Potassium (mg),Category,Sub-Category,Served
Marinara Sauce (1/2 cup),60,2,0,0,135,10,2,6,1,2,0,0,0,55,1,354,Hot Grab & Go #2,Vegetable,Lunch
"Penne Pasta with Marinara and Beef Meatballs (cup cooked pasta, 1/2c sauce, 5 meatballs)",492,19,8,63,668,54,7,10,1,28,0,0,0,313,4,559,Main Hot Entree #1,Main,Lunch
"Penne Pasta with Marinara and Beef Meatballs (1/2 cup cooked pasta, 1/2c sauce, 5 meatballs)",492,19,8,63,668,54,7,10,1,28,0,0,0,313,4,559,Main Hot Entree #1,Main,Lunch
"Quesadilla, Turkey Barbacoa and Cheese (Quesadilla)",402,19,8,63,868,32,3,3,1,26,0,0,0,331,3,122,Main Hot Entree #1,Main,Lunch
Nachos with Turkey Barbacoa and Cheese Sauce (Serving),435,20,6,39,855,44,2,4,0,19,0,0,0,186,1,465,Main Hot Entree #1,Main,Lunch
Nachos with Black Beans and Cheese Sauce (Serving),439,18,5,5,601,54,5,4,0,14,0,0,0,210,1,456,Main Hot Entree #1,Main,Lunch
Nachos with Cheese Sauce (Serving),468,24,8,10,912,48,2,8,0,16,0,0,0,372,0,792,Main Hot Entree #1,Main,Lunch
Chickenless Bites (2 Bites),85,4,1,0,165,9,2,1,0,6,0,0,0,20,1,0,Main Hot Entree #1,Main,Lunch
"WG 10"" Flour Tortilla (Tortilla)",180,5,0,0,220,29,3,2,1,5,0,0,0,120,2,90,Salad Bar Entree,Grain,Lunch
"Turkey,  Breast, Pre-Sliced, Oven Roasted (3 Slices)",40,1,0,20,233,0,0,0,0,9,0,0,0,0,0,142,Salad Bar Entree,Protein,Lunch
Corn (2 Tablespoons (thawed)),18,0,0,0,0,4,0,0,0,0,0,0,0,0,0,44,Sides,Vegetable,Lunch
"Cheese, Shredded, Cheddar (1/4 cup)",80,6,4,20,200,1,0,0,0,7,0,0,0,0,0,0,Salad Bar Entree,Protein,Lunch
"Onions, Red, Whole (2 Tablespoons (sliced))",6,0,0,0,1,1,0,1,0,0,0,1,0,4,0,23,Sides,Vegetable,Lunch
Cucumber Slices (2 Tablespoon),4,0,0,0,0,1,0,0,0,0,30,1,0,4,0,42,Sides,Vegetable,Lunch
"Peppers, Green, Whole (2 Tablespoon)",2,0,0,0,0,1,0,0,0,0,43,9,0,1,0,20,Sides,Vegetable,Lunch
"Peppers, Red, Whole (2 Tablespoons)",3,0,0,0,0,1,0,0,0,0,360,15,0,1,0,24,Sides,Vegetable,Lunch
Sub Roll (Sub Roll),140,2,0,0,220,27,4,3,3,6,0,0,7,110,1,130,Salad Bar Entree,Grain,Lunch
Marinara Sauce (1/4 Cup),30,2,0,0,135,10,2,6,1,2,0,0,0,55,1,354,Plant-Forward Hot Entree,Vegetable,Lunch
Chickpeas (2 Tablespoons),20,0,0,0,35,3,1,0,0,1,0,0,0,7,0,37,Sides,Vegetable,Lunch
Doritos Flamas (Each),150,8,1,0,200,18,1,0,0,2,0,0,0,30,0,40,A La Carte,Vegetable,Lunch
Doritos RF Spicy Sweet Chili (Each),150,7,1,0,280,18,1,0,0,2,0,0,0,30,0,50,A La Carte,Vegetable,Lunch
Doritos RF Nacho Cheese (Each),130,5,1,0,200,20,2,0,0,2,0,0,0,40,0,50,A La Carte,Vegetable,Lunch
Cool Ranch Reduced Fat Doritos (Each),130,5,1,0,160,19,2,1,0,2,5,0,0,40,0,0,A La Carte,Vegetable,Lunch
SS Baked Cheetos Flaming Hot (Each),140,5,0,0,220,20,0,0,0,2,0,0,0,140,0,40,A La Carte,Vegetable,Lunch
SS Baked Cheetos Flaming Limon (Each),110,4,1,0,140,18,1,0,0,2,0,0,0,10,1,130,A La Carte,Vegetable,Lunch
SS Cheetos Fantastix Flaming Hot (Each),130,5,1,0,200,20,2,0,0,2,0,0,0,20,1,10,A La Carte,Vegetable,Lunch
Kettle Cooked Smoky BBQ Chips (Each),180,7,1,0,190,27,2,3,1,3,0,9,0,10,1,580,A La Carte,Vegetable,Lunch
RF Kettle Chips Jalapeno & Cheddar Chips (Each),180,7,1,0,160,27,2,2,0,3,0,0,0,30,1,570,A La Carte,Vegetable,Lunch
RF Kettle Chips Sea Salt & Vinegar Chips (Each),180,7,1,0,180,28,2,2,0,3,0,0,0,10,1,570,A La Carte,Vegetable,Lunch
"Fruit Snacks, Welch's Mixed (Each)",80,0,0,0,20,19,0,11,0,1,225,90,0,0,0,0,Sides,Fruit,Lunch
Spicy Chicken Wrap (Wrap),446,17,3,50,716,47,4,2,1,25,46,0,0,121,4,100,Cold Grab & Go,Main,Lunch
"Carrots, IW,   Super Snack (each)",26,0,0,0,57,6,2,4,0,0,10164,2,0,24,1,175,Sides,Vegetable,Lunch
Black Beans (2 Tablespoons),33,0,0,0,35,6,1,0,0,2,0,0,0,12,0,0,Sides,Vegetable,Lunch
Ranch Dressing Packet (Packet),60,2,0,0,210,9,1,4,2,1,0,0,0,30,0,0,Sides,Condiment,Lunch
WG Baked Funyuns (Each),100,4,0,0,125,14,0,0,0,2,0,0,0,0,1,40,A La Carte,Vegetable,Lunch
Lay's RF Kettle Original Chips (Each),180,7,1,0,190,27,2,1,0,3,0,9,0,10,1,610,A La Carte,Vegetable,Lunch
Broccoli Florets (6 Pieces per 1/2 cup),8,0,0,0,8,2,0,0,0,0,936,30,0,14,0,102,Sides,Vegetable,Lunch
Vegetable Dumpling (6 dumplings),242,5,1,0,363,33,4,2,1,16,0,0,0,60,3,333,Hot Grab & Go #1,Main,Lunch
"Peppers, green, pre-sliced (1/4 cup sliced)",6,0,0,0,1,1,0,0,0,0,116,25,0,3,0,55,Sides,Vegetable,Lunch
Spicy Breaded Chicken Patty on Bun (Sandwich),365,11,1,40,615,44,5,3,3,22,10,0,7,110,3,130,Main Hot Entree #1,Main,Lunch
"Bread, Loco (flatbread)",150,3,0,0,135,26,3,1,0,4,0,0,0,80,1,0,Hot Grab & Go #2,Grain,Lunch
Pasta with Meat Sauce (serving),191,1,0,0,22,41,4,2,0,7,0,0,0,25,2,190,,Main,Lunch
Turkey & Cheese on Sub Roll (sandwich),215,5,2,28,663,29,4,4,3,18,0,0,7,190,1,312,Main Hot Entree #1,Main,Lunch
"Onions, Red, Whole (1/4 cup (sliced))",12,0,0,0,2,2,0,2,0,0,0,2,0,8,0,46,Sides,Vegetable,Lunch
"Peppers, red, pre-sliced (1/4 cup sliced)",6,0,0,0,1,1,1,1,0,0,115,25,0,3,0,55,Sides,Vegetable,Lunch
Fish  Sandwich (Sandwich),350,13,2,45,550,40,5,3,3,20,0,0,8,110,2,440,Main Hot Entree #1,Main,Lunch
"Salsa, Mild Canned (2 Tablespoons)",10,0,0,0,70,2,1,1,0,0,0,0,0,0,0,0,Sides,Condiment,Lunch
"Beef, Meatballs, Pre-Cooked (5 meatballs)",151,10,4,48,332,2,1,1,0,12,0,0,0,23,1,0,Main Hot Entree #1,Protein,Lunch
Chicken Quesadilla (quesadilla),341,11,4,53,441,30,3,3,1,24,0,0,0,231,2,179,Main Hot Entree #1,Main,Lunch
Cucumbers (1/2 cup sliced),18,0,0,0,2,4,0,2,0,0,120,4,0,18,0,166,Sides,Vegetable,Lunch
Apple Cinnamon Spread (Each),170,10,1,0,65,15,2,5,3,5,0,0,0,13,1,188,Cold Grab & Go,Protein,Lunch
Chickpeas - salad bar entree (1/2 cup),80,1,0,0,140,14,4,2,0,4,0,0,0,27,1,148,Salad Bar Entree,Protein,Lunch
Roasted Plantains (3 Slices),140,3,0,0,0,28,1,23,0,1,0,0,0,4,0,387,Sides,Vegetable,Lunch
Celery Sticks (1/2 cup),16,0,0,0,91,3,2,2,0,1,509,4,0,45,0,295,Sides,Vegetable,Lunch
"Peppers, Green, Whole (1/2 cup)",8,0,0,0,0,4,0,0,0,0,172,36,0,4,0,80,Sides,Vegetable,Lunch
Chicken and Cheese Quesadilla (Quesadilla),402,18,8,61,738,31,3,3,1,28,0,0,0,331,2,217,Main Hot Entree #1,Main,Lunch
Black Beans - salad bar entree (1/2 cup),130,1,0,0,140,23,6,1,0,8,0,0,0,48,2,0,Salad Bar Entree,Protein,Lunch
Original Flavored Dried Cranberries (Package),110,0,0,0,0,27,2,24,21,0,0,0,0,0,0,0,Sides,Fruit,Lunch
Arepa w/Taco Beef (1 Aprea + #8 scoop of beef),253,6,2,34,510,35,6,4,0,16,1914,10,0,73,3,1021,Main Hot Entree #1,Main,Lunch
Cucumber Slices (1/2 cup),18,0,0,0,2,4,0,2,0,0,120,4,0,18,0,166,Sides,Vegetable,Lunch
BBQ Vegan Burger (Sandwich),310,7,0,0,763,44,10,12,10,20,0,0,7,180,3,748,Plant-Forward Hot Entree,Main,Lunch
"Cucumbers (1/4 cup sliced, 3 slices)",9,0,0,0,1,2,0,1,0,0,60,2,0,9,0,83,Sides,Vegetable,Lunch
Celery Sticks (1/4 cup),8,0,0,0,46,1,1,1,0,0,255,2,0,23,0,148,Sides,Vegetable,Lunch
Turkey Pepperoni Pizza (1.37 oz),348,16,8,39,569,29,3,3,1,22,0,0,0,462,2,260,Main Hot Entree #1,Main,Lunch
"Chicken, Wings, Pre-Cooked (3 Wings)",192,13,0,122,166,0,0,0,0,19,0,0,0,51,1,0,Main Hot Entree #1,Main,Lunch
Whole Strawberries (1/4 cup thawed),15,0,0,0,0,3,0,2,0,0,0,16,0,5,0,55,Sides,Fruit,Lunch
"Frozen Berry, Triple Berry Blend (1/4 cup (thawed))",40,0,0,0,0,10,2,7,0,1,0,13,0,10,0,90,Sides,Fruit,Lunch
Chickpeas (1/2 cup),80,2,0,0,140,14,2,2,0,4,0,0,0,28,2,148,Sides,Vegetable,Lunch
Grape Tomatoes (1/4 cup),10,0,0,0,3,2,1,1,0,1,475,8,0,6,0,135,Sides,Vegetable,Lunch
Corn (1/4 cup (cooked)),36,0,0,0,0,8,1,1,0,1,0,0,0,0,0,89,Sides,Vegetable,Lunch
Hamburger (Sandwich),300,13,5,45,410,28,4,3,3,18,0,0,7,117,2,130,Main Hot Entree #1,Main,Lunch
BBQ Chickenless Bites (4 bites),205,8,1,0,414,26,3,9,6,12,0,0,0,40,2,663,Plant-Forward Hot Entree,Main,Lunch
"Carrots, Shredded (Cup)",37,0,0,0,63,9,3,4,0,1,15203,5,0,30,0,291,Sides,Vegetable,Lunch
"Chicken, Bites (4 Bites)",180,6,1,45,531,15,1,0,0,17,0,0,0,13,2,258,PreK,Main,Lunch
"Lettuce, Green Salad Mix (1 cup)",10,0,0,0,7,2,1,1,0,1,344,2,0,12,0,97,Salad Bar Entree,Vegetable,Lunch
"Taco, Turkey Barbacoa, Loco Bread (2 Tacos)",292,9,2,73,834,29,3,1,0,23,0,0,0,80,3,18,Main Hot Entree #1,Main,Lunch
"Sauce, BBQ, HFCS-Free, Bulk, Low-Sodium (2 TBSP)",40,0,0,0,95,9,0,8,7,0,0,0,0,0,0,150,Sides,Condiment,Lunch
Chicken Alfredo Pasta (heaping 1 cup ( #4 scoop)),358,10,4,46,479,47,4,6,0,23,0,0,0,283,2,411,Plant-Forward Hot Entree,Main,Lunch
Black Beans (1/2 cup),130,1,0,0,140,23,6,1,0,8,0,0,0,48,2,0,Sides,Vegetable,Lunch
Potato Encrusted Breaded Pollock (Fillet),210,11,2,45,330,13,1,0,0,14,0,0,1,0,1,310,Main Hot Entree #1,Main,Lunch
"Chicken, Bites, Breaded (4 Bites)",181,6,1,45,534,15,1,0,0,17,0,0,0,13,2,259,Main Hot Entree #1,Main,Lunch
"CLPP, Grape Tomatoes (1/2 cup)",12,0,0,0,32,2,1,0,0,1,1122,12,0,4,0,159,Sides,Vegetable,Lunch
Sweet Thai Chili Chicken Wings (3 Wings),246,13,0,122,469,13,0,11,10,19,0,0,0,53,1,22,Main Hot Entree #1,Main,Lunch
"Pizza, Turkey Pepperoni, Slice (Slice)",348,16,8,39,569,29,3,3,3,22,0,0,0,462,2,260,Main Hot Entree #1,Main,Lunch
Creamy Cabbage Slaw (1/4 cup),29,2,0,3,86,2,0,1,0,1,17,6,0,16,0,30,Sides,Vegetable,Lunch
Breaded  Chicken Patty on a Bun (Sandwich),365,11,1,40,615,44,5,3,3,22,10,0,7,110,3,130,Main Hot Entree #1,Main,Lunch
"Cheese Sauce, Frozen, Nacho (1/2 cup)",120,9,5,27,217,2,0,4,1,7,0,0,0,211,0,51,Plant-Forward Hot Entree,Protein,Lunch
"Green Beans, Frozen (1/2 cup)",25,0,0,0,0,4,2,1,0,1,0,0,0,30,0,140,Sides,Vegetable,Lunch
Cheese Sandwich (sandwich),280,10,5,30,1060,35,4,7,3,16,0,0,7,430,2,290,PreK,Main,Lunch
Chicken Philly Sandwich (each),452,11,3,54,969,66,16,26,3,34,10799,642,7,299,4,1566,Main Hot Entree #1,Main,Lunch
Nachos with Taco Meat and Cheese Sauce (Serving Size),449,22,7,27,581,45,3,5,17,17,167,11,0,192,1,592,Main Hot Entree #1,Main,Lunch
"Quesadilla, Cheese and Taco Meat (Quesadilla)",317,13,5,37,568,33,4,3,1,19,9,9,9,143,3,501,Plant-Forward Hot Entree,Main,Lunch
Chicken Alfredo Pasta (1 cup),358,10,4,46,479,47,4,6,0,23,0,0,0,283,2,411,Main Hot Entree #1,Main,Lunch
"Sauce, Alfredo (2oz Ladle (1/4 cup))",92,6,3,18,196,4,0,3,0,6,0,0,0,189,0,206,Plant-Forward Hot Entree,Protein,Lunch
"Pasta, Baked Penne (1 cup)",726,30,14,61,1134,74,10,23,3,41,0,0,0,1024,5,1293,Plant-Forward Hot Entree,Main,Lunch
Chicken Tikka Masala (1/2 cup),102,2,0,51,273,1,0,0,0,19,0,0,0,0,0,202,Main Hot Entree #1,Main,Lunch
Fresh Whole Pear (Each),101,0,0,0,2,27,6,17,0,1,45,8,0,16,0,206,Sides,Fruit,Lunch
Broccoli Florets (Cup),16,0,0,0,16,4,0,0,0,0,1872,60,0,28,0,204,Sides,Vegetable,Lunch
Bean Salad (SUMMER) (1 cup),237,2,0,0,756,42,10,7,4,12,0,0,0,75,3,148,Main Hot Entree #1,Vegetable,Lunch
"Peppers, green, pre-sliced (1/2 cup sliced)",12,0,0,0,2,3,1,1,0,1,231,50,0,6,0,109,Sides,Vegetable,Lunch
Carrot and Celery Sticks (1/2 cup),20,0,0,0,66,5,2,2,0,1,5306,4,0,33,0,244,Salad Bar Entree,Vegetable,Lunch
BBQ Sandwich (Sandwich),315,7,1,68,995,42,4,14,12,24,0,0,7,110,3,347,Main Hot Entree #1,Main,Lunch
BBQ Chicken Sandwich (Sandwich),331,2,0,71,375,36,4,11,10,29,0,0,7,122,2,433,Main Hot Entree #1,Main,Lunch
Whole Wheat Sliced Bread (Slice),80,2,0,0,160,15,2,1,0,4,0,0,0,30,1,70,Main Hot Entree #1,Grain,Lunch
Applesauce (3/4 cup),75,0,0,0,0,21,3,18,0,0,0,15,0,0,0,0,Sides,Fruit,Lunch
"Chicken, Bites, Korean (4 Bites w/ 1oz sauce)",205,8,1,0,524,26,3,8,5,12,0,0,0,46,2,561,Main Hot Entree #1,Protein,Lunch
Broccoli Alfredo Pasta (1 cup),438,16,8,43,516,54,6,10,0,24,2551,79,0,531,3,913,Plant-Forward Hot Entree,Main,Lunch
Soft Bean Taco on Flour Tortilla (Taco),390,12,4,20,850,51,9,3,1,19,0,0,0,144,3,90,Main Hot Entree #1,Main,Lunch
Cheddar Chex Mix (Package),130,4,1,0,280,23,1,3,2,2,0,0,0,0,1,0,A La Carte,Grain,Lunch
Soft Beef Taco on Flour Tortilla (Taco),216,12,6,54,525,10,2,2,0,21,0,0,0,61,2,835,Main Hot Entree #1,Main,Lunch
"Dough, Cookie, Double Chocolate, WG (1/2 Cookie)",69,2,1,6,50,12,1,6,5,1,0,0,0,13,0,38,Sides,Dessert,Lunch
"Patty, Chicken, Spicy, Breaded (2 strips)",113,5,1,20,198,9,1,0,0,8,5,0,0,0,1,0,Salad Bar Entree,Protein,Lunch
"Tomato, Large, whole, Plum (1/4 cup sliced)",8,0,0,0,2,2,1,1,0,0,378,6,0,5,0,108,Sides,Vegetable,Lunch
Kelloggâ€™s W/G Rice Krispies Treats (Each),160,4,1,0,140,30,0,11,11,2,0,0,0,0,2,40,A La Carte,Vegetable,Lunch
WG Chocolate Chip Rice Krispy Treats (Each),190,5,2,0,150,34,0,14,14,2,0,0,0,0,3,70,A La Carte,Vegetable,Lunch
Potstickers (6 Potstickers),242,5,1,0,363,33,4,2,1,16,0,0,0,60,3,333,Hot Grab & Go #1,Main,Lunch
"Peanut Butter and Jelly Sandwich, IW (Each)",300,17,3,0,280,32,4,14,12,9,0,0,0,26,1,0,A La Carte,Main,Lunch
Fish Filet Potato Encrusted (each),202,10,2,45,293,14,1,0,0,14,0,0,1,0,0,374,Hot Grab & Go #1,Protein,Lunch
Wheat Thins (Package),220,7,0,0,330,35,5,7,0,3,0,0,0,4,8,0,A La Carte,Grain,Lunch
Tomato & Basil Lasagna (Each),313,10,5,28,542,34,3,8,0,19,442,6,0,432,2,176,Plant-Forward Hot Entree,Main,Lunch
Nachos with Cheese Sauce (serving size),468,24,8,10,912,48,2,8,0,16,0,0,0,372,0,792,Plant-Forward Hot Entree,Main,Lunch
"Wrap, Breaded Chicken (Wrap)",431,20,3,40,711,44,4,2,1,21,36,0,0,121,3,100,Main Hot Entree #1,Main,Lunch
Assorted Whole Fruit (Piece of Fruit),87,0,0,0,2,22,4,5,0,1,160,37,0,36,1,237,A La Carte,Fruit,Lunch
Tomato Soup (8 oz Ladle),176,9,4,21,408,16,3,9,2,9,0,0,0,287,2,653,Sides,Vegetable,Lunch
Korean BBQ Chickenless Bites (4 bites),205,8,1,0,524,26,3,8,5,12,0,0,0,46,2,561,Plant-Forward Hot Entree,Main,Lunch
Flour Tortilla (Tortilla),180,5,0,0,220,29,3,2,1,5,0,0,0,120,2,90,Salad Bar Entree,Grain,Lunch
Sweet Thai Chili Sauce (ounce),54,0,0,0,303,13,0,11,10,0,0,0,0,2,0,22,Hot Grab & Go #1,Condiment,Lunch
"Chicken, Drumstick, Sweet Thai Chili (Drumstick)",336,16,4,118,1338,21,0,13,12,24,0,0,0,18,2,304,Main Hot Entree #1,Main,Lunch
Chicken Eggroll (2 Egg Rolls),320,10,3,60,780,40,6,4,2,18,126,14,0,90,3,0,Hot Grab & Go #2,Main,Lunch
"Calzone, Cheese (Each)",300,12,6,30,490,30,3,4,2,18,0,0,0,350,2,147,Main Hot Entree #1,Main,Lunch
"Pasta, Lasagna Roll-Up, Cheese (Each)",240,6,4,20,390,29,2,5,0,15,400,6,0,300,1,0,Plant-Forward Hot Entree,Main,Lunch
"Cheese, Shredded, Mozzarella (1/4 cup)",90,6,4,15,180,1,0,1,0,7,0,0,0,208,0,25,Main Hot Entree #1,Protein,Lunch
Taco Flavored Hummus (2 Each),120,3,0,0,180,18,5,3,0,6,0,0,0,41,2,201,Power Pack,Protein,Lunch
Cherry Tomatoes (6 Tomatoes per 1/2 cup),14,0,0,0,4,2,0,0,0,0,624,10,0,8,0,178,Sides,Vegetable,Lunch
Grape Tomatoes (6 Tomatoes per 1/2 cup),20,0,0,0,6,4,2,2,0,2,950,16,0,12,0,270,Sides,Vegetable,Lunch
Steamed Baby Carrots (1/4 cup),13,0,0,0,29,3,1,1,0,0,4996,1,0,12,0,86,Sides,Vegetable,Lunch
Beef Meatballs (Serving),151,10,4,48,332,2,1,1,0,12,0,0,0,23,1,0,Main Hot Entree #1,Main,Lunch
Tex Mex Corn (1/4 cup),58,0,0,0,1,14,1,2,0,2,43,11,0,5,0,165,Sides,Vegetable,Lunch
"Carrots, IW,   Super Snack (2 each)",52,0,0,0,114,12,4,8,0,0,20328,4,0,48,2,350,Cold Grab & Go,Vegetable,Lunch
"Tacos, Taco Meat, Flour Tortilla (2 Tacos)",313,12,5,39,496,35,6,4,2,19,0,0,0,94,4,1016,Main Hot Entree #1,Main,Lunch
Corn (1/2 cup (thawed)),70,0,0,0,0,16,2,2,0,2,0,0,0,0,0,176,Sides,Vegetable,Lunch
IW Heartzels Pretzels (Package),80,1,0,0,200,16,2,1,0,2,0,0,0,30,1,120,A La Carte,Grain,Lunch
Vanilla Sugar Cookie (1/2 Cookie),70,2,1,7,47,12,1,6,6,1,0,0,1,23,0,23,A La Carte,Grain,Lunch
Sweet Thai Chili Chicken Bites (4 Bites w/ 1oz sauce),235,6,1,45,837,28,1,11,10,17,0,0,0,15,2,281,Main Hot Entree #1,Protein,Lunch
Turkey & Cheese & Cracker Power Pack (wrap),330,13,3,35,973,39,0,9,7,17,0,0,0,210,2,362,Plant-Forward Hot Entree,Main,Lunch
Mac & Cheese (2/3 cup),293,11,6,34,441,31,2,7,0,15,0,0,0,381,1,780,Main Hot Entree #1,Main,Lunch
"Pasta, Macaroni (1 cup cooked)",190,1,0,0,19,41,4,2,0,7,0,0,0,24,2,180,Main Hot Entree #1,Grain,Lunch
"Quesadilla, Cheese w/ 6 Inch Tortillas (Quesadilla)",351,17,10,35,533,32,4,3,2,18,0,0,0,259,2,219,Plant-Forward Hot Entree,Main,Lunch
Nachos w/Shredded Chicken and Cheese Sauce (Serving Size),424,19,5,30,754,44,2,4,0,19,0,0,0,186,0,456,Main Hot Entree #1,Main,Lunch
"Chicken, Drumstick, Roasted (Each Drumstick)",282,16,4,118,1035,8,0,2,2,24,0,0,0,16,2,282,Main Hot Entree #1,Main,Lunch
"Quesadilla, Chicken & Cheese (Shred Chicken) 6 in Tortilla (Quesadilla)",316,12,6,43,565,32,4,3,2,20,0,0,0,153,2,207,Main Hot Entree #1,Main,Lunch
"CLPP, Grape Tomatoes (1/4 cup)",6,0,0,0,16,1,0,0,0,0,561,6,0,2,0,80,Sides,Vegetable,Lunch
Cheese Pizza (slice),335,15,8,34,500,29,3,3,1,21,0,0,0,462,2,241,Main Hot Entree #1,Main,Lunch
Red Seedless Grapes (2 Tablespoons),15,0,0,0,0,4,0,3,0,0,14,1,0,2,0,41,Sides,Fruit,Lunch
Turkey Barbacoa (#10 scoop),90,4,1,50,480,2,0,0,0,13,0,0,0,0,1,13,Main Hot Entree #1,Protein,Lunch
"Canned Pineapple, Tidbits (1/2 cup (drained))",108,0,0,0,2,28,2,26,0,1,90,17,0,29,1,223,Sides,Fruit,Lunch
Taco Flavored Hummus (each),120,3,0,0,180,18,5,3,0,6,0,0,0,41,2,201,Power Pack,Protein,Lunch
Turkey Barbacoa Tacos on Flour Tortillas (2 Tacos),322,11,4,73,849,33,4,2,2,23,0,0,0,48,3,212,Main Hot Entree #1,Main,Lunch
Shredded Chicken Wrap (Wrap),282,7,0,0,668,31,3,2,1,23,36,0,0,121,2,100,Main Hot Entree #1,Main,Lunch
Make Your Own Nachos (Nacho Kit),308,16,7,10,857,28,2,8,0,14,0,0,0,392,0,712,Plant-Forward Hot Entree,Main,Lunch
Orange Slices (Each),14,0,0,0,0,3,1,0,0,0,55,16,0,15,0,43,Sides,Fruit,Lunch
"Chicken, Shredded, Fully Cooked (1/2 cup)",101,3,0,50,447,2,0,0,0,18,0,0,0,0,0,0,PreK,Protein,Lunch
Apple Slices (3/4 cup),51,0,0,0,0,12,3,9,0,0,0,81,0,45,0,0,Sides,Fruit,Lunch
Red Seedless Grapes (24 grapes per 3/4 cup),89,0,0,0,3,24,2,20,0,2,86,5,0,14,0,248,Sides,Fruit,Lunch
Orange Slices (9 slices per 3/4 cup),125,0,0,0,5,30,9,0,0,3,492,140,0,138,2,386,Sides,Fruit,Lunch
Cucumber Slices (3/4 cup),27,0,0,0,3,6,0,3,0,0,180,6,0,27,0,249,Sides,Vegetable,Lunch
Tortilla Chips (13 chips),138,6,1,0,74,19,1,0,0,2,0,0,0,0,0,59,A La Carte,Grain,Lunch
"Chex Mix, Cheddar - do not use (Package)",110,3,0,0,130,20,2,4,4,2,0,0,0,0,0,0,Sides,Grain,Lunch
"Beef, Taco Meat, Pre-Cooked (1/2 cup (#8 scoop))",113,5,2,34,296,5,2,2,0,13,0,0,0,46,2,822,Main Hot Entree #1,Protein,Lunch
Sweet N' Salty Popcorn (Bag),130,5,1,0,140,20,3,5,5,2,0,0,0,0,1,60,Sides,Grain,Lunch
Carrot and Celery Sticks (1/4 cup),10,0,0,0,33,2,1,1,0,0,2653,2,0,17,0,122,Salad Bar Entree,Vegetable,Lunch
"Peppers, Red, Whole (1/4 cup)",6,0,0,0,0,2,0,0,0,0,720,30,0,2,0,48,Sides,Vegetable,Lunch
Vanilla Sugar Cookie (Cookie),70,2,1,7,47,12,1,6,6,1,0,0,1,23,0,23,A La Carte,Grain,Lunch
Bean Street Tacos on Flour Tortillas (2 Tacos),330,8,3,5,630,52,10,3,2,12,0,0,0,72,3,194,Plant-Forward Hot Entree,Main,Lunch
"Salsa, Mild Canned (1/4 cup)",20,0,0,0,140,4,3,3,0,0,0,0,0,0,0,0,Sides,Condiment,Lunch
Korean Chicken Drumstick (Drumstick),317,16,4,118,1229,16,0,8,7,24,0,0,0,22,2,313,Main Hot Entree #1,Main,Lunch
Black Bean and Corn Salad (1/2 cup),100,0,0,0,70,20,4,1,0,5,0,0,0,24,1,89,Sides,Vegetable,Lunch
"CLPP, Broccoli Crowns (1/2 cup)",2,0,0,0,5,0,0,0,0,0,386,3,0,10,0,29,Sides,Vegetable,Lunch
Hard Boiled Eggs (Each),78,5,2,187,62,1,0,1,0,6,260,0,1,25,1,63,Main Hot Entree #1,Protein,Breakfast
Tikka Masala Sauce (ounce),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Main Hot Entree #1,Vegetable,Lunch
Yellow Peach (Each),59,0,0,0,0,14,2,13,0,1,489,10,0,9,0,285,Sides,Fruit,Lunch
"Cheese, Shredded, Cheddar (Cup)",320,24,16,80,808,8,0,0,0,32,0,0,0,0,0,0,Salad Bar Entree,Protein,Lunch
"Pasta, Penne (Prepared) (1/2 cup cooked)",95,1,0,0,9,20,2,1,0,4,0,0,0,12,1,90,Main Hot Entree #1,Grain,Lunch
"Patty, Chicken, Spicy, Breaded (Patty)",57,2,0,10,99,5,0,0,0,4,2,0,0,0,0,0,Salad Bar Entree,Protein,Lunch
"Turkey,  Breast, Pre-Sliced, Oven Roasted (6 Slices)",80,2,0,40,466,0,0,0,0,18,0,0,0,0,0,142,Salad Bar Entree,Protein,Lunch
"Peppers, Green, Whole (1/4 cup)",6,0,0,0,1,1,0,0,0,0,116,25,0,3,0,55,Sides,Vegetable,Lunch
"Pasta, Penne (Prepared) (cup cooked)",190,2,0,0,18,40,4,2,0,8,0,0,0,12,2,180,Main Hot Entree #1,Grain,Lunch
"Chicken, Diced (1/2 cup)",93,2,0,47,248,1,0,0,0,17,0,0,0,0,0,186,PreK,Protein,Lunch
"Patty, Chicken, Breaded, WG (Serving)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Salad Bar Entree,Protein,Lunch
Grape Tomatoes (2 Tablespoons),5,0,0,0,1,1,0,0,0,0,238,4,0,3,0,68,Sides,Vegetable,Lunch
Coke Classic 24/12oz (Each),140,0,0,0,45,39,0,39,39,0,0,0,0,0,0,0,A La Carte,Snacks For Purchase,Lunch
Diet Coke 24/12oz (Each),0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,A La Carte,Snacks For Purchase,Lunch
Cherry Coke 24/12oz (Each),150,0,0,0,35,42,0,42,42,0,0,0,0,0,0,0,A La Carte,Snacks For Purchase,Lunch
Sprite 24/12oz (Each),140,0,0,0,65,38,0,38,38,0,0,0,0,0,0,0,A La Carte,Snacks For Purchase,Lunch
