school_name,date,identifier,name,planned_reimbursable,planned_non-reimbursable,planned_total,offered,served_reimbursable,served_non-reimbursable,served_total,served_cost,discarded_total,discarded_percent_of_offered,discarded_cost,subtotal_cost,left_over_total,left_over_percent_of_offered,left_over_cost,production_cost_total,Calories,Total Fat (g),Saturated Fat (g),Cholesterol (mg),Sodium (mg),Carbohydrate (g),Dietary Fiber (g),Total Sugars (g),Added Sugars (g),Protein (g),Vitamin A (IU),Vitamin C (mg),Vitamin D (D2 + D3) (mcg),Calcium (mg),Iron (mg),Potassium (mg),Category,Sub-Category,Served
Aldrin Elementary,5/08/2025,20038,Fat Free White Milk (Each),30,0,30,50,25,0,25,$8.25,0,0.00%,$0.00,$8.25,25,50.00%,$8.25,$16.50,90.0,0.0,0.0,5.0,130.0,13.0,0.0,12.0,0.0,9.0,160.0,0.0,3.0,310.0,0.0,410.0,Sides,Milk,Lunch
Aldrin Elementary,5/09/2025,20001,1% White Milk (Each),54,0,54,72,50,0,50,$18.00,0,0.00%,$0.00,$18.00,22,30.56%,$7.92,$25.92,110.0,3.0,2.0,10.0,125.0,13.0,0.0,12.0,0.0,8.0,150.0,0.0,3.0,300.0,0.0,410.0,Sides,Milk,Lunch
Aldrin Elementary,5/09/2025,20002,Fat Free Chocolate Milk (Each),133,0,133,150,135,0,135,$47.25,0,0.00%,$0.00,$47.25,15,10.00%,$5.25,$52.50,130.0,0.0,0.0,5.0,249.0,22.0,0.0,20.0,8.0,9.0,163.0,0.0,3.0,325.0,0.0,456.0,Sides,Milk,Lunch
Aldrin Elementary,5/09/2025,20038,Fat Free White Milk (Each),30,0,30,50,15,0,15,$4.95,0,0.00%,$0.00,$4.95,35,70.00%,$11.55,$16.50,90.0,0.0,0.0,5.0,130.0,13.0,0.0,12.0,0.0,9.0,160.0,0.0,3.0,310.0,0.0,410.0,Sides,Milk,Lunch
Aldrin Elementary,5/12/2025,20001,1% White Milk (Each),47,0,47,72,45,0,45,$16.20,0,0.00%,$0.00,$16.20,27,37.50%,$9.72,$25.92,110.0,3.0,2.0,10.0,125.0,13.0,0.0,12.0,0.0,8.0,150.0,0.0,3.0,300.0,0.0,410.0,Sides,Milk,Lunch
Aldrin Elementary,5/12/2025,20002,Fat Free Chocolate Milk (Each),137,0,137,155,132,0,132,$46.20,0,0.00%,$0.00,$46.20,23,14.84%,$8.05,$54.25,130.0,0.0,0.0,5.0,249.0,22.0,0.0,20.0,8.0,9.0,163.0,0.0,3.0,325.0,0.0,456.0,Sides,Milk,Lunch
Aldrin Elementary,5/12/2025,20038,Fat Free White Milk (Each),17,0,17,50,15,0,15,$4.95,0,0.00%,$0.00,$4.95,35,70.00%,$11.55,$16.50,90.0,0.0,0.0,5.0,130.0,13.0,0.0,12.0,0.0,9.0,160.0,0.0,3.0,310.0,0.0,410.0,Sides,Milk,Lunch
Aldrin Elementary,5/13/2025,20001,1% White Milk (Each),47,0,47,70,42,0,42,$15.12,0,0.00%,$0.00,$15.12,28,40.00%,$10.08,$25.20,110.0,3.0,2.0,10.0,125.0,13.0,0.0,12.0,0.0,8.0,150.0,0.0,3.0,300.0,0.0,410.0,Sides,Milk,Lunch
Aldrin Elementary,5/13/2025,20002,Fat Free Chocolate Milk (Each),137,0,137,155,143,0,143,$50.05,0,0.00%,$0.00,$50.05,12,7.74%,$4.20,$54.25,130.0,0.0,0.0,5.0,249.0,22.0,0.0,20.0,8.0,9.0,163.0,0.0,3.0,325.0,0.0,456.0,Sides,Milk,Lunch
Aldrin Elementary,5/13/2025,20038,Fat Free White Milk (Each),17,0,17,50,20,0,20,$6.60,0,0.00%,$0.00,$6.60,30,60.00%,$9.90,$16.50,90.0,0.0,0.0,5.0,130.0,13.0,0.0,12.0,0.0,9.0,160.0,0.0,3.0,310.0,0.0,410.0,Sides,Milk,Lunch
Aldrin Elementary,5/14/2025,20001,1% White Milk (Each),47,0,47,71,40,0,40,$14.40,0,0.00%,$0.00,$14.40,31,43.66%,$11.16,$25.56,110.0,3.0,2.0,10.0,125.0,13.0,0.0,12.0,0.0,8.0,150.0,0.0,3.0,300.0,0.0,410.0,Sides,Milk,Lunch
Aldrin Elementary,5/14/2025,20002,Fat Free Chocolate Milk (Each),137,0,137,150,135,0,135,$47.25,0,0.00%,$0.00,$47.25,15,10.00%,$5.25,$52.50,130.0,0.0,0.0,5.0,249.0,22.0,0.0,20.0,8.0,9.0,163.0,0.0,3.0,325.0,0.0,456.0,Sides,Milk,Lunch
Aldrin Elementary,5/14/2025,20038,Fat Free White Milk (Each),17,0,17,50,15,0,15,$4.95,0,0.00%,$0.00,$4.95,35,70.00%,$11.55,$16.50,90.0,0.0,0.0,5.0,130.0,13.0,0.0,12.0,0.0,9.0,160.0,0.0,3.0,310.0,0.0,410.0,Sides,Milk,Lunch
Aldrin Elementary,5/15/2025,20001,1% White Milk (Each),47,0,47,66,50,0,50,$18.00,0,0.00%,$0.00,$18.00,16,24.24%,$5.76,$23.76,110.0,3.0,2.0,10.0,125.0,13.0,0.0,12.0,0.0,8.0,150.0,0.0,3.0,300.0,0.0,410.0,Sides,Milk,Lunch
Aldrin Elementary,5/15/2025,20002,Fat Free Chocolate Milk (Each),137,0,137,230,155,0,155,$54.25,0,0.00%,$0.00,$54.25,75,32.61%,$26.25,$80.50,130.0,0.0,0.0,5.0,249.0,22.0,0.0,20.0,8.0,9.0,163.0,0.0,3.0,325.0,0.0,456.0,Sides,Milk,Lunch
Aldrin Elementary,5/15/2025,20038,Fat Free White Milk (Each),17,0,17,50,15,0,15,$4.95,0,0.00%,$0.00,$4.95,35,70.00%,$11.55,$16.50,90.0,0.0,0.0,5.0,130.0,13.0,0.0,12.0,0.0,9.0,160.0,0.0,3.0,310.0,0.0,410.0,Sides,Milk,Lunch
Aldrin Elementary,5/16/2025,20001,1% White Milk (Each),47,0,47,75,57,0,57,$20.52,0,0.00%,$0.00,$20.52,18,24.00%,$6.48,$27.00,110.0,3.0,2.0,10.0,125.0,13.0,0.0,12.0,0.0,8.0,150.0,0.0,3.0,300.0,0.0,410.0,Sides,Milk,Lunch
Aldrin Elementary,5/16/2025,20002,Fat Free Chocolate Milk (Each),137,0,137,155,148,0,148,$51.80,0,0.00%,$0.00,$51.80,7,4.52%,$2.45,$54.25,130.0,0.0,0.0,5.0,249.0,22.0,0.0,20.0,8.0,9.0,163.0,0.0,3.0,325.0,0.0,456.0,Sides,Milk,Lunch
Aldrin Elementary,5/16/2025,20038,Fat Free White Milk (Each),17,0,17,50,15,0,15,$4.95,0,0.00%,$0.00,$4.95,35,70.00%,$11.55,$16.50,90.0,0.0,0.0,5.0,130.0,13.0,0.0,12.0,0.0,9.0,160.0,0.0,3.0,310.0,0.0,410.0,Sides,Milk,Lunch
Aldrin Elementary,5/19/2025,20001,1% White Milk (Each),45,0,45,72,55,0,55,$19.80,0,0.00%,$0.00,$19.80,17,23.61%,$6.12,$25.92,110.0,3.0,2.0,10.0,125.0,13.0,0.0,12.0,0.0,8.0,150.0,0.0,3.0,300.0,0.0,410.0,Sides,Milk,Lunch
Aldrin Elementary,5/19/2025,20002,Fat Free Chocolate Milk (Each),140,0,140,150,135,0,135,$47.25,0,0.00%,$0.00,$47.25,15,10.00%,$5.25,$52.50,130.0,0.0,0.0,5.0,249.0,22.0,0.0,20.0,8.0,9.0,163.0,0.0,3.0,325.0,0.0,456.0,Sides,Milk,Lunch
Aldrin Elementary,5/19/2025,20038,Fat Free White Milk (Each),19,0,19,50,25,0,25,$8.25,0,0.00%,$0.00,$8.25,25,50.00%,$8.25,$16.50,90.0,0.0,0.0,5.0,130.0,13.0,0.0,12.0,0.0,9.0,160.0,0.0,3.0,310.0,0.0,410.0,Sides,Milk,Lunch
