Item Name,Leftover Rate (%),Total Left Over,Total Offered
"Waffle (Grain), Belgian, Buttery Maple, Bulk (Waffle)",6.2,16.0,258
Turkey & Cheese on Biscuit (Sandwich),6.13,22.0,359
Chicken Tenders (3 tenders),5.73,67.0,1169
Chicken Tenders Sub (Sandwich),4.5,17.0,378
Chilled Mandarin Oranges (1/2 cup (drained)),4.17,180.0,4317
IW Applesauce Cup (Each),3.87,86.0,2220
Applesauce (1/2 Cup),3.3,241.0,7296
Maple Belgian Waffle (Waffle),3.18,15.0,472
Hot Turkey & Cheese (sandwich),2.56,4.0,156
Chilled Peaches (1/2 cup),2.53,8.0,316
Orange Slices (3 slices per 1/4 cup),2.08,208.0,9985
Chilled Pineapple (1/2 cup),1.71,63.0,3683
"Frozen Berry, Triple Berry Blend (1/2 cup (thawed))",1.48,37.0,2501
Whole Wheat Dinner Roll (2 rolls),1.42,4.0,282
Chilled Peaches (1/2 cup (drained)),1.32,161.0,12182
Orange Slices (6 Slices per 1/2 cup),1.02,11.0,1083
"Applesauce, IW, Cinnamon. Unsweetened, Shelf-Stable (SUB) (Each)",0.44,1.0,226
"Milk, Soy, Plain, Bulk (12/32 oz) (1 cup)",0.33,1.0,305
Whole Strawberries (1/2 cup thawed),0.13,2.0,1537
"-Peas and Diced Carrots, Frozen (1/2 cup)",0.0,0.0,2
Strawberry Chex Mix (Package),0.0,0.0,16
"Plums, Red, Whole (Each)",0.0,0.0,26
Oat Milk (Each),0.0,0.0,5
Mandarin Orange Pepper Fruit Salsa (1 TBSP),0.0,0.0,32
Manager's Vegetable Choice (1/2 cup),0.0,0.0,49
"Egg, Hard Boiled, Bulk pouch (Each)",0.0,0.0,15
Chilled Pineapple (1/4 cup),0.0,0.0,17
Cheeseburger (Sandwich),0.0,0.0,16
"Cheese, American, Sliced (Slice)",0.0,0.0,15
"Bread, Hamburger Bun (Bun)",0.0,0.0,121
Applesauce (1/4 cup),0.0,0.0,17
"Apple Slices (6 Slices, 1/2 cup)",0.0,0.0,96
Apple Slices (6 Slices per 1/2 cup),0.0,0.0,126
Whole Wheat Dinner Roll (Each),0.0,0.0,200
