school_name,name,left_over_total,offered_reimbursable,leftover_rate
Armstrong Elementary,Asian Meatball Sub (sandwich),0,130,0.0
Armstrong Elementary,Asian Veggie Sub (sandwich),0,23,0.0
Armstrong Elementary,BBQ Chicken Drumstick (Drumstick),0,70,0.0
Armstrong Elementary,BBQ Chickenless Bites (4 bites),0,27,0.0
Armstrong Elementary,Baked Cheese Sticks (2 Cheese Sticks),0,90,0.0
Armstrong Elementary,Bean and Cheese Pupusa (Pupusa),0,20,0.0
Armstrong Elementary,"Bread, Loco (1/2 piece)",0,20,0.0
Armstrong Elementary,"Bread, Loco (flatbread)",0,6,0.0
Armstrong Elementary,"Carrots, Shredded (Cup)",0,33,0.0
Armstrong Elementary,Celery Sticks (1/2 cup),0,78,0.0
Armstrong Elementary,Celery Sticks (1/4 cup),0,449,0.0
Armstrong Elementary,Chana Masala (1/2 cup),0,12,0.0
Armstrong Elementary,Cheese Quesadilla (Quesadilla),0,20,0.0
Armstrong Elementary,Cheeseburger (Sandwich),0,10,0.0
Armstrong Elementary,Cherry Tomatoes (1/4 cup),0,388,0.0
Armstrong Elementary,Chicken & Vegetable Dumplings (6 dumplings),0,0,0.0
Armstrong Elementary,Chicken Masala Drumstick (Drumstick),0,128,0.0
Armstrong Elementary,Chicken Tenders Sub (Sandwich),0,45,0.0
Armstrong Elementary,"Chicken, Wings, Pre-Cooked (3 Wings)",0,15,0.0
Armstrong Elementary,Chickenless Bites (2 Bites),0,116,0.0
Armstrong Elementary,Chickpeas (1/2 cup),0,2,0.0
Armstrong Elementary,Chickpeas (1/4 cup),0,263,0.0
Armstrong Elementary,Chickpeas - salad bar entree (1/2 cup),0,50,0.0
Armstrong Elementary,Chilled Mandarin Oranges (1/4 cup (drained)),0,170,0.0
Armstrong Elementary,Chilled Peaches (1/4 cup (drained)),0,0,0.0
Armstrong Elementary,Cooked  Brown Rice (1 cup cooked),0,23,0.0
Armstrong Elementary,Cooked  Brown Rice (1/2 cup cooked),0,286,0.0
Armstrong Elementary,Corn (1/4 cup (cooked)),0,90,0.0
Armstrong Elementary,Corn (1/4 cup (thawed)),0,80,0.0
Armstrong Elementary,Cucumber Slices (1/4 cup),0,32,0.0
Armstrong Elementary,"Cucumbers (1/4 cup sliced, 3 slices)",0,95,0.0
Armstrong Elementary,Fish Tacos (2 Tacos),0,117,0.0
Armstrong Elementary,"Frozen Berry, Triple Berry Blend (1/4 cup (thawed))",0,118,0.0
Armstrong Elementary,"Frozen, Blueberries (1/2 cup)",0,40,0.0
Armstrong Elementary,Grilled Cheese Sandwich (Sandwich),0,68,0.0
Armstrong Elementary,Hamburger (Sandwich),0,100,0.0
Armstrong Elementary,Lettuce Blend Salad Mix (1 cup),0,100,0.0
Armstrong Elementary,Lettuce Blend Salad Mix (1/2 cup),0,1495,0.0
Armstrong Elementary,Manager's Vegetable Choice (1/4 cup),0,0,0.0
Armstrong Elementary,Mandarin Orange Pepper Fruit Salsa (1 TBSP),0,30,0.0
Armstrong Elementary,Marinara Sauce (1/2 cup),0,65,0.0
Armstrong Elementary,Nachos with Black Beans and Cheese Sauce (Serving),0,2,0.0
Armstrong Elementary,Nachos with Cheese Sauce (Serving),0,65,0.0
Armstrong Elementary,Nachos with Turkey Barbacoa and Cheese Sauce (Serving),0,144,0.0
Armstrong Elementary,Natural Breakfast Syrup (Each),0,35,0.0
Armstrong Elementary,Orange (1/4 cup),0,277,0.0
Armstrong Elementary,Orange Chicken (4 Bites w/ 1oz sauce),0,108,0.0
Armstrong Elementary,Orange Chickenless Bites (4 bites),0,50,0.0
Armstrong Elementary,Orange Flavored Dried Cranberries (Each),0,0,0.0
Armstrong Elementary,Orange Sauce (ounce),0,50,0.0
Armstrong Elementary,Original Flavored Dried Cranberries (Package),0,0,0.0
Armstrong Elementary,"Penne Pasta with Marinara and Beef Meatballs (cup cooked pasta, 1/2c sauce, 5 meatballs)",0,80,0.0
Armstrong Elementary,"Peppers, green, pre-sliced (1/4 cup sliced)",0,60,0.0
Armstrong Elementary,"Peppers, red, pre-sliced (1/4 cup sliced)",0,130,0.0
Armstrong Elementary,Potato Wedges (7 pieces),0,80,0.0
Armstrong Elementary,Pumpkin Bread (1 square),0,20,0.0
Armstrong Elementary,Red Seedless Grapes (8 grapes per 1/4 cup),0,432,0.0
Armstrong Elementary,Roasted Plantains (3 Slices),0,65,0.0
Armstrong Elementary,"Sauce, Spicy Mayo (tbsp)",0,60,0.0
Armstrong Elementary,Sour Cream (2 Tablespoons),0,75,0.0
Armstrong Elementary,Steamed Broccoli (1/2 cup),0,50,0.0
Armstrong Elementary,Strawberry Chex Mix (Package),0,93,0.0
Armstrong Elementary,Strawberry Flavored Dried Cranberries (Each),0,0,0.0
Armstrong Elementary,Strawberry Parfait (Parfait),0,4,0.0
Armstrong Elementary,Sub Roll (Sub Roll),0,16,0.0
Armstrong Elementary,Tex Mex Corn (1/2 cup),0,100,0.0
Armstrong Elementary,Turkey Barbacoa Arepa (1 Arepa + #10 scoop of turkey barbacoa),0,35,0.0
Armstrong Elementary,Turkey Pepperoni Pizza (1.37 oz),0,6,0.0
Armstrong Elementary,Vegan Burger (Sandwich),0,12,0.0
Armstrong Elementary,Vegetable Dumpling (6 dumplings),0,44,0.0
Armstrong Elementary,Watermelon Flavored Dried Cranberries (Each),0,0,0.0
Armstrong Elementary,Whole Strawberries (1/4 cup thawed),0,30,0.0
Armstrong Elementary,Whole Wheat Dinner Roll (2 rolls),0,32,0.0
Armstrong Elementary,Whole Wheat Dinner Roll (Each),0,82,0.0
Baileys Lower Elementary,Orange Flavored Dried Cranberries (Each),29,60,48.333333333333336
Baileys Lower Elementary,Fat Free White Milk (Each),420,923,45.50379198266522
Baileys Lower Elementary,"Sauce, Spicy Mayo (tbsp)",18,40,45.0
Baileys Lower Elementary,Italian Dressing (1 ounce),546,1239,44.06779661016949
Baileys Lower Elementary,"Sauce, BBQ, HFCS-Free, Bulk, Low-Sodium (2 TBSP)",28,72,38.88888888888889
Baileys Lower Elementary,Strawberry Flavored Dried Cranberries (Each),46,120,38.333333333333336
Baileys Lower Elementary,Mustard Packet (Packet),120,323,37.15170278637771
Baileys Lower Elementary,Cherry Flavored Dried Cranberries (Each),58,160,36.25
Baileys Lower Elementary,Mayonnaise Packet (Packet),105,323,32.50773993808049
Baileys Lower Elementary,Watermelon Flavored Dried Cranberries (Each),287,898,31.95991091314031
Baileys Lower Elementary,Raspberry Lemonade Flavored Dried Cranberries (Each),20,65,30.76923076923077
Baileys Lower Elementary,Black Beans (1/4 Cup),57,210,27.142857142857142
Baileys Lower Elementary,Arepa w/Taco Beef (1 Aprea + #8 scoop of beef),31,120,25.833333333333336
Baileys Lower Elementary,Chickpeas (1/4 cup),147,600,24.5
Baileys Lower Elementary,Ranch Dressing (1 ounce),393,1630,24.11042944785276
Baileys Lower Elementary,Peach Yogurt Power Pack (Power Packs),109,458,23.799126637554586
Baileys Lower Elementary,Cherry Vanilla Yogurt Power Pack (Power Packs),78,344,22.674418604651162
Baileys Lower Elementary,Strawberry & Banana Yogurt Power Pack (Power Packs),59,272,21.691176470588236
Baileys Lower Elementary,Fat Free Chocolate Milk (Each),2167,10552,20.53639120545868
Baileys Lower Elementary,1% White Milk (Each),1108,5463,20.281896393922754
Baileys Lower Elementary,PB&J Power Pack (Power Packs),493,2882,17.10617626648161
Baileys Lower Elementary,"Patty, Chicken, Breaded, WG (2 strips)",87,509,17.092337917485263
Baileys Lower Elementary,Baby Carrots (6 Baby Carrots per 1/2 cup),66,550,12.0
Baileys Lower Elementary,Fish Tacos (2 Tacos),22,262,8.396946564885496
Baileys Lower Elementary,Corn (1/4 cup (thawed)),85,1024,8.30078125
Baileys Lower Elementary,Golden Delicious Apple (Each),41,500,8.200000000000001
Baileys Lower Elementary,Manager's Vegetable Choice (1/4 cup),296,3744,7.905982905982905
Baileys Lower Elementary,Gala Apple (Each),18,250,7.199999999999999
Baileys Lower Elementary,Ketchup Packet (Packet),45,738,6.097560975609756
Baileys Lower Elementary,Cucumber Slices (1/4 cup),34,578,5.88235294117647
Baileys Lower Elementary,"Quesadilla, Turkey Barbacoa and Cheese (Quesadilla)",14,257,5.447470817120623
Baileys Lower Elementary,Cherry Tomatoes (1/4 cup),35,648,5.401234567901234
Baileys Lower Elementary,Broccoli Florets (1/4 cup),38,706,5.382436260623229
Baileys Lower Elementary,Orange Slices (3 slices per 1/4 cup),170,3825,4.444444444444445
Baileys Lower Elementary,Potato Wedges (7 pieces),10,260,3.8461538461538463
Baileys Lower Elementary,Nachos with Cheese Sauce (Serving),12,325,3.6923076923076925
Baileys Lower Elementary,Apple Slices (3 slices per 1/4 cup),196,5405,3.62627197039778
Baileys Lower Elementary,Whole Wheat Dinner Roll (2 rolls),50,1402,3.566333808844508
Baileys Lower Elementary,Cooked  Brown Rice (1/2 cup cooked),40,1190,3.361344537815126
Baileys Lower Elementary,Cheese Quesadilla (Quesadilla),10,336,2.976190476190476
Baileys Lower Elementary,Red Seedless Grapes (8 grapes per 1/4 cup),30,1248,2.403846153846154
Baileys Lower Elementary,Red Delicious Apple (Each - serving),39,1769,2.2046353872244207
Baileys Lower Elementary,Chicken Tenders (3 tenders),25,1300,1.9230769230769231
Baileys Lower Elementary,Banana (Each),54,2812,1.9203413940256047
Baileys Lower Elementary,Ranch Dressing Packet (Packet),4,225,1.7777777777777777
Baileys Lower Elementary,Lettuce Blend Salad Mix (1/2 cup),35,2775,1.2612612612612613
Baileys Lower Elementary,1% Unflavored Shelf-Stable Milk (Each),2,215,0.9302325581395349
Baileys Lower Elementary,Grilled Cheese Sandwich (Sandwich),2,293,0.6825938566552902
Baileys Lower Elementary,Baby Carrots (3 baby carrots per 1/4 cup),2,339,0.5899705014749262
Baileys Lower Elementary,Bean and Cheese Pupusa (Pupusa),2,436,0.45871559633027525
Baileys Lower Elementary,Alfredo & Basil Lasagna (Each),0,116,0.0
Baileys Lower Elementary,Apple Cinnamon Spread (Each),0,318,0.0
Baileys Lower Elementary,Apple Slices (6 Slices per 1/2 cup),0,432,0.0
Baileys Lower Elementary,Applesauce (1/2 Cup),0,398,0.0
Baileys Lower Elementary,Asian Meatball Sub (sandwich),0,507,0.0
Baileys Lower Elementary,Asian Veggie Sub (sandwich),0,485,0.0
Baileys Lower Elementary,BBQ Vegan Burger (Sandwich),0,1,0.0
Baileys Lower Elementary,Baked Cheese Sticks (2 Cheese Sticks),0,162,0.0
Baileys Lower Elementary,Beef Meatball Sub Sandwich (Sandwich),0,297,0.0
Baileys Lower Elementary,Black Beans (1/2 Cup),0,170,0.0
Baileys Lower Elementary,Black Beans - salad bar entree (1/2 cup),0,8,0.0
Baileys Lower Elementary,"Bread, Loco (1/2 piece)",0,30,0.0
