school_name,name,left_over_total,offered_reimbursable,leftover_rate
Fox Mill Elementary,Mayonnaise Packet (Packet),0,0,0.0
Fox Mill Elementary,Mustard Packet (Packet),0,0,0.0
Fox Mill Elementary,Nachos with Black Beans and Cheese Sauce (Serving),0,5,0.0
Fox Mill Elementary,Nachos with Cheese Sauce (Serving),0,163,0.0
Fox Mill Elementary,Natural Breakfast Syrup (Each),0,0,0.0
Fox Mill Elementary,Orange Chicken (4 Bites w/ 1oz sauce),0,173,0.0
Fox Mill Elementary,Orange Flavored Dried Cranberries (Each),0,0,0.0
Fox Mill Elementary,Orange Sauce (ounce),0,60,0.0
Fox Mill Elementary,Original Flavored Dried Cranberries (Package),0,0,0.0
Fox Mill Elementary,Potato Wedges (7 pieces),0,0,0.0
Fox Mill Elementary,Raspberry Lemonade Flavored Dried Cranberries (Each),0,0,0.0
Fox Mill Elementary,"Salsa, Mild Canned (1.5 oz)",0,0,0.0
Fox Mill Elementary,"Sauce, Spicy Mayo (tbsp)",0,0,0.0
Fox Mill Elementary,Soft Pretzel (1 pretzel),0,0,0.0
Fox Mill Elementary,Sour Cream (2 Tablespoons),0,45,0.0
Fox Mill Elementary,Steamed Broccoli (1/2 cup),0,0,0.0
Fox Mill Elementary,Strawberry Flavored Dried Cranberries (Each),0,0,0.0
Fox Mill Elementary,Tex Mex Corn (1/2 cup),0,35,0.0
Fox Mill Elementary,Turkey Pepperoni Pizza (Slice),0,492,0.0
Fox Mill Elementary,Vegan Burger (Sandwich),0,0,0.0
Fox Mill Elementary,Whole Strawberries (1/2 cup thawed),0,0,0.0
Franconia Elementary,1% White Milk (Each),1394,1738,80.20713463751439
Franconia Elementary,Orange Sauce (ounce),37,50,74.0
Franconia Elementary,Fat Free White Milk (Each),861,1189,72.41379310344827
Franconia Elementary,Mustard Packet (Packet),12,20,60.0
Franconia Elementary,Fat Free Chocolate Milk (Each),2842,5590,50.84078711985689
Franconia Elementary,"Sauce, Spicy Mayo (tbsp)",12,24,50.0
Franconia Elementary,Vegan Burger (Sandwich),2,5,40.0
Franconia Elementary,Bean and Cheese Pupusa (Pupusa),22,70,31.428571428571427
Franconia Elementary,Grilled Cheese Sandwich (Sandwich),24,77,31.16883116883117
Franconia Elementary,"Bread, Loco (1/2 piece)",53,180,29.444444444444446
Franconia Elementary,Whole Wheat Dinner Roll (Each),51,180,28.333333333333332
Franconia Elementary,Italian Dressing (1 ounce),116,418,27.751196172248804
Franconia Elementary,Golden Delicious Apple (Each),236,986,23.935091277890468
Franconia Elementary,Soft Pretzel (1 pretzel),120,541,22.181146025878004
Franconia Elementary,Orange Chickenless Bites (4 bites),28,130,21.53846153846154
Franconia Elementary,Ketchup Packet (Packet),150,700,21.428571428571427
Franconia Elementary,Watermelon Flavored Dried Cranberries (Each),30,140,21.428571428571427
Franconia Elementary,Strawberry & Banana Yogurt Power Pack (Power Packs),132,633,20.85308056872038
Franconia Elementary,Turkey Barbacoa Arepa (1 Arepa + #10 scoop of turkey barbacoa),7,35,20.0
Franconia Elementary,Orange Chicken (4 Bites w/ 1oz sauce),18,100,18.0
Franconia Elementary,Fish Tacos (2 Tacos),7,43,16.27906976744186
Franconia Elementary,Black Beans (1/4 Cup),22,138,15.942028985507244
Franconia Elementary,Chickenless Bites (2 Bites),31,210,14.761904761904763
Franconia Elementary,Beef Meatball Sub Sandwich (Sandwich),27,187,14.43850267379679
Franconia Elementary,Marinara Sauce (1/2 cup),7,50,14.000000000000002
Franconia Elementary,Black Beans (1/2 Cup),9,66,13.636363636363635
Franconia Elementary,"Peppers, green, pre-sliced (1/2 cup sliced)",14,105,13.333333333333334
Franconia Elementary,Gala Apple (Each),65,493,13.184584178498987
Franconia Elementary,Chickenless Bites (4 Bites),15,115,13.043478260869565
Franconia Elementary,Red Delicious Apple (Each - serving),21,161,13.043478260869565
Franconia Elementary,Ranch Dressing (1 ounce),120,936,12.82051282051282
Franconia Elementary,Cooked  Brown Rice (1/2 cup cooked),51,460,11.08695652173913
Franconia Elementary,Chicken Masala Drumstick (Drumstick),13,126,10.317460317460316
Franconia Elementary,Baby Carrots (3 baby carrots per 1/4 cup),50,504,9.920634920634921
Franconia Elementary,Raspberry Lemonade Flavored Dried Cranberries (Each),14,153,9.15032679738562
Franconia Elementary,PB&J Power Pack (Power Packs),105,1156,9.083044982698961
Franconia Elementary,"Penne Pasta with Marinara and Beef Meatballs (cup cooked pasta, 1/2c sauce, 5 meatballs)",6,70,8.571428571428571
Franconia Elementary,Chickpeas (1/4 cup),43,525,8.190476190476192
Franconia Elementary,Steamed Broccoli (1/2 cup),3,42,7.142857142857142
Franconia Elementary,Nachos with Turkey Barbacoa and Cheese Sauce (Serving),7,100,7.000000000000001
Franconia Elementary,Alfredo & Basil Lasagna (Each),7,102,6.862745098039216
Franconia Elementary,Banana (Each),29,425,6.8235294117647065
Franconia Elementary,"Salsa, Mild Canned (1.5 oz)",13,191,6.806282722513089
Franconia Elementary,Asian Veggie Sub (sandwich),12,180,6.666666666666667
Franconia Elementary,Celery Sticks (1/2 cup),9,142,6.338028169014084
Franconia Elementary,Cherry Flavored Dried Cranberries (2 Eaches),9,143,6.293706293706294
Franconia Elementary,Baked Cheese Sticks (2 Cheese Sticks),11,196,5.612244897959184
Franconia Elementary,Cherry Flavored Dried Cranberries (Each),10,180,5.555555555555555
Franconia Elementary,Turkey Pepperoni Pizza (Slice),20,369,5.420054200542006
Franconia Elementary,BBQ Chicken Drumstick (Drumstick),4,80,5.0
Franconia Elementary,Asian Meatball Sub (sandwich),10,203,4.926108374384237
Franconia Elementary,Corn (1/4 cup (thawed)),12,256,4.6875
Franconia Elementary,Baby Carrots (6 Baby Carrots per 1/2 cup),4,96,4.166666666666666
Franconia Elementary,Nachos with Cheese Sauce (Serving),5,120,4.166666666666666
Franconia Elementary,Chicken Tenders (3 tenders),19,463,4.103671706263499
Franconia Elementary,Chicken & Vegetable Dumplings (6 dumplings),4,100,4.0
Franconia Elementary,Manager's Vegetable Choice (1/4 cup),60,1633,3.6742192284139623
Franconia Elementary,Cheese Pizza (Slice),26,772,3.3678756476683938
Franconia Elementary,Chana Masala (1/2 cup),1,30,3.3333333333333335
Franconia Elementary,Potato Wedges (7 pieces),6,200,3.0
Franconia Elementary,Cheeseburger (Sandwich),5,167,2.9940119760479043
Franconia Elementary,Lettuce Blend Salad Mix (1/2 cup),25,1180,2.11864406779661
Franconia Elementary,Orange (1/4 cup),4,232,1.7241379310344827
Franconia Elementary,Apple Slices (3 slices per 1/4 cup),6,482,1.2448132780082988
Franconia Elementary,Orange Slices (3 slices per 1/4 cup),27,2237,1.206973625391149
Franconia Elementary,Cucumber Slices (1/4 cup),4,414,0.966183574879227
Franconia Elementary,Cherry Tomatoes (1/4 cup),5,576,0.8680555555555556
Franconia Elementary,Red Seedless Grapes (16 grapes per 1/2 cup),9,1152,0.78125
Franconia Elementary,Broccoli Florets (1/4 cup),1,231,0.4329004329004329
Franconia Elementary,Red Seedless Grapes (8 grapes per 1/4 cup),1,368,0.2717391304347826
Franconia Elementary,Apple Juice (Each),0,263,0.0
Franconia Elementary,"Apple Slices (3 slices, 1/4 cup)",0,340,0.0
Franconia Elementary,Assorted  4 oz Yogurt (Container),0,0,0.0
Franconia Elementary,Black Beans - salad bar entree (1/2 cup),0,12,0.0
Franconia Elementary,Blueberry Bread (1 square),0,200,0.0
Franconia Elementary,Bottled Water (Bottle),0,142,0.0
Franconia Elementary,Cheddar Chex Mix (Package),0,48,0.0
Franconia Elementary,Cheese Quesadilla (Quesadilla),0,80,0.0
Franconia Elementary,Cheez-Its Crackers (Package),0,104,0.0
Franconia Elementary,Cherry Vanilla Yogurt Power Pack (Power Packs),0,0,0.0
Franconia Elementary,Chickpeas - salad bar entree (1/2 cup),0,24,0.0
Franconia Elementary,Chilled Mandarin Oranges (1/4 cup (drained)),0,0,0.0
Franconia Elementary,Chocolate Chip Cookie (1/2 Cookie),0,241,0.0
Franconia Elementary,Chocolate Chip Cookie (Cookie),0,304,0.0
Franconia Elementary,Doritos Wild White Nacho Flavored Tortilla Chips (Bag),0,22,0.0
Franconia Elementary,Fresh Whole Pear (Each),0,0,0.0
Franconia Elementary,IW Heartzels Pretzels (Package),0,86,0.0
Franconia Elementary,Manager's Vegetable Choice (1/2 cup),0,23,0.0
Franconia Elementary,Mayonnaise Packet (Packet),0,0,0.0
Franconia Elementary,Nachos with Black Beans and Cheese Sauce (Serving),0,1,0.0
Franconia Elementary,Orange Flavored Dried Cranberries (Each),0,0,0.0
Franconia Elementary,Orange Tangerine Juice (Each),0,262,0.0
Franconia Elementary,Original Flavored Dried Cranberries (Package),0,0,0.0
Franconia Elementary,Peach Yogurt Power Pack (Power Packs),0,0,0.0
Franconia Elementary,Roasted Plantains (6 Slices),0,0,0.0
Franconia Elementary,Smartfood RF White Cheddar Popcorn (Each),0,131,0.0
Franconia Elementary,Sour Cream (2 Tablespoons),0,0,0.0
Franconia Elementary,Strawberry Chex Mix (Package),0,82,0.0
Franconia Elementary,Strawberry Flavored Dried Cranberries (Each),0,0,0.0
Franconia Elementary,String Cheese (Each),0,2,0.0
Franconia Elementary,Tex Mex Corn (1/2 cup),0,64,0.0
Franconia Elementary,Turkey Pepperoni Pizza (1.37 oz),0,4,0.0
Franklin Middle,String Cheese (1 Stick),8,8,100.0
Franklin Middle,String Cheese (Each),101,118,85.59322033898306
Franklin Middle,Assorted  4 oz Yogurt (Container),104,123,84.5528455284553
Franklin Middle,Whole Wheat Dinner Roll (Each),25,32,78.125
Franklin Middle,Corn (1/4 cup (thawed)),96,128,75.0
Franklin Middle,Chickpeas (1/2 cup),128,176,72.72727272727273
Franklin Middle,Italian Dressing (1 ounce),697,960,72.60416666666667
Franklin Middle,1% White Milk (Each),1598,2210,72.3076923076923
Franklin Middle,"Salsa, Mild Canned (2 Tablespoons)",34,48,70.83333333333334
Franklin Middle,Fat Free White Milk (Each),1507,2219,67.91347453808022
Franklin Middle,Gala Apple (Each),142,212,66.98113207547169
Franklin Middle,"Milk, Soy, Vanilla (24/8 oz) (each)",24,36,66.66666666666666
Franklin Middle,Black Beans (1/4 Cup),65,98,66.3265306122449
Franklin Middle,Fat Free Chocolate Milk (Each),8173,13028,62.73411114522567
Franklin Middle,"Sauce, BBQ, HFCS-Free, Bulk, Low-Sodium (2 TBSP)",491,816,60.17156862745098
Franklin Middle,Peach Yogurt Power Pack (Power Packs),12,20,60.0
Franklin Middle,Strawberry Parfait Power Pack (Power Pack),6,10,60.0
Franklin Middle,Sweet Thai Chili Chicken Wings (3 Wings),34,60,56.666666666666664
Franklin Middle,Spicy Chicken Wrap (Wrap),121,223,54.26008968609865
Franklin Middle,Chicken Masala Drumstick (Drumstick),25,47,53.191489361702125
Franklin Middle,Celery Sticks (1/2 cup),336,648,51.85185185185185
Franklin Middle,Fish Tacos (2 Tacos),17,33,51.515151515151516
Franklin Middle,WG Baked Funyuns (Each),319,631,50.55467511885895
Franklin Middle,Black Beans - salad bar entree (1/2 cup),82,165,49.696969696969695
Franklin Middle,Chickpeas (1/4 cup),87,176,49.43181818181818
Franklin Middle,Strawberry & Banana Yogurt Power Pack (Power Packs),79,164,48.170731707317074
Franklin Middle,Mayonnaise Packet (Packet),814,1700,47.88235294117647
Franklin Middle,Broccoli Florets (1/4 cup),496,1058,46.880907372400756
Franklin Middle,Mustard Packet (Packet),669,1445,46.29757785467128
Franklin Middle,Orange Chickenless Bites (4 bites),11,24,45.83333333333333
Franklin Middle,"Milk, Lactose Free,  Fat Free, Shelf-Stable (Each)",17,39,43.58974358974359
Franklin Middle,Soft Pretzel (1 pretzel),108,248,43.54838709677419
Franklin Middle,Baby Carrots (3 baby carrots per 1/4 cup),552,1272,43.39622641509434
Franklin Middle,Chickpeas - salad bar entree (1/2 cup),96,225,42.66666666666667
Franklin Middle,Kettle Cooked Smoky BBQ Chips (Each),141,333,42.34234234234234
Franklin Middle,Turkey Barbacoa Arepa (1 Arepa + #10 scoop of turkey barbacoa),19,45,42.22222222222222
Franklin Middle,Apple Juice (Each),151,363,41.59779614325069
Franklin Middle,PB&J Power Pack (Power Packs),906,2224,40.73741007194245
Franklin Middle,SS Cheetos Fantastix Flaming Hot (Each),62,165,37.57575757575757
Franklin Middle,Turkey & Cheese on Sub Roll (sandwich),21,56,37.5
Franklin Middle,Black Beans (1/2 Cup),49,132,37.121212121212125
Franklin Middle,Cheez-Its Crackers (Package),107,289,37.0242214532872
Franklin Middle,Orange Tangerine Juice (Each),72,197,36.54822335025381
Franklin Middle,Red Delicious Apple (Each - serving),561,1677,33.452593917710196
Franklin Middle,Cherry Tomatoes (1/4 cup),402,1252,32.108626198083066
Franklin Middle,Smartfood RF White Cheddar Popcorn (Each),34,106,32.075471698113205
Franklin Middle,Asian Veggie Sub (sandwich),4,13,30.76923076923077
Franklin Middle,SS Baked Cheetos Flaming Limon (Each),48,157,30.573248407643312
Franklin Middle,SS Baked Cheetos Flaming Hot (Each),217,723,30.013831258644537
Franklin Middle,Doritos Flamas (Each),185,618,29.93527508090615
Franklin Middle,RF Kettle Chips Jalapeno & Cheddar Chips (Each),27,91,29.67032967032967
Franklin Middle,Cheeseburger (Sandwich),65,243,26.74897119341564
Franklin Middle,"Fruit Snacks, Welch's Mixed (Each)",363,1358,26.730486008836525
Franklin Middle,Baked Cheese Sticks (2 Cheese Sticks),255,966,26.39751552795031
Franklin Middle,Banana (Each),184,699,26.32331902718169
Franklin Middle,Vegan Burger (Sandwich),6,23,26.08695652173913
Franklin Middle,Asian Meatball Sub (sandwich),22,85,25.882352941176475
Franklin Middle,Corn (1/2 cup (cooked)),96,384,25.0
Franklin Middle,Cucumbers (1/2 cup sliced),46,184,25.0
Franklin Middle,Grape Tomatoes (1/4 cup),72,288,25.0
Franklin Middle,Golden Delicious Apple (Each),145,591,24.534686971235196
Franklin Middle,Orange Slices (3 slices per 1/4 cup),456,1880,24.25531914893617
Franklin Middle,Chocolate Chip Cookie (1/2 Cookie),112,467,23.98286937901499
Franklin Middle,Sub Roll (Sub Roll),35,150,23.333333333333332
Franklin Middle,"Salsa, Mild Canned (1.5 oz)",41,180,22.77777777777778
Franklin Middle,Sour Cream (2 Tablespoons),41,180,22.77777777777778
Franklin Middle,Ketchup Packet (Packet),1433,6325,22.65612648221344
Franklin Middle,Chickenless Bites (4 Bites),45,202,22.277227722772277
Franklin Middle,Fish  Sandwich (Sandwich),26,129,20.155038759689923
Franklin Middle,Orange (1/4 cup),2,10,20.0
Franklin Middle,Tex Mex Corn (1/2 cup),32,161,19.875776397515526
Franklin Middle,Doritos RF Nacho Cheese (Each),34,177,19.2090395480226
Franklin Middle,Nachos with Turkey Barbacoa and Cheese Sauce (Serving),71,384,18.489583333333336
Franklin Middle,"Bread, Loco (1/2 piece)",22,119,18.487394957983195
Franklin Middle,Watermelon Flavored Dried Cranberries (Each),205,1148,17.857142857142858
Franklin Middle,Chilled Mandarin Oranges (1/2 cup (drained)),231,1326,17.420814479638008
Franklin Middle,Bottled Water (Bottle),212,1295,16.37065637065637
Franklin Middle,Spicy Breaded Chicken Patty on Bun (Sandwich),176,1089,16.161616161616163
Franklin Middle,Manager's Vegetable Choice (1/4 cup),48,301,15.946843853820598
Franklin Middle,Beef Meatball Sub Sandwich (Sandwich),12,80,15.0
Franklin Middle,Whole Wheat Dinner Roll (2 rolls),128,863,14.831981460023174
Franklin Middle,Strawberry Flavored Dried Cranberries (Each),61,416,14.663461538461538
Franklin Middle,"Frozen Berry, Triple Berry Blend (1/2 cup (thawed))",44,311,14.14790996784566
Franklin Middle,Ranch Dressing (1 ounce),173,1240,13.951612903225808
Franklin Middle,Chickenless Bites (2 Bites),18,130,13.846153846153847
Franklin Middle,Cooked  Brown Rice (1 cup cooked),34,284,11.971830985915492
Franklin Middle,Chicken & Vegetable Dumplings (6 dumplings),14,121,11.570247933884298
Franklin Middle,"Cheese Sauce, Frozen, Nacho (1/2 cup)",21,190,11.052631578947368
Franklin Middle,Turkey Pepperoni Pizza (Slice),32,290,11.03448275862069
Franklin Middle,Marinara Sauce (1/2 cup),59,540,10.925925925925926
Franklin Middle,Doritos RF Spicy Sweet Chili (Each),24,240,10.0
Franklin Middle,Nachos with Cheese Sauce (Serving),16,175,9.142857142857142
Franklin Middle,Cherry Flavored Dried Cranberries (Each),9,100,9.0
Franklin Middle,Chocolate Chip Cookie (Cookie),319,3627,8.795147504824923
Franklin Middle,Red Seedless Grapes (8 grapes per 1/4 cup),23,276,8.333333333333332
Franklin Middle,Orange Sauce (ounce),13,163,7.975460122699387
Franklin Middle,RF Kettle Chips Sea Salt & Vinegar Chips (Each),11,140,7.857142857142857
Franklin Middle,"Apple Slices (3 slices, 1/4 cup)",88,1131,7.780725022104333
Franklin Middle,Cool Ranch Reduced Fat Doritos (Each),6,78,7.6923076923076925
Franklin Middle,Cucumber Slices (1/4 cup),46,600,7.666666666666666
Franklin Middle,"Bread, Loco (flatbread)",24,320,7.5
Franklin Middle,Alfredo & Basil Lasagna (Each),10,139,7.194244604316546
Franklin Middle,Lettuce Blend Salad Mix (1/2 cup),151,2240,6.741071428571428
Franklin Middle,Pasta with Meat Sauce (serving),13,240,5.416666666666667
Franklin Middle,Marinara Sauce (1/4 Cup),12,245,4.8979591836734695
Franklin Middle,Chicken Tenders (3 tenders),38,1153,3.295750216825672
Franklin Middle,Red Seedless Grapes (16 grapes per 1/2 cup),46,1404,3.276353276353276
Franklin Middle,Roasted Plantains (6 Slices),2,75,2.666666666666667
Franklin Middle,Cheese Pizza (Slice),16,632,2.5316455696202533
Franklin Middle,Apple Slices (3 slices per 1/4 cup),0,1164,0.0
Franklin Middle,"Apple, Slices, IW - ER Supper Only (Each)",0,174,0.0
Franklin Middle,BBQ Chicken Drumstick (Drumstick),0,32,0.0
Franklin Middle,Bean and Cheese Pupusa (Pupusa),0,20,0.0
Franklin Middle,Chana Masala (1/2 cup),0,45,0.0
Franklin Middle,Cheese Quesadilla (Quesadilla),0,60,0.0
Franklin Middle,Cherry Vanilla Yogurt Power Pack (Power Packs),0,0,0.0
Franklin Middle,Chicken Eggroll (2 Egg Rolls),0,86,0.0
Franklin Middle,Chilled Mandarin Oranges (1/4 cup (drained)),0,336,0.0
Franklin Middle,Chilled Peaches (1/2 cup (drained)),0,96,0.0
Franklin Middle,Chilled Peaches (1/4 cup (drained)),0,0,0.0
Franklin Middle,"Frozen, Blueberries (1/2 cup)",0,138,0.0
Franklin Middle,"Green Beans, Frozen (1/2 cup)",0,95,0.0
Franklin Middle,Grilled Cheese Sandwich (Sandwich),0,72,0.0
Franklin Middle,Lay's RF Kettle Original Chips (Each),0,0,0.0
Franklin Middle,Mac & Cheese (2/3 cup),0,30,0.0
Franklin Middle,Mandarin Orange Pepper Fruit Salsa (1 TBSP),0,20,0.0
Franklin Middle,Nachos with Black Beans and Cheese Sauce (Serving),0,10,0.0
Franklin Middle,Orange Chicken (4 Bites w/ 1oz sauce),0,100,0.0
Franklin Middle,Orange Flavored Dried Cranberries (Each),0,0,0.0
Franklin Middle,Original Flavored Dried Cranberries (Package),0,0,0.0
Franklin Middle,Potato Wedges (7 pieces),0,190,0.0
Franklin Middle,"Quesadilla, Turkey Barbacoa and Cheese (Quesadilla)",0,107,0.0
Franklin Middle,Raspberry Lemonade Flavored Dried Cranberries (Each),0,0,0.0
Franklin Middle,Roasted Plantains (3 Slices),0,22,0.0
Franklin Middle,"Sauce, Spicy Mayo (tbsp)",0,20,0.0
Franklin Middle,Sweet Thai Chili Sauce (ounce),0,41,0.0
Franklin Middle,Vegetable Dumpling (6 dumplings),0,49,0.0
Franklin Middle,Whole Strawberries (1/2 cup thawed),0,0,0.0
Franklin Sherman Elementary,Roasted Sunflower Seeds (Package),11,12,91.66666666666666
Franklin Sherman Elementary,Natural Breakfast Syrup (Each),20,24,83.33333333333334
Franklin Sherman Elementary,"Milk, Soy, Vanilla (24/8 oz) (each)",52,65,80.0
Franklin Sherman Elementary,1% Unflavored Shelf-Stable Milk (Each),53,67,79.1044776119403
Franklin Sherman Elementary,Cheddar Chex Mix (Package),18,24,75.0
Franklin Sherman Elementary,Peach Yogurt Power Pack (Power Packs),51,78,65.38461538461539
Franklin Sherman Elementary,Fat Free Unflavored Shelf-Stable Milk (Each),68,106,64.15094339622641
Franklin Sherman Elementary,Strawberry Flavored Dried Cranberries (Each),157,248,63.306451612903224
Franklin Sherman Elementary,Watermelon Flavored Dried Cranberries (Each),156,248,62.903225806451616
Franklin Sherman Elementary,Fat Free White Milk (Each),174,283,61.48409893992933
Franklin Sherman Elementary,Assorted  4 oz Yogurt (Container),74,128,57.8125
Franklin Sherman Elementary,Cherry Vanilla Yogurt Power Pack (Power Packs),43,80,53.75
Franklin Sherman Elementary,Mustard Packet (Packet),30,56,53.57142857142857
Franklin Sherman Elementary,"Salsa, Mild Canned (1.5 oz)",18,36,50.0
Franklin Sherman Elementary,Strawberry Chex Mix (Package),74,154,48.05194805194805
Franklin Sherman Elementary,Strawberry Parfait Power Pack (Power Pack),15,33,45.45454545454545
Franklin Sherman Elementary,"Peppers, green, pre-sliced (1/2 cup sliced)",31,69,44.927536231884055
Franklin Sherman Elementary,Steamed Broccoli (1/2 cup),8,18,44.44444444444444
Franklin Sherman Elementary,Orange Chicken (4 Bites w/ 1oz sauce),50,114,43.859649122807014
Franklin Sherman Elementary,String Cheese (Each),109,251,43.42629482071713
Franklin Sherman Elementary,1% White Milk (Each),186,435,42.758620689655174
Franklin Sherman Elementary,Strawberry & Banana Yogurt Power Pack (Power Packs),37,89,41.57303370786517
Franklin Sherman Elementary,Vegetable Dumpling (6 dumplings),44,109,40.36697247706422
Franklin Sherman Elementary,Cheez-Its Crackers (Package),22,58,37.93103448275862
Franklin Sherman Elementary,Ranch Dressing (1 ounce),92,246,37.39837398373984
Franklin Sherman Elementary,Orange (1/4 cup),30,86,34.883720930232556
Franklin Sherman Elementary,Potato Wedges (7 pieces),40,120,33.33333333333333
Franklin Sherman Elementary,Red Delicious Apple (Each - serving),147,492,29.878048780487802
Franklin Sherman Elementary,Baby Carrots (3 baby carrots per 1/4 cup),90,306,29.411764705882355
Franklin Sherman Elementary,Orange Slices (3 slices per 1/4 cup),49,167,29.34131736526946
Franklin Sherman Elementary,Whole Wheat Dinner Roll (Each),20,72,27.77777777777778
Franklin Sherman Elementary,Banana (Each),142,557,25.493716337522443
Franklin Sherman Elementary,Black Beans (1/4 Cup),6,24,25.0
Franklin Sherman Elementary,Celery Sticks (1/2 cup),52,210,24.761904761904763
Franklin Sherman Elementary,Ketchup Packet (Packet),44,180,24.444444444444443
Franklin Sherman Elementary,"Peppers, red, pre-sliced (1/2 cup sliced)",14,58,24.137931034482758
Franklin Sherman Elementary,Baby Carrots (6 Baby Carrots per 1/2 cup),57,242,23.553719008264462
Franklin Sherman Elementary,Bottled Water (Bottle),72,308,23.376623376623375
Franklin Sherman Elementary,Red Seedless Grapes (8 grapes per 1/4 cup),55,246,22.35772357723577
Franklin Sherman Elementary,Smartfood RF White Cheddar Popcorn (Each),123,554,22.20216606498195
Franklin Sherman Elementary,Orange Tangerine Juice (Each),78,365,21.36986301369863
Franklin Sherman Elementary,Orange Slices (6 Slices per 1/2 cup),20,95,21.052631578947366
Franklin Sherman Elementary,Apple Slices (6 Slices per 1/2 cup),41,200,20.5
Franklin Sherman Elementary,Apple Juice (Each),139,680,20.441176470588236
Franklin Sherman Elementary,Cheese Quesadilla (Quesadilla),20,100,20.0
Franklin Sherman Elementary,Orange Chickenless Bites (4 bites),12,64,18.75
Franklin Sherman Elementary,Apple Slices (3 slices per 1/4 cup),33,184,17.934782608695652
Franklin Sherman Elementary,Chickenless Bites (4 Bites),25,140,17.857142857142858
Franklin Sherman Elementary,Carrot and Celery Sticks (1/2 cup),10,60,16.666666666666664
Franklin Sherman Elementary,Grilled Cheese Sandwich (Sandwich),15,91,16.483516483516482
Franklin Sherman Elementary,Fat Free Chocolate Milk (Each),278,1736,16.013824884792626
Franklin Sherman Elementary,Alfredo & Basil Lasagna (Each),20,125,16.0
Franklin Sherman Elementary,PB&J Power Pack (Power Packs),102,673,15.156017830609212
Franklin Sherman Elementary,Cucumber Slices (1/4 cup),33,228,14.473684210526317
Franklin Sherman Elementary,Broccoli Florets (6 Pieces per 1/2 cup),5,36,13.88888888888889
Franklin Sherman Elementary,Soft Pretzel (1 pretzel),54,410,13.170731707317074
Franklin Sherman Elementary,Chickpeas (1/4 cup),12,96,12.5
Franklin Sherman Elementary,Chilled Mandarin Oranges (1/2 cup (drained)),6,48,12.5
Franklin Sherman Elementary,Cooked  Brown Rice (1/2 cup cooked),32,260,12.307692307692308
Franklin Sherman Elementary,Orange (6 Slices per 1/2 cup),50,440,11.363636363636363
Franklin Sherman Elementary,Turkey Pepperoni Pizza (Slice),32,282,11.347517730496454
Franklin Sherman Elementary,Lettuce Blend Salad Mix (1/2 cup),78,740,10.54054054054054
Franklin Sherman Elementary,Cucumber Slices (6 Slices per 1/2 cup),17,163,10.429447852760736
Franklin Sherman Elementary,Vanilla Sugar Cookie (1/2 Cookie),4,40,10.0
Franklin Sherman Elementary,Doritos Wild White Nacho Flavored Tortilla Chips (Bag),61,726,8.402203856749312
Franklin Sherman Elementary,"Carrots, Shredded (Cup)",8,96,8.333333333333332
Franklin Sherman Elementary,Chocolate Chip Cookie (1/2 Cookie),60,832,7.211538461538461
Franklin Sherman Elementary,Whole Strawberries (1/2 cup thawed),9,182,4.945054945054945
Franklin Sherman Elementary,Chocolate Chip Cookie (Cookie),28,588,4.761904761904762
Franklin Sherman Elementary,Cheese Pizza (Slice),16,501,3.1936127744510974
Franklin Sherman Elementary,Chickenless Bites (2 Bites),3,176,1.7045454545454544
Franklin Sherman Elementary,Chicken Tenders (3 tenders),4,260,1.5384615384615385
Franklin Sherman Elementary,Apple Cinnamon Bread (Grain for entree) (1 square),0,72,0.0
Franklin Sherman Elementary,Applesauce (1/2 Cup),0,24,0.0
Franklin Sherman Elementary,Asian Meatball Sub (sandwich),0,102,0.0
Franklin Sherman Elementary,Asian Veggie Sub (sandwich),0,48,0.0
Franklin Sherman Elementary,Baked Cheese Sticks (2 Cheese Sticks),0,109,0.0
Franklin Sherman Elementary,Bean and Cheese Pupusa (Pupusa),0,10,0.0
Franklin Sherman Elementary,Beef Meatball Sub Sandwich (Sandwich),0,107,0.0
Franklin Sherman Elementary,Black Beans (1/2 Cup),0,36,0.0
Franklin Sherman Elementary,Broccoli Florets (1/4 cup),0,24,0.0
Franklin Sherman Elementary,Chana Masala (1/2 cup),0,6,0.0
Franklin Sherman Elementary,Cheeseburger (Sandwich),0,81,0.0
Franklin Sherman Elementary,Chicken Masala Drumstick (Drumstick),0,48,0.0
Franklin Sherman Elementary,Chicken Philly Sandwich (each),0,28,0.0
Franklin Sherman Elementary,"Chicken, Bites (4 Bites)",0,30,0.0
Franklin Sherman Elementary,Chickpeas (1/2 cup),0,24,0.0
Franklin Sherman Elementary,Cooked  Brown Rice (1 cup cooked),0,102,0.0
Franklin Sherman Elementary,Corn (1/2 cup (cooked)),0,88,0.0
Franklin Sherman Elementary,Fish  Sandwich (Sandwich),0,45,0.0
Franklin Sherman Elementary,Fish Tacos (2 Tacos),0,58,0.0
Franklin Sherman Elementary,"Frozen Berry, Triple Berry Blend (1/2 cup (thawed))",0,70,0.0
Franklin Sherman Elementary,Hamburger (Sandwich),0,48,0.0
Franklin Sherman Elementary,Hot Turkey & Cheese (sandwich),0,20,0.0
Franklin Sherman Elementary,Mandarin Orange Pepper Fruit Salsa (1 TBSP),0,24,0.0
Franklin Sherman Elementary,Marinara Sauce (1/4 Cup),0,48,0.0
Franklin Sherman Elementary,Nachos w/Shredded Chicken and Cheese Sauce (Serving Size),0,32,0.0
