Item Name,Leftover Rate (%),Total Left Over,Total Offered
Broccoli Florets (6 Pieces per 1/2 cup),14.88,1233.0,8289
Sweet Thai Chili Chicken Bites (4 Bites w/ 1oz sauce),14.87,95.0,639
PB&J Power Pack (Power Packs),14.79,46382.0,313520
Corn (1/4 cup (cooked)),14.76,134.0,908
Chilled Pineapple (1/4 cup),14.63,79.0,540
Orange Slices (Each),14.62,253.0,1731
"Chex Mix, Cheddar - do not use (Package)",14.52,9.0,62
Fish  Sandwich (Sandwich),14.35,683.0,4758
Cherry Vanilla Yogurt (Container),14.34,40.0,279
Orange Sauce (ounce),14.31,3458.0,24171
Egg and American Cheese on English Muffin (Sandwich),14.29,2.0,14
Gala Apple (Each),14.19,5946.0,41902
Watermelon Flavored Dried Cranberries (2 Eaches),14.1,663.0,4702
"Cheese, Shredded, Cheddar (1/4 cup)",14.02,2788.0,19885
Sweet Thai Chili Sauce (ounce),13.77,579.0,4206
Taco Flavored Hummus (2 Each),13.62,50.0,367
Raspberry Lemonade Flavored Dried Cranberries (2 Eaches),13.56,272.0,2006
"Peppers, Red, Whole (1/4 cup)",13.53,172.0,1271
Red Delicious Apple (Each - serving),13.5,26758.0,198275
"Carrots, IW,   Super Snack (2 each)",13.49,291.0,2157
Chicken and Cheese Quesadilla (Quesadilla),13.48,542.0,4020
"Sauce, Alfredo (2oz Ladle (1/4 cup))",13.39,30.0,224
Vegetable Dumpling (6 dumplings),13.28,1780.0,13405
Ketchup Packet (Packet),13.2,86447.0,655003
Baby Carrots (3 baby carrots per 1/4 cup),13.18,21050.0,159728
Sour Cream (2 Tablespoons),13.13,2191.0,16686
Golden Delicious Apple (Each),13.13,13309.0,101364
Ranch Dressing Packet (Packet),12.95,94.0,726
Turkey Barbacoa Arepa (1 Arepa + #10 scoop of turkey barbacoa),12.95,1239.0,9571
Strawberry Parfait (Parfait),12.79,87.0,680
String Cheese (1 Stick),12.69,50.0,394
Soft Pretzel (1 pretzel),12.52,10917.0,87179
Broccoli Florets (1/4 cup),12.23,11732.0,95911
Orange Flavored Dried Cranberries (2 Eaches),12.2,693.0,5682
"Quesadilla, Chicken & Cheese (Shred Chicken) 6 in Tortilla (Quesadilla)",12.04,76.0,631
Cheese Pizza (slice),11.9,10.0,84
Bottled Water (Bottle),11.87,11052.0,93098
Roasted Sunflower Seeds (Package),11.53,147.0,1275
Smartfood RF White Cheddar Popcorn (Each),11.52,4086.0,35468
Cherry Tomatoes (1/4 cup),11.37,8801.0,77417
Asian Meatball Sub (sandwich),11.34,3557.0,31359
Chicken Alfredo Pasta (heaping 1 cup ( #4 scoop)),11.29,122.0,1081
Biscuit (Biscuit),11.24,29.0,258
Alfredo & Basil Lasagna (Each),11.13,2503.0,22490
Turkey & Cheese on Sub Roll (sandwich),11.02,67.0,608
Mandarin Orange Pepper Fruit Salsa (1 TBSP),10.95,1247.0,11389
"Peanut Butter and Jelly Sandwich, IW (Each)",10.74,114.0,1061
Chana Masala (1/2 cup),10.72,773.0,7212
