Item Name,Net Consumption,Total Served,Total Discarded
Cinnamon Waffle (each),71.0,71,0.0
Peach Yogurt Power Pack (Power Packs),66.0,66,0.0
Orange Flavored Dried Cranberries (Each),63.0,63,0.0
Cherry Flavored Dried Cranberries (Each),60.0,60,0.0
Raspberry Lemonade Flavored Dried Cranberries (Each),60.0,60,0.0
Watermelon Flavored Dried Cranberries (Each),57.0,57,0.0
"Bread, Loco (1/2 piece)",56.0,56,0.0
Manager's Vegetable Choice (1/2 cup),49.0,49,0.0
Assorted Cereal (Cereal Cup),46.0,46,0.0
"Nutri-Grain, Apple Cinnamon (each)",45.0,45,0.0
"Nutri-Grain, Strawberry (each)",38.0,38,0.0
"Nutri-Grain, Blueberry (each)",35.0,35,0.0
Mandarin Orange Pepper Fruit Salsa (1 TBSP),32.0,32,0.0
"Frozen, Blueberries (1/2 cup)",32.0,32,0.0
Soft Pretzel (1 pretzel),32.0,32,0.0
"Cereal, Cinnamon Toasters, Malt-O-Meal, IW (Sub) (1 Each)",31.0,31,0.0
Triple Berry Parfait Power Pack (Power Pack),28.870000000000005,388,359.13
"Sandwich, Turkey & Cheese on Sub Roll (sandwich)",28.0,28,0.0
"Waffle, Belgian, Sweet Cinnamon, WG, Bulk (Waffle)",28.0,28,0.0
Peach Yogurt (Container),27.0,27,0.0
Strawberry & Banana Yogurt Power Pack (Power Packs),26.0,26,0.0
"Plums, Red, Whole (Each)",26.0,26,0.0
Apple Berry Smoothie (8oz portion),19.0,19,0.0
Chilled Pineapple (1/4 cup),17.0,17,0.0
"Patty, Chicken, Breaded, WG (2 strips)",17.0,17,0.0
Applesauce (1/4 cup),17.0,17,0.0
Strawberry Chex Mix (Package),16.0,16,0.0
Strawberry Parfait Power Pack (Power Pack),16.0,16,0.0
"Egg, Hard Boiled, Bulk pouch (Each)",15.0,15,0.0
"Cheese, American, Sliced (Slice)",15.0,15,0.0
Cheeseburger (Sandwich),8.75,15,6.25
Cherry Vanilla Yogurt Power Pack (Power Packs),8.329999999999998,25,16.67
Oat Milk (Each),5.0,5,0.0
Vegan Burger (Sandwich),3.0,3,0.0
"-Peas and Diced Carrots, Frozen (1/2 cup)",2.0,2,0.0
Turkey & Cheese on Biscuit (Sandwich),-77.70999999999998,299,376.71
Blueberry Parfait (Parfait),-766.3399999999999,307,1073.34
