Item Name,Net Consumption,Total Served,Total Discarded
Orange Chickenless Bites (4 bites),16045.79,16545,499.21
Chicken & Vegetable Dumplings (6 dumplings),15988.45,17648,1659.55
Black Beans (1/2 Cup),15924.72,19083,3158.28
Alfredo & Basil Lasagna (Each),15218.19,18920,3701.81
Doritos Flamas (Each),14856.68,14945,88.32
RF Kettle Chips Sea Salt & Vinegar Chips (Each),14715.35,14797,81.65
RF Kettle Chips Jalapeno & Cheddar Chips (Each),14701.21,15014,312.79
"Sauce, Spicy Mayo (tbsp)",13480.14,14345,864.86
Steamed Baby Carrots (1/2 cup),13232.45,13371,138.55
Sour Cream (2 Tablespoons),13077.4,14093,1015.6
Fish Tacos (2 Tacos),12877.64,13925,1047.3600000000001
SS Baked Cheetos Flaming Hot (Each),12543.0,12642,99.0
Orange (6 Slices per 1/2 cup),12511.1,12546,34.9
Potato Wedges (4 pieces),12436.25,12453,16.75
"Sauce, BBQ, HFCS-Free, Bulk, Low-Sodium (2 TBSP)",11531.69,11656,124.31
Orange (Each - serving),10865.17,10869,3.83
"WG 10"" Flour Tortilla (Tortilla)",10701.82,11084,382.18
"Peppers, green, pre-sliced (1/2 cup sliced)",10321.97,11243,921.03
Doritos RF Spicy Sweet Chili (Each),9937.85,9985,47.15
"Quesadilla, Turkey Barbacoa and Cheese (Quesadilla)",9609.14,10353,743.86
Manager's Vegetable Choice (1/2 cup),9534.31,9748,213.69
Kettle Cooked Smoky BBQ Chips (Each),9003.5,9052,48.5
Kellogg’s W/G Rice Krispies Treats (Each),8620.38,8623,2.62
Mandarin Orange Pepper Fruit Salsa (1 TBSP),8540.82,9677,1136.18
Strawberry Chex Mix (Package),8474.54,8609,134.46
Vegetable Dumpling (6 dumplings),8054.42,10906,2851.58
"Patty, Chicken, Breaded, WG (2 strips)",7984.66,8057,72.34
Doritos RF Nacho Cheese (Each),7884.6,7922,37.4
Sub Roll (Sub Roll),7822.18,8421,598.82
Original Flavored Dried Cranberries (Package),7667.5,7668,0.5
BBQ Chicken Drumstick (Drumstick),7357.21,7565,207.79
Roasted Plantains (3 Slices),7265.86,7349,83.14
SS Baked Cheetos Flaming Limon (Each),7220.5,7342,121.50000000000001
Turkey Barbacoa Arepa (1 Arepa + #10 scoop of turkey barbacoa),6877.88,8007,1129.12
"Patty, Chicken, Spicy, Breaded (2 strips)",6843.69,6916,72.31
WG Chocolate Chip Rice Krispy Treats (Each),6829.91,6833,3.09
SS Cheetos Fantastix Flaming Hot (Each),6793.65,6830,36.35
Lay's RF Kettle Original Chips (Each),6522.46,6550,27.54
Broccoli Florets (6 Pieces per 1/2 cup),6516.01,6992,475.99
"Onions, Red, Whole (2 Tablespoons (sliced))",6499.73,7306,806.27
Turkey Pepperoni Pizza (1.37 oz),6351.31,6591,239.69
Cool Ranch Reduced Fat Doritos (Each),6168.6,6189,20.4
Grape Tomatoes (6 Tomatoes per 1/2 cup),6060.28,6078,17.72
Chickpeas (1/2 cup),6012.73,6982,969.27
Corn (2 Tablespoons (thawed)),6006.0,6934,928.0
1% Unflavored Shelf-Stable Milk (Each),5808.57,5830,21.43
Nachos with Taco Meat and Cheese Sauce (Serving Size),5756.84,5825,68.16
Cherry Flavored Dried Cranberries (2 Eaches),5555.05,5560,4.95
Cucumbers (1/2 cup sliced),5295.1,5549,253.9
WG Baked Funyuns (Each),5038.98,5119,80.02000000000001
Assorted  4 oz Yogurt (Container),4994.41,5121,126.59
Orange Flavored Dried Cranberries (2 Eaches),4973.45,4981,7.55
Hot Turkey & Cheese (sandwich),4902.43,5394,491.57
Strawberry Parfait Power Pack (Power Pack),4709.8,5258,548.2
String Cheese (Each),4550.33,4587,36.67
"Apple, Slices, IW - ER Supper Only (Each)",4514.83,4619,104.17
Natural Breakfast Syrup (Each),4288.0,4288,0.0
Fresh Whole Pear (Each),4168.33,4184,15.67
Cucumber Slices (2 Tablespoon),4127.77,4813,685.23
"Sandwich, Turkey & Cheese (sandwich)",4086.91,4260,173.09
Watermelon Flavored Dried Cranberries (2 Eaches),4015.37,4028,12.629999999999999
Strawberry Flavored Dried Cranberries (2 Eaches),3867.0,3867,0.0
"Peppers, Red, Whole (2 Tablespoons)",3797.15,4026,228.85
"Peppers, Green, Whole (2 Tablespoon)",3747.18,4544,796.82
"Carrots, Shredded (Cup)",3711.27,3794,82.72999999999999
Fish  Sandwich (Sandwich),3637.44,3994,356.56
Chicken and Cheese Quesadilla (Quesadilla),3369.12,3445,75.88
Cherry Tomatoes (6 Tomatoes per 1/2 cup),3245.31,3290,44.69
"Dough, Cookie, Double Chocolate, WG (1/2 Cookie)",3045.44,3051,5.5600000000000005
"Chicken, Bites (4 Bites)",3022.07,3079,56.93
Sweet Thai Chili Sauce (ounce),3005.95,3499,493.05
"Tomato, Large, whole, Plum (1/4 cup sliced)",2964.89,2979,14.11
Hamburger (Sandwich),2886.11,3031,144.89000000000001
Black Beans - salad bar entree (1/2 cup),2843.46,9452,6608.54
Sweet Thai Chili Chicken Wings (3 Wings),2700.75,2944,243.25
Apple Cinnamon Spread (Each),2641.95,2650,8.05
"Milk, Lactose Free,  Fat Free, Shelf-Stable (Each)",2567.81,2890,322.19
Apple Cinnamon Bread (1oz Grain (1/64 Baked Pan)),2472.26,2518,45.74
Apple Cinnamon Bread (Grain for entree) (1 square),2388.71,2389,0.29
BBQ Chicken Sandwich (Sandwich),2340.95,3075,734.05
"Peppers, red, pre-sliced (1/4 cup sliced)",2313.92,2488,174.07999999999998
Applesauce (1/4 cup),2188.71,2204,15.29
"Frozen, Blueberries (1/2 cup)",2173.96,2240,66.03999999999999
"Patty, Chicken, Spicy, Breaded (Patty)",2173.55,2177,3.45
Chicken Quesadilla (quesadilla),2159.74,2448,288.26
Arepa w/Taco Beef (1 Aprea + #8 scoop of beef),2144.05,2415,270.95
Red Seedless Grapes (2 Tablespoons),2095.9,2128,32.1
Chilled Peaches (1/2 cup),2056.72,2072,15.28
"Carrots, IW,   Super Snack (2 each)",1866.0,1866,0.0
"Turkey,  Breast, Pre-Sliced, Oven Roasted (3 Slices)",1856.23,3161,1304.77
Breaded  Chicken Patty on a Bun (Sandwich),1847.45,1857,9.55
"Lactose Free, White Milk (Each)",1767.92,1879,111.08
Raspberry Lemonade Flavored Dried Cranberries (2 Eaches),1734.0,1734,0.0
"Peppers, green, pre-sliced (1/4 cup sliced)",1710.1,1909,198.9
Fat Free Unflavored Shelf-Stable Milk (Each),1705.49,1779,73.51
Chickpeas (2 Tablespoons),1680.53,2199,518.47
Chicken Tikka Masala (1/2 cup),1676.26,2045,368.74
Corn (1/2 cup (thawed)),1658.09,1659,0.91
"Green Beans, Frozen (1/2 cup)",1656.46,1841,184.54
Cheddar Chex Mix (Package),1630.28,1650,19.720000000000002
Carrot and Celery Sticks (1/2 cup),1629.69,1654,24.310000000000002
Chicken Tenders Sub (Sandwich),1579.63,1600,20.37
Chickpeas - salad bar entree (1/2 cup),1546.4500000000007,13120,11573.55
Celery Sticks (1/4 cup),1533.68,1660,126.32000000000001
"Apple Slices (6 Slices, 1/2 cup)",1515.36,1516,0.64
Orange Slices (Each),1478.0,1478,0.0
Flour Tortilla (Tortilla),1475.64,1476,0.36
IW Heartzels Pretzels (Package),1440.0,1440,0.0
Tomato Soup (8 oz Ladle),1354.0,1419,65.0
"Chicken, Wings, Pre-Cooked (3 Wings)",1353.21,1507,153.79
Broccoli Alfredo Pasta (1 cup),1341.67,1509,167.33
Potstickers (6 Potstickers),1326.13,2146,819.87
Assorted Craisins (Packet),1324.0,1324,0.0
"Salsa, Mild Canned (2 Tablespoons)",1291.66,1322,30.340000000000003
Pineapple Pepper Fruit Salsa (1 TBSP),1284.0,1297,13.0
Whole Strawberries (1/4 cup thawed),1261.38,1272,10.620000000000001
Chana Masala (1/2 cup),1256.6999999999998,5612,4355.3
Cucumber Slices (1/2 cup),1254.0,1254,0.0
"Onions, Red, Whole (1/4 cup (sliced))",1243.92,1405,161.07999999999998
Potato Encrusted Breaded Pollock (Fillet),1240.95,1353,112.05
"Lettuce, Green Salad Mix (1 cup)",1209.41,1224,14.59
Vegan Burger (Sandwich),1183.25,4813,3629.75
"Penne Pasta with Marinara and Beef Meatballs (1/2 cup cooked pasta, 1/2c sauce, 5 meatballs)",1165.37,1170,4.63
Vanilla Sugar Cookie (1/2 Cookie),1137.57,1139,1.43
Maple Belgian Waffle (Waffle),1133.9,1134,0.1
Roasted Sunflower Seeds (Package),1124.79,1126,1.21
Blueberry Bread (1oz Grain (1/64 Baked Pan)),1124.69,1133,8.31
"Chicken, Bites, Breaded (4 Bites)",1077.45,1095,17.55
"Frozen Berry, Triple Berry Blend (1/4 cup (thawed))",1023.9,1044,20.1
"Taco, Turkey Barbacoa, Loco Bread (2 Tacos)",1017.5699999999999,1112,94.43
Yellow Peach (Each),1017.0,1017,0.0
Pumpkin Bread (1 square),976.8,980,3.1999999999999997
"Peppers, Red, Whole (1/4 cup)",969.46,1062,92.54
Black Beans (1/2 cup),948.77,1084,135.23
"Peanut Butter and Jelly Sandwich, IW (Each)",947.0,947,0.0
Chicken Alfredo Pasta (heaping 1 cup ( #4 scoop)),918.1,944,25.9
"Applesauce, IW, Cinnamon. Unsweetened, Shelf-Stable (SUB) (Each)",900.0,900,0.0
Black Beans (2 Tablespoons),855.47,1213,357.53
Sweet N' Salty Popcorn (Bag),803.41,806,2.59
"Calzone, Cheese (Each)",778.96,794,15.04
Tomato & Basil Lasagna (Each),774.4100000000001,1019,244.58999999999997
Chicken Alfredo Pasta (1 cup),748.3,787,38.7
Corn (1/4 cup (cooked)),745.81,762,16.19
Nachos with Cheese Sauce (serving size),728.25,732,3.75
"Bread, English Muffin, WG (Each)",726.0,726,0.0
"Beef, Taco Meat, Pre-Cooked (1/2 cup (#8 scoop))",688.5,715,26.5
"Sandwich, Turkey & Cheese on Sub Roll (sandwich)",636.29,670,33.71
Ranch Dressing Packet (Packet),632.0,632,0.0
Korean Chicken Drumstick (Drumstick),600.03,652,51.97
"Peppers, Green, Whole (1/2 cup)",599.81,656,56.19
"Batter, Pumpkin Bread (1oz Grain (1/64 Baked Pan))",598.15,602,3.85
Creamy Cabbage Slaw (1/4 cup),590.35,940,349.65
Chicken Philly Sandwich (each),572.51,874,301.49
BBQ Chickenless Bites (4 bites),547.55,556,8.45
"Pizza, Turkey Pepperoni, Slice (Slice)",546.85,711,164.15
"Waffle (Grain), Belgian, Buttery Maple, Bulk (Waffle)",546.15,547,0.85
"Pasta, Lasagna Roll-Up, Cheese (Each)",537.46,600,62.54
Sweet Thai Chili Chicken Bites (4 Bites w/ 1oz sauce),525.41,538,12.59
Mini Maple Pancakes (Package),522.0,522,0.0
Korean BBQ Chickenless Bites (4 bites),516.93,535,18.07
"Parfait, Triple Berry (Parfait)",489.58,591,101.42
Mac & Cheese (2/3 cup),484.43,512,27.57
Wheat Thins (Package),481.01,524,42.99
